term,weight
abadi,0.007
ada,0.086
adalah,0.043
adegan,0.007
adeknya,0.007
admin,0.029
aduh,0.014
agak,0.007
agar,0.014
agung,0.014
ahli,0.007
ahmad,0.007
aile,0.014
air,0.014
ajar,0.014
akal,0.007
akan,0.007
akhir,0.022
akhire,0.007
aksesoris,0.007
akua,0.007
akun,0.014
alam,0.007
alamat,0.014
alami,0.007
alas,0.007
album,0.022
allah,0.007
ambarawa,0.007
ambyar,0.007
ampun,0.014
an,0.007
anak,0.029
anane,0.007
anda,0.072
anggota,0.022
angkat,0.007
angkatane,0.007
antar,0.007
apa,0.079
apaqa,0.007
aplikasi,0.014
aqua,0.007
arem,0.007
arep,0.022
armada,0.007
arti,0.007
artis,0.014
asin,0.007
asli,0.007
astaga,0.007
atas,0.007
atau,0.007
atlet,0.014
awak,0.022
awesome,0.014
ayo,0.093
bab,0.007
baca,0.036
bagai,0.007
bagaimana,0.014
bagus,0.007
bahahaha,0.007
bahan,0.014
bahasa,0.007
baik,0.029
balen,0.007
baliho,0.007
bam,0.007
bandara,0.029
bangsa,0.014
bantu,0.007
banyak,0.036
bar,0.007
barang,0.007
bareng,0.022
baru,0.022
basa,0.022
batas,0.029
baterai,0.007
batik,0.014
bau,0.014
bawa,0.014
bawain,0.007
bawang,0.007
bayang,0.007
bayar,0.007
beberapa,0.007
beda,0.014
begitu,0.115
bejibun,0.007
belakang,0.007
belanja,0.007
beli,0.065
belum,0.029
ben,0.007
benar,0.065
bentar,0.007
bentuk,0.029
berani,0.007
bersih,0.007
besar,0.014
besok,0.022
biarawati,0.007
bias,0.007
biasa,0.022
biases,0.014
bilang,0.043
billy,0.007
bim,0.007
bingung,0.007
bisa,0.072
bismillah,0.007
blekping,0.007
blusukan,0.007
bocahe,0.007
bosan,0.007
bouncy,0.007
brambang,0.007
brarti,0.014
btob,0.007
buat,0.086
buka,0.022
bukan,0.014
buku,0.007
bulan,0.043
bumbu,0.007
bunga,0.007
buru,0.007
buruk,0.007
busun,0.007
busur,0.007
butuh,0.007
cabai,0.014
camat,0.007
camera,0.007
campur,0.007
canda,0.007
cara,0.007
cemas,0.022
cemil,0.036
cengkeh,0.007
cepat,0.057
cepetan,0.007
cgk,0.022
chand,0.007
chaser,0.007
