term,weight
aa,0.018
ac,0.006
ada,0.012
addicted,0.006
adil,0.006
aduh,0.006
agar,0.018
ah,0.012
ahong,0.006
aidzin,0.006
ajar,0.006
aks,0.006
aktif,0.006
alhasil,0.006
ampun,0.006
anda,0.068
angka,0.006
apa,0.012
arlan,0.006
asataga,0.012
asep,0.006
astaga,0.018
atau,0.006
atulah,0.006
awam,0.006
ayo,0.012
baca,0.012
bagaimana,0.018
bahasa,0.012
baik,0.018
baju,0.006
bakar,0.012
balabala,0.006
balas,0.006
bang,0.025
bangke,0.006
bangun,0.018
banyak,0.012
barca,0.012
barokah,0.006
baru,0.043
batas,0.006
bathin,0.006
bawan,0.012
beda,0.006
begitu,0.006
begok,0.006
beku,0.006
belum,0.012
benam,0.006
benar,0.012
benda,0.006
bentar,0.012
berapa,0.006
beri,0.006
berterimakasih,0.006
besar,0.006
bias,0.006
biasa,0.006
bibir,0.012
birtday,0.006
biru,0.006
bisa,0.006
bismillah,0.006
bodoh,0.006
bohong,0.006
bom,0.006
bosan,0.006
both,0.006
buang,0.006
buat,0.025
buk,0.006
bukan,0.006
bulak,0.006
bumi,0.006
bunda,0.006
bunuh,0.006
buruk,0.012
butuh,0.012
cair,0.006
cantik,0.006
cemil,0.012
cepat,0.006
cerewet,0.006
cermin,0.006
ceu,0.012
chaplin,0.006
charlie,0.006
chit,0.006
cinta,0.012
co,0.277
comes,0.006
coplok,0.006
counting,0.006
culeswati,0.006
da,0.006
dadang,0.006
daftar,0.006
dan,0.068
dapat,0.012
dari,0.025
daripada,0.006
dekok,0.006
demam,0.006
dengan,0.055
depan,0.006
det,0.025
deui,0.006
di,0.012
diare,0.006
dikit,0.006
dinda,0.006
ditengokin,0.006
dncustkn,0.006
doa,0.018
doang,0.006
dong,0.006
doyok,0.006
dri,0.025
dulu,0.012
duluan,0.006
duper,0.006
duta,0.006
edisi,0.006
efek,0.006
eh,0.012
ember,0.012
embung,0.006
enjing,0.006
every,0.006
folbek,0.006
foto,0.012
friday,0.006
game,0.006
garis,0.006
gembala,0.006
geplak,0.006
gertak,0.006
geus,0.006
gigit,0.006
gilir,0.006
gin,0.031
goals,0.006
gogoda,0.006
goreng,0.012
gung,0.006
gusti,0.006
hae,0.006
hanya,0.043
hari,0.29
harus,0.012
hati,0.012
hay,0.006
hayang,0.012
hayati,0.012
hayoh,0.006
hidung,0.018
hidup,0.006
hinyai,0.006
hirau,0.006
hoamz,0.006
hpnya,0.006
htp,0.277
hujan,0.012
humoris,0.006
ibu,0.043
ikut,0.29
in,0.006
indonesia,0.006
ingat,0.018
ingin,0.006
ini,0.29
iso,0.006
itu,0.074
iya,0.018
jadi,0.025
jagjag,0.006
jahat,0.006
jam,0.018
jaman,0.006
jatuh,0.006
java,0.006
jawab,0.006
jemput,0.006
jernih,0.006
jetleg,0.006
jijik,0.006
jodoh,0.006
