term,weight
ada,0.049
adekmu,0.012
admin,0.024
aduh,0.012
agar,0.085
ahli,0.012
ai,0.012
ajaib,0.012
ajak,0.024
ajar,0.073
akak,0.012
akan,0.061
akhir,0.049
akhire,0.012
alam,0.024
aman,0.012
ambil,0.024
amburadul,0.012
amin,0.049
ampun,0.012
an,0.036
anak,0.024
anda,0.049
apa,0.146
arah,0.012
asal,0.012
asam,0.024
astaga,0.012
awak,0.024
awas,0.012
ayam,0.024
ayo,0.061
baca,0.049
badan,0.024
bagaimana,0.024
bagus,0.012
bahagia,0.012
bahasa,0.012
baik,0.036
baju,0.012
bakmi,0.012
balas,0.012
balita,0.012
bangga,0.012
bangun,0.012
bantal,0.012
banyak,0.024
barang,0.012
baru,0.036
batagor,0.012
batin,0.012
bawa,0.012
beda,0.012
begitu,0.049
beli,0.024
belonjo,0.012
belum,0.012
benar,0.024
benci,0.012
beranda,0.024
berani,0.012
berat,0.024
bersliweran,0.012
besar,0.024
besok,0.036
biarin,0.012
biasa,0.024
bicara,0.024
bilang,0.049
bisa,0.024
bismillah,0.012
bnya,0.012
bo,0.012
bola,0.012
bosan,0.012
bosman,0.012
buah,0.012
buat,0.012
budak,0.024
buka,0.012
bukak,0.012
bukti,0.012
bulan,0.012
bunuh,0.012
butuh,0.024
buyar,0.012
cak,0.012
cangkir,0.024
cari,0.012
cemil,0.097
cenderung,0.012
centang,0.012
cerita,0.049
ceritain,0.024
cinta,0.036
cireng,0.012
co,0.012
coba,0.012
corona,0.012
cuci,0.012
cucur,0.012
cuit,0.012
dadi,0.036
dalam,0.012
dapat,0.012
dari,0.012
dasar,0.036
daya,0.012
dedy,0.012
dek,0.146
dendam,0.012
dengaku,0.012
dengan,0.036
dengar,0.024
detik,0.012
dewe,0.024
di,0.049
dia,0.134
diangap,0.012
dianterin,0.012
diet,0.036
difuser,0.012
diguyu,0.012
dikosanya,0.012
dipangil,0.012
diskusi,0.012
doa,0.024
dodol,0.012
dokter,0.012
dong,0.024
dosa,0.024
efek,0.024
eh,0.012
elus,0.024
em,0.012
ero,0.024
facebook,0.012
gandrung,0.012
ganggu,0.012
gangsing,0.012
ganjil,0.012
gantung,0.012
gara,0.012
gemas,0.012
gendut,0.012
giat,0.012
gila,0.024
gim,0.012
gin,0.024
goreng,0.012
gramednya,0.012
gubris,0.012
gugup,0.012
guling,0.012
gus,0.012
habis,0.024
hadir,0.012
hal,0.012
halus,0.012
hampir,0.012
hancur,0.012
hanya,0.012
hari,0.024
haru,0.012
harus,0.024
hati,0.036
hayati,0.012
hayo,0.024
heboh,0.012
hehehehe,0.024
hidup,0.024
hijau,0.012
hilang,0.036
huhaha,0.012
huhuhuhu,0.036
huhuhuhuhuhuhuhu,0.012
hujan,0.024
humidifier,0.012
ibu,0.073
ikut,0.024
info,0.049
ingat,0.012
ingin,0.073
ingris,0.012
ini,0.085
istilah,0.012
istimewa,0.012
itu,0.061
iya,0.036
iyab,0.012
jadi,0.036
jaga,0.024
jalan,0.024
jam,0.085
jamah,0.012
jarak,0.012
jarang,0.012
jari,0.024
jebur,0.012
jelang,0.012
jual,0.036
juga,0.049
juni,0.012
kadang,0.012
kah,0.012
kaki,0.024
kalau,0.097
karbo,0.012
karepmu,0.012
kayak,0.061
ke,0.012
kebab,0.012
kejut,0.012
kemarin,0.036
kenapa,0.012
kepada,0.012
keringat,0.012
kesini,0.024
ketemu,0.036
ketika,0.012
ketupat,0.012
khilaf,0.012
kibas,0.012
kilir,0.012
kilogram,0.012
kira,0.024
kita,0.024
korvan,0.012
kualitas,0.012
kuat,0.024
kubanga,0.012
kuku,0.012
kulit,0.012
lagi,0.024
lahir,0.012
lain,0.012
laki,0.024
laku,0.012
lama,0.036
lambung,0.049
lapang,0.012
lapar,0.012
lapo,0.012
larang,0.024
latsat,0.012
laut,0.012
lawak,0.012
lebar,0.012
lebih,0.024
lek,0.049
lelah,0.036
lemah,0.012
lha,0.012
lho,0.012
lihat,0.012
lihatin,0.012
linglung,0.024
listrik,0.012
logika,0.012
lololo,0.012
lulus,0.024
lupa,0.024
maghrib,0.012
mahal,0.012
makalah,0.012
malam,0.012
malas,0.012
malu,0.036
manfate,0.012
mantengin,0.012
manusia,0.024
mapken,0.012
marah,0.012
mardigu,0.012
maresakan,0.012
masak,0.012
masalah,0.012
masya,0.036
maturnuwun,0.012
mau,0.036
mbah,0.024
mbukak,0.012
mcd,0.012
melbu,0.012
melepaskanya,0.012
melihanya,0.012
mellow,0.024
memafkanmu,0.012
memang,0.012
menang,0.024
mendengarkan,0.012
mengandrungi,0.012
menit,0.024
mentai,0.024
mereka,0.012
merk,0.012
