term,weight
abdul,0.006
acara,0.006
achmad,0.017
ada,0.029
adam,0.006
aduh,0.006
afifah,0.006
afrika,0.006
agar,0.012
agung,0.006
ahmad,0.012
aisyah,0.035
aisyahal,0.006
ajak,0.006
ajar,0.035
ajeng,0.006
ajzkh,0.017
akan,0.012
akhir,0.017
alam,0.006
alayku,0.006
alaynya,0.006
alf,0.029
alfara,0.093
amelya,0.006
amunisi,0.006
anak,0.069
ancol,0.006
anda,0.041
andra,0.006
andrians,0.006
angka,0.012
angker,0.006
anyer,0.006
apa,0.006
apdet,0.006
api,0.006
arif,0.052
aritmatika,0.006
arti,0.006
artis,0.006
asar,0.006
asia,0.006
aspal,0.006
asri,0.006
atas,0.035
atika,0.012
aula,0.012
avina,0.052
awas,0.006
ayo,0.035
ayunda,0.006
ayuri,0.006
bab,0.006
baca,0.006
bada,0.006
badan,0.017
bagaimana,0.006
bagi,0.017
bahagia,0.006
bahasa,0.006
baik,0.012
bakerzin,0.006
balesnya,0.006
bambu,0.006
bang,0.017
bangga,0.006
bangun,0.006
bantu,0.006
banyak,0.006
bapak,0.006
barat,0.012
barokah,0.006
bas,0.006
batik,0.006
batu,0.006
bawa,0.006
bebek,0.012
beda,0.012
bedain,0.006
bekas,0.017
beliau,0.012
belum,0.006
benci,0.006
bengkel,0.006
beps,0.006
berkat,0.006
berkliling,0.006
besar,0.012
besok,0.012
bilingualism,0.012
binatang,0.006
bintaro,0.006
biologi,0.012
bisa,0.029
bismillah,0.012
bling,0.012
bodoh,0.012
bola,0.006
bolong,0.006
boneka,0.006
brngkt,0.006
buang,0.006
buat,0.017
budi,0.006
buka,0.006
bukber,0.012
buku,0.012
bumi,0.006
buruk,0.006
butuh,0.017
camat,0.006
cantik,0.029
cara,0.006
cari,0.006
carnaval,0.006
celaka,0.012
cerita,0.017
cetar,0.006
chainsmokers,0.006
chyntia,0.017
cibubur,0.012
ciganjur,0.012
ciherang,0.006
cilandak,0.006
cileungsi,0.006
cimory,0.006
cinta,0.058
cinthya,0.012
cipageran,0.006
cita,0.012
ciumin,0.006
ciwi,0.006
closer,0.006
coba,0.012
cottages,0.006
curug,0.006
dahlan,0.012
dan,0.266
dapat,0.006
darajat,0.012
dari,0.012
daripada,0.006
datang,0.006
debu,0.006
dengan,0.295
depok,0.006
desember,0.006
desy,0.012
devi,0.035
di,0.498
didik,0.052
dimana,0.006
dino,0.006
dirgah,0.006
diri,0.012
disingahi,0.012
doa,0.006
donald,0.006
dosen,0.012
dp,0.006
dua,0.006
dusun,0.006
dwi,0.012
ed,0.006
ega,0.006
egha,0.006
eks,0.006
enak,0.012
enam,0.006
erti,0.006
fairuz,0.012
fakultas,0.035
fani,0.006
febian,0.012
fitri,0.006
fitroh,0.006
fls,0.006
foto,0.029
fresh,0.006
gadis,0.017
gandul,0.006
gangerti,0.006
ganti,0.012
garut,0.029
gas,0.006
gaya,0.006
gel,0.017
gembira,0.006
geng,0.006
gerak,0.006
gerhana,0.006
gin,0.006
giyong,0.006
gnash,0.006
goa,0.012
goreng,0.006
grandwisata,0.006
gumoh,0.006
guru,0.069
habis,0.012
hadir,0.006
halsey,0.006
hanya,0.012
hari,0.035
hawu,0.006
hebat,0.006
heran,0.006
hidup,0.006
hijau,0.012
hits,0.012
hivi,0.012
hotel,0.006
hotline,0.012
hujan,0.029
humoris,0.012
ibu,0.029
ihda,0.087
ihsan,0.029
ilmu,0.035
imuts,0.012
in,0.017
inap,0.006
ini,0.023
internasional,0.012
isi,0.006
islamic,0.006
istirahat,0.012
istri,0.006
itik,0.012
itu,0.041
iya,0.012
jadi,0.012
jadwal,0.006
jagakarsa,0.006
jakarta,0.006
jalan,0.029
jantan,0.012
jebak,0.023
jerapah,0.006
jl,0.006
john,0.006
juang,0.012
juga,0.006
jumat,0.006
kabar,0.006
kabul,0.012
kafe,0.012
kalah,0.012
kalau,0.029
kaleyo,0.006
kali,0.006
kamis,0.006
kampus,0.006
karang,0.012
karemdes,0.006
karfien,0.006
kartini,0.006
kasih,0.029
katak,0.006
ke,0.023
kebun,0.012
kedai,0.017
kedip,0.006
keliling,0.006
keluar,0.006
keluarga,0.046
keluhanya,0.006
kemarin,0.006
kembang,0.006
kembar,0.006
kemdiknas,0.006
kemulian,0.006
ken,0.012
keprabon,0.006
keramik,0.006
keras,0.006
keren,0.006
kerja,0.012
kesempurnan,0.017
kesini,0.029
ketawasombong,0.006
ketemu,0.017
kha,0.012
khusnul,0.023
khusus,0.006
kita,0.017
kompak,0.006
kondangan,0.006
konferensi,0.006
konyol,0.006
korban,0.006
kota,0.006
kramatwatu,0.006
krisna,0.006
kuliah,0.006
kumpul,0.006
kuning,0.006
kunjung,0.006
kurikulum,0.006
labu,0.006
lagu,0.006
lain,0.237
laki,0.012
laku,0.006
lalu,0.006
lambat,0.006
lang,0.006
latih,0.006
laut,0.012
legenda,0.006
lekas,0.006
lelah,0.029
lemas,0.006
lembang,0.012
lembur,0.006
lemu,0.006
lepas,0.006
libur,0.012
lihat,0.046
liwet,0.006
lombok,0.012
luang,0.006
luluk,0.052
lulus,0.006
luncur,0.006
lupa,0.006
macet,0.012
mafkan,0.006
mahir,0.006
malam,0.029
mall,0.006
mana,0.006
manja,0.006
mantap,0.006
mantou,0.006
maret,0.006
masih,0.017
matahari,0.006
mataram,0.006
mau,0.012
maudy,0.006
mawadah,0.017
mawar,0.006
mc,0.006
mega,0.006
meghan,0.006
memang,0.006
menang,0.006
mengigil,0.006
menikah,0.006
mercu,0.006
merdeka,0.006
mereka,0.006
metlit,0.012
metropolitan,0.006
minggu,0.017
minguanya,0.006
minus,0.006
misah,0.012
mivtha,0.029
mq,0.006
muda,0.006
muhamad,0.006
muka,0.006
murah,0.006
murid,0.023
museum,0.006
nasi,0.006
nasional,0.006
ndut,0.006
negeri,0.029
ngantuk,0.006
ngebabu,0.006
ngelembur,0.006
ngeri,0.006
ngerjainya,0.006
ngumpul,0.006
niat,0.006
nikah,0.029
nindi,0.006
nisa,0.041
nodita,0.006
normal,0.006
nostalgia,0.017
nti,0.006
nugraha,0.006
numpang,0.006
nur,0.029
nusa,0.006
nyala,0.012
nyaman,0.006
nyebur,0.006
nyelesain,0.006
nyusu,0.006
obat,0.006
obrien,0.006
oktavia,0.012
oleh,0.122
olivia,0.006
opy,0.006
orang,0.017
orok,0.006
otak,0.006
pada,0.023
pagi,0.098
paham,0.012
pahlawan,0.006
panas,0.012
pandawa,0.012
pangilkan,0.006
pantai,0.035
parkir,0.006
pasang,0.006
pasar,0.006
pasta,0.006
pelangi,0.006
pengkol,0.006
penting,0.006
penuh,0.035
perangkat,0.006
peras,0.006
perbarui,0.006
percik,0.006
perdana,0.006
pergi,0.006
perhati,0.006
perlu,0.006
permai,0.006
pgsd,0.006
ph,0.006
php,0.017
piala,0.006
pic,0.521
piknik,0.006
pindah,0.012
piring,0.006
platen,0.006
platinum,0.006
pondok,0.017
posted,0.006
pramuka,0.012
prestasi,0.017
provinsi,0.006
ps,0.006
psikolog,0.006
puasa,0.006
pucet,0.006
pulang,0.012
pun,0.006
puncak,0.006
punggung,0.006
puput,0.006
pusat,0.023
rabu,0.006
rachel,0.006
ragunan,0.081
raisa,0.012
raja,0.006
ramai,0.012
ranjau,0.006
ratu,0.006
rawamangun,0.006
rebo,0.006
refresh,0.012
reiza,0.006
rekan,0.006
rentek,0.006
renteknya,0.006
repath,0.006
restoran,0.006
rezeki,0.006
ri,0.017
riah,0.006
ribu,0.006
rindu,0.012
risma,0.012
riverside,0.006
rizka,0.006
rizkinya,0.006
rizky,0.012
rizqi,0.006
robi,0.006
rohani,0.006
ronaldy,0.023
rosie,0.023
rp,0.006
rumah,0.041
rumpi,0.006
saat,0.012
sabar,0.006
sahabat,0.006
saja,0.006
sakinah,0.017
sakit,0.017
salah,0.006
sama,0.041
samawa,0.006
sambut,0.006
sampah,0.006
sampai,0.203
sangat,0.006
sangka,0.006
sari,0.006
sate,0.006
satnight,0.006
satu,0.006
saudara,0.046
saung,0.006
sawangan,0.006
saya,0.122
sayang,0.023
sdn,0.058
sehat,0.012
sejuk,0.006
sekali,0.064
sekarang,0.012
sekian,0.006
selamat,0.041
selesai,0.017
semangat,0.035
semester,0.017
seminar,0.017
seminggu,0.006
semoga,0.041
sempurna,0.012
semua,0.006
senam,0.012
senang,0.064
sendiri,0.006
senin,0.006
seperti,0.006
sheran,0.006
shinta,0.006
sholehah,0.006
siaga,0.006
sihir,0.006
singkat,0.006
siram,0.006
skenario,0.006
sosok,0.012
stat,0.006
statistik,0.006
steak,0.006
sturbucks,0.006
stut,0.006
sudah,0.046
sukses,0.006
sulistyas,0.006
sumpah,0.017
sumur,0.006
sungguh,0.006
super,0.006
surakarta,0.006
suruh,0.023
susah,0.006
susu,0.006
syafitri,0.006
syifa,0.006
syukur,0.017
tahu,0.006
tahun,0.064
taichan,0.006
taman,0.023
tamasya,0.006
tambah,0.006
tangan,0.006
tangguh,0.006
tani,0.006
tapi,0.023
tapituh,0.006
tarif,0.006
tawa,0.012
teman,0.046
tempat,0.012
tempuh,0.006
temu,0.029
tenda,0.006
tengara,0.006
terima,0.017
terimakasih,0.012
terjang,0.006
terus,0.006
tetap,0.006
thn,0.006
tiada,0.006
tiap,0.006
tidak,0.11
tidur,0.012
tinggal,0.006
tingkat,0.006
tipikal,0.006
tk,0.006
tolong,0.012
tonton,0.006
trainor,0.006
tri,0.012
tua,0.006
tugas,0.035
tuk,0.012
tulang,0.006
tunggu,0.006
twitter,0.006
ubah,0.006
ubetz,0.006
uhamka,0.006
uhuk,0.006
ukg,0.006
ulang,0.029
ulfah,0.006
umum,0.006
umur,0.006
undang,0.006
universitas,0.006
untuk,0.012
upnormal,0.006
utama,0.017
utopia,0.006
vid,0.064
vindy,0.006
visi,0.006
vitamin,0.012
voly,0.012
waktu,0.012
walaupun,0.006
wanita,0.023
warohmah,0.012
warunk,0.006
whatsapp,0.006
widayanto,0.006
wisuda,0.006
wongso,0.006
wyatb,0.006
ya,0.006
yah,0.012
yang,0.081
yulai,0.006
zahirah,0.006
