term,weight
abisin,0.01
ada,0.039
admin,0.01
agar,0.02
agung,0.01
aile,0.01
air,0.01
akan,0.01
akhir,0.01
akhlak,0.01
alam,0.01
alhambra,0.01
ambilin,0.01
aminin,0.01
an,0.01
anak,0.01
ancol,0.01
anda,0.176
anggota,0.01
anti,0.01
apa,0.078
apresiasi,0.01
asep,0.01
astaga,0.02
atas,0.01
atm,0.01
awas,0.01
ayam,0.01
ayo,0.029
baca,0.01
bagaimana,0.049
bagibagi,0.01
bah,0.01
bahagia,0.01
baik,0.137
balas,0.02
bangga,0.02
bangsawan,0.01
bangsuy,0.01
bangun,0.02
banjir,0.01
bantu,0.01
banyak,0.029
bapak,0.01
bareng,0.01
baru,0.01
bawa,0.01
bca,0.01
begitu,0.02
bekas,0.01
belalang,0.01
beli,0.069
belum,0.02
benar,0.049
bentar,0.02
bentuk,0.01
beranda,0.01
besok,0.02
beterai,0.01
beyond,0.02
bi,0.01
biadab,0.01
biarawati,0.029
biasa,0.01
bilang,0.029
bingung,0.02
bisa,0.029
bisu,0.01
blay,0.01
bni,0.02
bnr,0.01
boba,0.01
bodoh,0.01
bodyshaming,0.01
bogor,0.02
bola,0.01
bom,0.01
brg,0.01
buang,0.01
buat,0.059
budak,0.01
buka,0.078
bukan,0.01
buket,0.01
bulan,0.02
bulshit,0.01
bunga,0.01
buopi,0.02
butuh,0.01
byuti,0.01
cakep,0.01
calo,0.01
cantik,0.01
cari,0.039
ceban,0.01
cemil,0.029
cerita,0.02
choi,0.01
cie,0.01
cinta,0.02
cip,0.01
citayem,0.01
coba,0.029
cuma,0.01
curhat,0.01
cuy,0.01
dan,0.01
dandan,0.01
dapat,0.01
dari,0.029
daritadi,0.01
datang,0.01
days,0.01
debut,0.01
deh,0.02
demi,0.01
dengan,0.01
deoksun,0.029
depok,0.01
di,0.078
dia,0.029
diambilin,0.01
dibebasin,0.01
dikecohin,0.01
dikibulin,0.01
dikit,0.01
disi,0.01
dit,0.01
ditunguin,0.01
doa,0.01
doang,0.02
dokter,0.01
dong,0.02
drakornya,0.01
drama,0.039
dua,0.01
dukung,0.01
dulu,0.039
each,0.01
ebi,0.01
editin,0.01
eh,0.01
ehehe,0.01
elah,0.01
emina,0.01
emosi,0.01
enak,0.01
entah,0.01
entar,0.01
episode,0.02
es,0.01
every,0.01
faktor,0.01
fanship,0.01
fase,0.02
fatshaming,0.01
fens,0.01
fensnya,0.01
fikiran,0.01
gadis,0.01
gakemana,0.01
gamasuk,0.01
gamungkin,0.01
gapapadeh,0.01
garagara,0.01
garis,0.01
gasih,0.01
gb,0.02
geblek,0.01
gel,0.01
gemas,0.01
gembira,0.01
gen,0.01
gesrek,0.01
gila,0.02
gin,0.059
goblin,0.01
gone,0.01
google,0.01
habis,0.069
hai,0.039
haid,0.01
hal,0.02
hanya,0.02
hapenya,0.01
harga,0.01
hari,0.029
harus,0.01
hati,0.01
hayo,0.01
hela,0.01
hibur,0.01
hidup,0.029
hijau,0.02
hilang,0.078
hotel,0.01
hun,0.01
ibu,0.069
ikut,0.01
iming,0.01
imingin,0.01
in,0.02
inap,0.01
independen,0.01
india,0.01
infoin,0.01
ingat,0.01
ini,0.01
insomnia,0.01
instagram,0.01
introduce,0.01
isi,0.029
itu,0.049
iya,0.039
jadi,0.098
jajan,0.01
jajangmyeon,0.01
jalan,0.02
jam,0.069
jaman,0.01
jarak,0.01
jas,0.01
jasa,0.01
jin,0.02
jinju,0.01
jo,0.01
jodoh,0.01
jongki,0.01
jual,0.02
juga,0.059
jungpal,0.01
juni,0.01
junki,0.01
kabur,0.01
kadang,0.01
kalau,0.039
kale,0.01
kali,0.01
kamar,0.01
kan,0.02
kapan,0.01
karena,0.039
karma,0.01
kasi,0.02
kasih,0.01
ke,0.02
kecil,0.01
kecuali,0.01
kekal,0.01
kemarin,0.02
ken,0.02
kenal,0.01
kenapa,0.039
kencang,0.01
kenyang,0.01
kepala,0.01
kerang,0.01
kereta,0.02
kerja,0.029
kesana,0.02
ketemu,0.01
ketika,0.01
kfc,0.02
khusus,0.01
ki,0.02
kilap,0.01
kirimin,0.029
kisah,0.01
kita,0.01
kode,0.01
kolam,0.01
konseling,0.01
konser,0.049
kontak,0.01
kopi,0.01
korban,0.01
korea,0.02
kota,0.01
koyo,0.01
krim,0.01
ktp,0.01
kuah,0.02
kuat,0.02
kuning,0.01
kuota,0.02
kyknya,0.01
kyot,0.01
la,0.029
laba,0.01
lagi,0.02
lagu,0.029
lahap,0.01
laki,0.039
lama,0.02
langsung,0.02
lantai,0.01
lapar,0.01
laptop,0.01
larang,0.01
lawson,0.01
leable,0.01
lebaran,0.01
lebih,0.078
lelah,0.01
lenteng,0.01
liar,0.01
libur,0.01
liptint,0.02
liwet,0.01
lokasi,0.02
loncat,0.01
lulus,0.01
lupa,0.02
maaf,0.039
maci,0.01
mahal,0.02
mai,0.01
mak,0.01
makasar,0.01
maksa,0.01
malas,0.01
malu,0.049
mampir,0.01
mana,0.02
mangarai,0.01
manusia,0.01
masih,0.01
mati,0.01
matkul,0.01
mau,0.02
mauk,0.01
mav,0.02
mbanking,0.01
meetup,0.01
meis,0.01
memang,0.049
memories,0.01
memorist,0.01
mempan,0.01
menang,0.01
mendengarkan,0.02
menstruasi,0.01
mentang,0.02
menu,0.01
merk,0.01
mes,0.01
mewek,0.01
minat,0.01
minimal,0.01
minta,0.01
minum,0.039
minyak,0.01
miskin,0.01
misquen,0.01
ml,0.01
mobil,0.01
modal,0.01
monmav,0.01
motivasi,0.01
muda,0.02
mujigae,0.01
murah,0.01
musim,0.01
nad,0.01
nafas,0.01
nahitu,0.01
nama,0.01
nang,0.02
nasdang,0.01
nasi,0.029
nazla,0.01
nethink,0.01
ngabisin,0.01
ngambil,0.01
ngantuk,0.01
ngebayangin,0.01
ngebuat,0.01
ngelakuin,0.01
ngembeng,0.01
ngenes,0.01
ngepas,0.01
ngeplay,0.01
ngestalking,0.01
ngetik,0.01
ngidam,0.01
ngonser,0.02
ngunyah,0.01
niat,0.02
nikmatin,0.01
ningalin,0.01
noda,0.01
nugu,0.01
nya,0.01
nyanyi,0.01
nyata,0.01
nyender,0.01
nyengir,0.02
nyeri,0.01
nyetok,0.01
nyonya,0.01
nyundul,0.01
obat,0.02
obrol,0.01
oh,0.01
ohiya,0.01
oiya,0.02
oma,0.01
omaci,0.01
omong,0.01
orang,0.029
pa,0.01
pacar,0.02
padahal,0.02
pakai,0.078
paling,0.02
paman,0.029
panas,0.02
panci,0.01
pantas,0.088
parah,0.01
pasrah,0.01
peduli,0.01
pegang,0.01
pekerjaan,0.01
pengirim,0.01
percaya,0.01
pergi,0.02
periksa,0.01
perkedel,0.029
pernah,0.01
pertama,0.01
perut,0.01
pi,0.01
pikir,0.039
playing,0.01
posthink,0.01
presiden,0.01
pricey,0.01
prima,0.01
produktif,0.01
profesional,0.01
proposal,0.01
psb,0.01
psikopat,0.02
puces,0.01
pulang,0.02
pusing,0.01
putih,0.01
putri,0.01
rabun,0.02
racun,0.01
raisa,0.01
raja,0.01
ranjau,0.01
rapih,0.01
rasa,0.01
rela,0.01
rendang,0.01
resolusi,0.01
revisi,0.01
ribu,0.039
rindu,0.049
riuh,0.01
rumah,0.049
sabrina,0.01
sadar,0.01
sahur,0.01
saja,0.02
saking,0.01
sakit,0.029
saksi,0.01
salju,0.01
sama,0.088
sampah,0.029
sampai,0.098
satu,0.01
saudara,0.147
saya,0.372
sayang,0.039
sayur,0.01
sdgkn,0.01
sebagai,0.01
section,0.01
sedih,0.02
segaban,0.01
sejak,0.01
sekali,0.343
sekarang,0.02
sekloteran,0.01
selamat,0.039
selesai,0.02
selingkuhin,0.01
semangat,0.02
sembarang,0.01
seminar,0.01
seminggu,0.01
semoga,0.01
senang,0.02
senyesek,0.01
seo,0.01
seperti,0.039
serebun,0.01
seru,0.01
sesi,0.01
sewa,0.01
sher,0.029
shopepaylater,0.01
si,0.02
sial,0.029
siapa,0.01
sibuk,0.01
sidang,0.039
sigit,0.01
sih,0.029
sj,0.02
sjtv,0.01
slot,0.01
songhwa,0.01
sore,0.01
spesial,0.01
spotify,0.01
srigala,0.01
ss,0.039
stan,0.01
stasiun,0.02
streaming,0.01
sudah,0.284
sumpah,0.039
sungjun,0.01
supershow,0.01
susah,0.01
swt,0.01
sygsyg,0.02
tadi,0.01
tahu,0.059
tahun,0.049
takol,0.01
takut,0.02
tangan,0.01
tanggal,0.01
tangis,0.01
tapi,0.069
taplus,0.02
tawa,0.117
tears,0.01
teasernya,0.01
tekan,0.01
telepon,0.039
teman,0.039
tempat,0.029
temu,0.029
tengah,0.01
tentara,0.01
teokpoki,0.01
ter,0.01
terima,0.01
terimakasih,0.01
terus,0.02
tes,0.01
tetap,0.029
thr,0.02
thrnya,0.01
tiap,0.01
tiba,0.039
tidak,0.519
tidur,0.029
tiket,0.02
tiktok,0.01
tinggal,0.029
toep,0.01
tokopedia,0.01
tolak,0.01
tolong,0.069
tonimoli,0.01
tonton,0.098
total,0.02
traktir,0.01
transisi,0.01
tugas,0.01
tuhan,0.029
tulis,0.01
tumpu,0.01
tutup,0.02
uang,0.039
ujan,0.02
uju,0.02
ukur,0.02
ulang,0.039
undang,0.01
untuk,0.01
upil,0.01
vagabond,0.01
veteran,0.01
vira,0.01
vod,0.02
wakakaka,0.01
wakakakaka,0.01
waktu,0.01
wanita,0.039
waras,0.01
warna,0.01
wasap,0.01
wgwgwgw,0.01
whein,0.01
wuhuw,0.01
ya,0.069
yang,0.127
yaudahlah,0.01
yesung,0.01
yobo,0.01
youtuber,0.01
yuhuw,0.01
yupsie,0.01
ywdh,0.01
