term,weight
able,0.004
acak,0.004
ada,0.025
adalah,0.151
adan,0.004
adios,0.004
aduh,0.004
adventures,0.004
advisor,0.004
agama,0.004
agar,0.008
air,0.004
ajar,0.004
ajawi,0.004
akan,0.05
akhir,0.021
akun,0.004
akur,0.004
al,0.004
alam,0.004
alas,0.008
allah,0.013
alpaca,0.004
amal,0.004
aman,0.025
amat,0.004
ambience,0.004
ambil,0.004
amin,0.021
ampun,0.013
an,0.021
anak,0.004
anbu,0.004
anda,0.159
aneh,0.008
angkat,0.008
anku,0.004
anniversary,0.004
any,0.017
anyone,0.004
apa,0.075
aplikasi,0.004
artikel,0.004
artsy,0.004
arus,0.004
asa,0.013
asiknya,0.004
asked,0.004
asli,0.021
asuransi,0.008
atas,0.013
atur,0.004
autodebet,0.004
avoided,0.004
awal,0.004
ax,0.008
axa,0.008
ayah,0.004
ayo,0.029
baca,0.017
baekhyun,0.004
bagai,0.004
bagaimana,0.029
bagi,0.017
bagus,0.008
bahahaha,0.004
bahan,0.004
bahkan,0.004
baik,0.046
baju,0.017
bakat,0.004
balada,0.004
balas,0.017
banding,0.004
bangga,0.008
bangun,0.013
bank,0.029
bantu,0.004
banyak,0.025
baru,0.025
based,0.008
batal,0.004
bateq,0.004
batik,0.008
bawa,0.008
bayang,0.004
bayar,0.013
bayi,0.025
bca,0.017
bebasin,0.004
becak,0.004
beda,0.042
bedain,0.004
begini,0.004
begitu,0.042
belakang,0.004
belanja,0.004
beli,0.008
belum,0.017
benar,0.042
benci,0.004
benda,0.004
berani,0.013
berapa,0.017
beri,0.004
berita,0.025
bersih,0.004
besar,0.021
besok,0.004
betrayed,0.004
biasa,0.021
biaya,0.004
bicara,0.004
bihalal,0.004
bik,0.008
bilang,0.004
bilangin,0.004
billing,0.004
bintang,0.004
bioskop,0.013
biru,0.017
bisa,0.071
bisnis,0.004
blonde,0.004
bohong,0.008
boko,0.004
bola,0.008
bong,0.004
bosan,0.004
boys,0.004
brand,0.004
braver,0.004
browsing,0.004
buat,0.096
budak,0.004
buka,0.029
bukan,0.004
bukti,0.004
bulan,0.004
bule,0.004
bumi,0.008
bunga,0.004
buruk,0.004
butuh,0.013
cadang,0.004
cahaya,0.008
cair,0.008
canda,0.013
cantik,0.004
capa,0.004
capai,0.004
cara,0.021
cari,0.021
casts,0.004
cat,0.013
catat,0.004
cath,0.004
cathy,0.004
cats,0.004
cc,0.017
celaka,0.004
celana,0.008
cemil,0.042
cemilan,0.004
cepat,0.013
cepetan,0.004
cerita,0.021
chanyeol,0.017
chanyeolnya,0.004
chanyeols,0.004
chatnya,0.004
chilling,0.004
cie,0.004
cinta,0.033
cipta,0.004
cita,0.004
coba,0.029
coban,0.004
cocok,0.008
colab,0.004
collects,0.004
cont,0.017
cornelia,0.004
corona,0.013
correcting,0.008
correlate,0.004
covidnya,0.004
crazier,0.004
cs,0.004
cuma,0.033
cumi,0.004
cuts,0.004
dada,0.004
dadak,0.004
daftar,0.008
dalam,0.008
dan,0.121
dana,0.004
dandan,0.004
dapat,0.021
dari,0.092
darimana,0.004
daripada,0.004
darurat,0.004
datang,0.013
datar,0.008
december,0.004
deketku,0.004
demi,0.004
deng,0.004
dengan,0.025
dengar,0.008
depan,0.017
depends,0.004
desember,0.004
detox,0.008
di,0.075
dia,0.021
diam,0.004
dibandingin,0.004
dibatalin,0.004
did,0.008
didik,0.004
didnt,0.004
diemin,0.004
digengam,0.008
dijadwalin,0.004
dijarakin,0.004
dijelasin,0.004
dikelarin,0.004
dikirimin,0.004
dimafin,0.004
dimana,0.004
dingetin,0.004
dingin,0.013
dipikirin,0.004
diri,0.004
disatuin,0.004
disimpen,0.004
disini,0.008
diskon,0.004
ditelfon,0.004
ditelfonin,0.004
doa,0.033
doang,0.029
doesnt,0.008
doing,0.008
dorong,0.004
drama,0.004
dreams,0.004
dress,0.004
drivethru,0.004
duduk,0.004
duka,0.004
dulu,0.021
dunia,0.004
duta,0.004
edisi,0.004
efek,0.004
effortless,0.004
eh,0.013
eid,0.033
either,0.004
ekspedisi,0.004
else,0.004
enak,0.008
english,0.004
episode,0.004
erat,0.004
estetis,0.004
every,0.013
exact,0.004
except,0.008
exo,0.008
exos,0.004
fakta,0.013
fansite,0.004
fast,0.008
favorit,0.033
featuring,0.004
februari,0.004
felan,0.008
felingku,0.004
film,0.004
fitbar,0.004
fitr,0.004
five,0.004
flash,0.004
flows,0.004
fond,0.004
former,0.004
foto,0.063
french,0.004
fries,0.004
fuschiaskincare,0.004
gadis,0.013
gagal,0.004
ganti,0.004
gantung,0.013
gara,0.013
gaya,0.004
gelap,0.004
gemas,0.013
gemesin,0.004
genuinely,0.004
getaway,0.004
ghaib,0.004
gin,0.063
gitar,0.008
goes,0.004
gombrong,0.004
gosip,0.004
grafik,0.004
habis,0.013
had,0.004
hak,0.004
halal,0.004
halloo,0.004
halowen,0.004
haluan,0.004
hampers,0.021
hampir,0.013
hanya,0.042
happiest,0.004
hapynes,0.004
harap,0.008
hardwork,0.004
harfiah,0.004
harga,0.008
hari,0.033
harus,0.029
has,0.008
hashtag,0.004
hasil,0.004
hati,0.013
hebat,0.004
heist,0.004
henti,0.004
heran,0.013
heres,0.004
