term,weight
ada,0.072
adalah,0.024
adol,0.006
aduh,0.012
agama,0.024
agar,0.048
agun,0.006
agus,0.006
agustus,0.006
ajak,0.006
ajar,0.048
akhir,0.018
aku,0.006
akun,0.012
alam,0.012
alami,0.012
alas,0.006
alat,0.006
aman,0.048
amangboru,0.006
ambil,0.006
ampas,0.012
ampun,0.006
an,0.012
anak,0.042
analisis,0.006
anda,0.066
andaliman,0.006
anggota,0.006
angin,0.012
anin,0.006
anough,0.006
antropologi,0.006
apa,0.084
apapaun,0.006
apsc,0.006
arah,0.006
arep,0.012
arsik,0.006
asean,0.012
asumsi,0.012
atau,0.006
ateis,0.006
atur,0.018
awak,0.012
awkawkakak,0.006
awokawok,0.006
ayo,0.024
baca,0.03
bacan,0.006
bada,0.006
badan,0.024
bagai,0.018
bagaimana,0.066
bagas,0.006
bagi,0.054
bagus,0.054
bahaha,0.006
bahahaha,0.006
bahan,0.018
bahas,0.018
bahasa,0.012
bahkan,0.012
bahwa,0.012
baik,0.03
balek,0.006
banding,0.006
bang,0.036
bangsa,0.006
bangun,0.006
bank,0.012
bantu,0.03
banyak,0.03
bapak,0.006
baru,0.018
batak,0.024
batas,0.006
bau,0.012
bawa,0.048
bawang,0.006
bayang,0.012
beban,0.006
beberapa,0.006
beda,0.006
begimana,0.006
begini,0.006
begitu,0.084
behel,0.006
bekal,0.006
bekas,0.006
beli,0.006
beliau,0.03
belum,0.036
ben,0.006
benar,0.06
benarkan,0.006
benci,0.006
benernya,0.006
benjamin,0.006
bentar,0.006
bentuk,0.012
berani,0.006
berat,0.018
beri,0.006
bermanfat,0.006
bersih,0.006
berterimakasih,0.006
besar,0.006
beta,0.006
betarti,0.006
betol,0.006
betul,0.012
bgke,0.006
biaya,0.006
bicara,0.048
bilang,0.048
biologis,0.012
bisa,0.06
bising,0.006
bla,0.012
blueprint,0.006
boh,0.006
boleh,0.006
bolu,0.006
boong,0.006
bos,0.006
boyfriend,0.006
buah,0.006
buat,0.048
bucinan,0.012
budak,0.006
budayane,0.006
buka,0.024
bukan,0.018
bukti,0.006
buku,0.006
buron,0.006
buset,0.012
buyong,0.006
buyung,0.006
cabut,0.006
cairin,0.006
canda,0.018
cara,0.018
cari,0.042
carik,0.006
catcalling,0.006
cem,0.006
cemil,0.024
cepat,0.012
ceramah,0.006
cerita,0.006
ceritane,0.006
cinta,0.024
coachnya,0.006
coba,0.036
cocok,0.012
cok,0.012
comparing,0.006
competitionya,0.006
copas,0.006
crita,0.012
critical,0.006
cukup,0.024
cuma,0.036
curug,0.012
daftar,0.006
daging,0.006
dal,0.006
dalam,0.024
dan,0.042
dapetnya,0.006
dar,0.006
dari,0.054
datang,0.006
dedi,0.006
deh,0.012
dekat,0.012
dengan,0.018
dengar,0.012
depa,0.006
depan,0.006
