term,weight
abu,0.023
ada,0.012
adalah,0.093
admin,0.046
aduh,0.012
agar,0.012
air,0.046
ajak,0.012
ajar,0.012
akan,0.012
akhir,0.046
aksesibilitas,0.012
aktif,0.012
akting,0.012
aku,0.012
akun,0.023
alam,0.012
album,0.023
alec,0.012
alias,0.023
alih,0.012
alir,0.012
anak,0.012
anda,0.208
ander,0.012
aneh,0.012
anjg,0.023
anjrt,0.012
apa,0.139
apalagi,0.012
apel,0.012
artlinx,0.012
asia,0.012
asik,0.023
asing,0.012
asus,0.012
atau,0.012
attacked,0.012
authornya,0.012
ayah,0.012
ayun,0.012
bagaimana,0.023
bagi,0.012
bagus,0.104
bahan,0.012
baik,0.012
bajing,0.046
bakat,0.035
balik,0.012
banding,0.012
bang,0.012
bangkok,0.012
bangsa,0.012
bangun,0.012
barang,0.012
baru,0.023
bawa,0.012
bayang,0.012
bcs,0.012
beda,0.012
bedain,0.012
begitu,0.058
beli,0.023
belum,0.023
benar,0.035
benarkan,0.012
benjamin,0.012
bentukanya,0.012
berapa,0.012
berat,0.012
bersih,0.012
besides,0.012
bibi,0.012
bicara,0.012
bilie,0.012
bingung,0.023
bioskop,0.012
biru,0.012
bisa,0.058
blacklist,0.035
blok,0.023
bocor,0.012
bodoh,0.012
bola,0.012
boys,0.012
breakout,0.012
brian,0.012
btch,0.012
bts,0.012
buang,0.012
buat,0.069
budhist,0.012
bukan,0.012
bumi,0.012
buruk,0.023
buta,0.012
butuh,0.035
cahaya,0.012
cara,0.023
cari,0.012
cause,0.012
cavetown,0.012
cepat,0.012
cepetan,0.012
chasing,0.012
cinta,0.035
coba,0.012
colab,0.035
colour,0.012
conan,0.023
concerts,0.012
creatus,0.012
cuma,0.012
dalam,0.023
dan,0.046
danbam,0.012
dapat,0.012
dari,0.069
datang,0.012
deadlinenya,0.012
debat,0.012
dekat,0.023
demam,0.012
dengan,0.035
deserves,0.012
di,0.058
dia,0.012
did,0.012
digital,0.012
dih,0.012
dik,0.012
dika,0.012
dipakai,0.012
diri,0.023
discovered,0.012
disebutin,0.012
diskon,0.012
dj,0.012
dmnya,0.012
doang,0.035
dong,0.012
dorong,0.012
dua,0.012
dunia,0.035
east,0.012
eh,0.012
eilish,0.012
ekstrim,0.012
elah,0.012
enak,0.023
engsub,0.012
engsubnya,0.012
enough,0.012
episode,0.046
est,0.012
estetik,0.012
every,0.012
fanbase,0.012
fathia,0.023
favorit,0.023
film,0.081
filsafat,0.012
fizi,0.012
flis,0.012
fodfes,0.012
friendzone,0.012
froyonion,0.012
gadis,0.012
gambar,0.046
ganggu,0.012
ganti,0.012
gantung,0.012
gaya,0.012
gb,0.012
gebetanku,0.012
gelap,0.046
gerah,0.012
getar,0.012
geun,0.012
ghibli,0.012
ghosts,0.012
gilir,0.012
gin,0.035
gm,0.012
gmtv,0.023
google,0.023
gotta,0.012
gpogle,0.012
graha,0.012
gratis,0.023
gugel,0.012
guru,0.012
habis,0.012
hadiah,0.012
hai,0.035
haikal,0.012
halaman,0.012
hanya,0.035
harap,0.023
harga,0.023
hari,0.012
harus,0.012
hebat,0.012
heist,0.012
hela,0.023
hidup,0.035
hilang,0.023
his,0.012
hitung,0.012
hologram,0.012
homestay,0.012
hubung,0.012
humoris,0.035
ibu,0.035
ikut,0.012
ilustrator,0.012
in,0.035
indonesia,0.058
indonesian,0.012
ingat,0.012
ingin,0.012
ini,0.139
instagram,0.046
interface,0.012
interstellar,0.023
ipin,0.012
itaewon,0.023
itu,0.394
iya,0.023
izati,0.012
jadi,0.081
jal,0.012
jalan,0.023
jam,0.046
jambu,0.012
james,0.012
janji,0.012
jatuh,0.012
jbjb,0.012
jelas,0.023
jenius,0.012
jensen,0.012
jika,0.046
jonas,0.012
juga,0.023
jujur,0.012
jum,0.012
kabur,0.012
kadang,0.012
kakanya,0.012
kalah,0.012
kalau,0.116
kali,0.023
kamernya,0.012
kamis,0.012
kan,0.012
kanjeng,0.012
kanker,0.012
karakter,0.081
karantina,0.012
karena,0.081
kasi,0.023
kasihan,0.035
ke,0.012
keburu,0.012
kekeyi,0.012
kelas,0.012
keluar,0.012
keluarga,0.023
ken,0.069
kena,0.058
kenapa,0.012
kendi,0.012
kentang,0.012
kepala,0.012
keren,0.035
kerja,0.012
ketemu,0.012
ketik,0.023
ketika,0.012
kids,0.012
kills,0.012
kinda,0.023
kira,0.012
kirby,0.012
koh,0.012
komentar,0.023
konflik,0.012
konsep,0.012
konten,0.012
krow,0.012
kubus,0.012
kuno,0.012
kuota,0.023
lagi,0.035
lagu,0.023
lain,0.012
laki,0.035
lama,0.012
langsung,0.023
lanjut,0.012
lanjutanya,0.012
laptop,0.012
lebih,0.023
leo,0.012
lesgo,0.012
letting,0.012
liat,0.023
lihat,0.035
lingkar,0.012
listening,0.012
litle,0.012
look,0.012
lowkey,0.012
lucrecia,0.012
lucu,0.012
lucut,0.012
lukis,0.012
lulus,0.012
lupa,0.012
maaf,0.012
mai,0.012
maia,0.012
main,0.012
maklum,0.012
maksa,0.023
mampu,0.012
mana,0.012
mancur,0.012
marmut,0.012
martha,0.023
masang,0.012
masih,0.035
masuk,0.012
matahari,0.023
mati,0.012
mau,0.012
max,0.012
mei,0.012
melar,0.012
memang,0.023
memori,0.012
menang,0.012
merah,0.012
milik,0.035
mimpi,0.012
mingir,0.012
minimal,0.012
minimalism,0.012
mitra,0.012
mobil,0.012
mucikari,0.012
mudah,0.035
mulai,0.012
mundus,0.012
murah,0.012
murakami,0.012
musik,0.012
musim,0.116
mxmton,0.012
nadao,0.012
nafas,0.012
naik,0.035
nama,0.012
namtarn,0.023
nang,0.012
nangung,0.023
nanon,0.023
napas,0.012
neraka,0.023
netflix,0.012
ngabuburit,0.012
ngalor,0.012
ngebantu,0.012
ngeri,0.012
ngetik,0.012
ngi,0.012
ngidul,0.012
ngurus,0.012
nila,0.023
nintendo,0.012
nyala,0.046
nyasar,0.012
nyata,0.012
nyogok,0.012
oke,0.035
okedeh,0.012
okja,0.012
old,0.012
oleh,0.012
ongkir,0.012
online,0.012
orang,0.035
orangorang,0.012
ost,0.012
over,0.023
pada,0.012
pagi,0.023
paham,0.012
pakai,0.058
pandemi,0.012
panjang,0.012
pantas,0.012
paralel,0.012
parsel,0.023
pedas,0.012
peduli,0.012
pegang,0.012
penasaran,0.012
pengirim,0.093
peras,0.023
percaya,0.012
pergi,0.023
pernah,0.023
peron,0.012
pertama,0.012
pikir,0.046
pilih,0.012
pindah,0.023
pis,0.012
pokemon,0.012
polisi,0.012
poster,0.012
potensi,0.012
potkes,0.012
primily,0.012
produk,0.012
promosi,0.012
proyek,0.023
ps,0.023
puimek,0.012
puluh,0.012
punya,0.023
putar,0.012
radit,0.012
raditya,0.012
rahasia,0.012
raja,0.023
rapot,0.012
rasa,0.046
ratu,0.023
realised,0.012
redraw,0.012
replynya,0.012
rilis,0.012
robot,0.012
romancenya,0.023
rumah,0.012
ruwet,0.012
saeroyi,0.012
sahur,0.012
saja,0.035
salah,0.035
sama,0.069
sampai,0.104
sapa,0.012
sarseh,0.012
satu,0.035
saudara,0.104
saya,0.266
sayang,0.012
sebagai,0.023
sedih,0.035
segi,0.012
sejuk,0.012
sekali,0.139
sekarang,0.023
selalu,0.012
selamat,0.023
selesai,0.012
semesta,0.012
seminggu,0.012
semoga,0.012
sempurna,0.012
semua,0.058
senang,0.012
sendiri,0.023
seperti,0.093
seri,0.139
seseorang,0.012
sesuatu,0.012
seven,0.012
shipper,0.012
shopee,0.023
sial,0.093
siap,0.012
siapa,0.035
sic,0.012
sidang,0.012
silsilah,0.023
sinar,0.012
sisi,0.012
smartfren,0.012
sos,0.012
spotify,0.023
stories,0.012
strange,0.012
strangers,0.012
streaming,0.012
such,0.012
sucksed,0.012
sudah,0.185
suka,0.012
sunflower,0.012
sungguh,0.035
susah,0.012
syuting,0.012
tahu,0.081
tahun,0.081
takashi,0.012
taman,0.012
tamat,0.012
tanah,0.035
tanda,0.012
tangan,0.012
tanjung,0.012
tapi,0.139
tarik,0.023
tawa,0.127
tayang,0.023
telah,0.023
teleport,0.012
teman,0.035
tembak,0.035
temu,0.012
tenang,0.012
tentang,0.012
teotfw,0.012
terang,0.012
terimakasih,0.046
terlihat,0.012
tetap,0.023
thor,0.012
thx,0.012
tidak,0.417
tidur,0.012
tiket,0.012
tiktok,0.035
tikung,0.012
times,0.012
tinggal,0.012
tinggi,0.012
tipe,0.012
tipu,0.012
toko,0.012
tokoh,0.012
tolong,0.046
tonton,0.127
toped,0.012
trailer,0.012
tren,0.023
tri,0.046
tugas,0.012
tuhan,0.035
tunggu,0.012
tutup,0.012
twitter,0.023
two,0.012
uang,0.023
ujian,0.023
unggah,0.012
uniqlo,0.012
untuk,0.104
upin,0.012
utama,0.035
ve,0.023
versi,0.012
versionya,0.012
visual,0.012
wakil,0.012
waktu,0.035
wanita,0.035
wanted,0.012
wap,0.023
wapa,0.012
wastana,0.012
webinar,0.012
wisuda,0.012
wonder,0.012
ya,0.012
yak,0.012
yang,0.15
youtube,0.012
