term,weight
acaranare,0.014
ada,0.072
adalah,0.014
admin,0.043
aduh,0.014
agama,0.014
agar,0.029
air,0.014
akan,0.014
akhir,0.014
akun,0.014
alamin,0.014
alas,0.014
alaya,0.014
alergi,0.057
aman,0.014
ambil,0.029
amin,0.043
ampun,0.014
an,0.072
anak,0.057
anda,0.072
apa,0.129
aremanita,0.014
asih,0.014
asli,0.029
asper,0.014
astaga,0.043
ayam,0.014
ayo,0.043
ba,0.014
babakan,0.014
baca,0.057
bacan,0.029
bagaimana,0.057
bagi,0.014
bagus,0.043
bahasa,0.014
baik,0.043
balik,0.014
bang,0.014
bangun,0.043
bangunin,0.029
bansos,0.014
bantu,0.029
banyak,0.029
bapak,0.057
bareng,0.014
bata,0.014
batal,0.014
batu,0.014
bebek,0.014
bedan,0.014
begitu,0.043
belah,0.014
beli,0.014
beliau,0.014
belum,0.029
benar,0.057
bening,0.014
bentol,0.029
berat,0.014
berita,0.014
berkat,0.014
besar,0.014
betul,0.014
biadab,0.014
biasa,0.014
bib,0.014
bilang,0.014
binatang,0.014
bingung,0.014
bogor,0.029
bonsai,0.043
buah,0.014
buat,0.029
buaya,0.014
buka,0.086
bukan,0.014
bulan,0.014
bulane,0.014
bunder,0.014
bunuh,0.014
bunyi,0.014
buruk,0.014
butuh,0.014
calo,0.029
calon,0.014
cantik,0.029
cari,0.043
cemil,0.014
cendol,0.014
ceplok,0.014
cerewet,0.014
cinta,0.057
coba,0.029
cocok,0.014
cocokologi,0.014
corona,0.014
cuci,0.014
cuma,0.029
cumi,0.029
da,0.014
dadit,0.014
daftar,0.029
dalam,0.014
damai,0.014
dan,0.029
dapat,0.029
dasar,0.043
debat,0.043
dekat,0.029
dekor,0.014
dengar,0.014
deras,0.014
dhumah,0.014
di,0.029
dia,0.014
dicengin,0.014
didi,0.029
dil,0.014
dingin,0.014
dita,0.014
dosa,0.014
dospem,0.014
dospemku,0.014
drama,0.029
dsm,0.014
duaniawi,0.029
dudidudidam,0.014
dulu,0.029
duniawi,0.014
duplikat,0.014
dustin,0.014
eh,0.101
elek,0.014
enak,0.029
es,0.043
euy,0.014
fala,0.014
fardu,0.014
firda,0.014
fizi,0.014
formalitas,0.014
fungsi,0.014
gabus,0.014
gadis,0.029
game,0.014
gatelnya,0.014
gelas,0.014
ghodlobun,0.014
gibah,0.014
gila,0.043
gin,0.043
gladi,0.014
gulma,0.014
gunung,0.014
guru,0.072
gus,0.029
habis,0.014
hadir,0.014
hai,0.014
handai,0.014
hanya,0.014
hara,0.014
hari,0.029
harus,0.057
hati,0.072
hayo,0.014
hebat,0.014
hibernasi,0.014
hidung,0.043
hijrah,0.014
hil,0.014
hitam,0.014
hiyaks,0.014
humoris,0.014
huruf,0.014
hyun,0.014
ian,0.014
ibu,0.043
ilmu,0.014
in,0.014
inalilahi,0.014
informatif,0.014
ingin,0.086
ini,0.144
insting,0.014
irit,0.014
istri,0.014
itu,0.043
iya,0.014
jadi,0.043
jaga,0.014
jagain,0.014
jagal,0.014
jal,0.029
jalan,0.029
jam,0.029
janjin,0.014
jaran,0.014
jari,0.014
jateng,0.014
jauh,0.014
jebule,0.014
jelek,0.014
jemarine,0.014
jepara,0.057
jiwa,0.029
jodoh,0.014
jomblo,0.014
jual,0.029
juga,0.043
kabar,0.014
kacamata,0.014
kadang,0.014
kah,0.029
kalah,0.014
kalau,0.201
kali,0.057
kalian,0.014
kambung,0.014
kamera,0.014
kami,0.014
kangkung,0.014
kapan,0.014
karang,0.014
karena,0.029
karya,0.029
kasih,0.014
kasus,0.014
kaum,0.014
kayak,0.072
kayalnya,0.014
ke,0.029
kebun,0.029
kecil,0.014
kelai,0.014
kelas,0.014
keliling,0.014
keluarga,0.072
kemarin,0.014
kembali,0.014
kempot,0.029
ken,0.043
kenal,0.014
kenang,0.014
kenapa,0.029
kepedean,0.014
kepiting,0.043
kerabat,0.014
keren,0.029
kesasar,0.014
kesini,0.014
ketawain,0.014
ketemu,0.057
ketimbang,0.014
kim,0.014
kiri,0.014
kirim,0.014
kisah,0.014
kita,0.014
kla,0.014
koda,0.014
koma,0.014
komentar,0.014
komitmen,0.014
kontes,0.014
korea,0.014
krapyak,0.014
kua,0.014
kulit,0.014
kuota,0.014
lagi,0.086
lagu,0.029
lain,0.014
laki,0.086
lam,0.014
landas,0.014
lanjut,0.014
larang,0.014
laron,0.014
lauk,0.014
laut,0.014
lebaran,0.029
lee,0.014
legenda,0.014
lek,0.043
lekas,0.043
leuwiliang,0.014
lihat,0.014
loh,0.029
lokasi,0.014
lucu,0.014
lukman,0.072
lumayan,0.014
lupa,0.072
maaf,0.072
madrasah,0.014
mahal,0.014
mahasiswa,0.029
mahir,0.014
malas,0.014
malemnya,0.014
mangkal,0.014
manis,0.014
manta,0.014
mantap,0.014
maph,0.014
masak,0.029
masih,0.029
masjid,0.014
masuk,0.014
masul,0.014
masya,0.057
mau,0.014
memang,0.043
memberi,0.014
mendengarkan,0.014
menikah,0.029
mesti,0.014
milik,0.014
mimpi,0.014
minat,0.014
minggu,0.014
minho,0.014
mobil,0.014
mobile,0.014
mobilenya,0.014
modus,0.029
motor,0.014
muda,0.014
