term,weight
abdaubismilahi,0.014
ada,0.057
adalah,0.029
adi,0.014
admin,0.057
aduh,0.029
adus,0.029
adzanin,0.014
agama,0.014
agar,0.029
agung,0.014
ajak,0.014
aji,0.014
akan,0.043
akhlak,0.014
alfa,0.014
alkohol,0.014
almond,0.014
aman,0.014
ambil,0.029
amin,0.029
anak,0.086
analis,0.014
ancene,0.014
anda,0.1
angkat,0.014
angur,0.014
anti,0.029
anyar,0.014
apa,0.171
apotek,0.014
artis,0.014
asli,0.014
asline,0.014
astaga,0.014
awanys,0.014
ayah,0.029
ayas,0.014
ayat,0.014
ayo,0.186
baca,0.057
backsoundnya,0.014
bacol,0.014
badai,0.014
bagaimana,0.029
bagus,0.029
bah,0.014
bahas,0.014
bahasa,0.014
bahaya,0.014
baik,0.014
balon,0.014
balsem,0.014
ban,0.014
bangsa,0.014
bangun,0.014
bangung,0.014
bantu,0.029
banyak,0.057
banyu,0.029
bapak,0.071
baptis,0.014
bar,0.043
barang,0.014
bareng,0.014
baring,0.014
batu,0.014
bawa,0.014
bawah,0.014
bayi,0.014
bcl,0.029
beban,0.014
beda,0.014
begitu,0.057
belah,0.014
belakang,0.014
beli,0.029
benar,0.014
berantas,0.014
berat,0.043
beri,0.014
berkat,0.029
besok,0.043
beton,0.014
bibir,0.014
bibit,0.014
biji,0.029
bilang,0.014
bima,0.014
bintang,0.014
binti,0.014
bisa,0.043
bisikin,0.014
blereng,0.029
bobok,0.014
bodoh,0.014
boker,0.014
bola,0.014
boleh,0.014
boom,0.014
bosan,0.014
bram,0.014
brame,0.014
buang,0.029
buat,0.071
buka,0.043
bukan,0.014
burjo,0.014
cakap,0.014
cangkir,0.014
cari,0.057
catur,0.014
cawan,0.014
cela,0.014
cemil,0.014
cerak,0.014
cerdas,0.014
cerita,0.043
cik,0.014
ckckck,0.029
coba,0.029
cok,0.014
cokelat,0.014
cor,0.014
corona,0.014
cuma,0.014
daftar,0.014
dal,0.014
dalam,0.014
damar,0.014
dan,0.014
dapat,0.029
darah,0.029
dari,0.014
daripada,0.014
dbl,0.014
dedek,0.014
deh,0.014
dekat,0.014
demam,0.014
desember,0.014
dharma,0.014
di,0.043
dia,0.014
diar,0.014
diare,0.014
dibalikin,0.014
dibilangin,0.014
dihe,0.014
diombe,0.014
direndem,0.014
disikan,0.014
diucapin,0.014
doa,0.014
doang,0.014
dokter,0.029
dolan,0.029
dong,0.014
dosa,0.014
dowo,0.014
dusun,0.014
duwur,0.014
eaeaea,0.029
eaeaeaeaea,0.014
ecie,0.014
edan,0.014
eh,0.043
ekstrim,0.014
elah,0.014
elus,0.014
enak,0.029
engkau,0.014
engko,0.014
entah,0.014
es,0.014
faldi,0.014
fcnya,0.014
foto,0.014
gabung,0.014
gadis,0.029
gae,0.043
gaje,0.014
gaji,0.014
gandeng,0.014
ganjur,0.014
gara,0.043
gatal,0.014
gbu,0.014
gebe,0.014
geh,0.014
gejayan,0.014
gembala,0.014
gendut,0.014
generasi,0.014
gereja,0.029
gering,0.014
gin,0.057
gletak,0.014
golek,0.014
gonaku,0.014
gong,0.014
guling,0.014
gur,0.057
gus,0.014
habis,0.043
haduh,0.014
hai,0.043
halah,0.029
hambok,0.014
hamidun,0.014
hangat,0.014
hari,0.014
hasil,0.014
hayo,0.014
henset,0.014
hijau,0.014
hikmah,0.014
hits,0.014
hitz,0.014
horor,0.014
hpne,0.014
huahahaha,0.014
hujan,0.029
ibn,0.014
ibu,0.057
ijih,0.014
ikan,0.014
ikut,0.014
iman,0.029
imran,0.014
imunity,0.029
inan,0.029
indah,0.014
indimie,0.014
indonesia,0.014
ingat,0.029
ingetnya,0.014
ini,0.243
inra,0.014
insya,0.014
isi,0.029
iso,0.057
item,0.014
itu,0.071
iya,0.014
iyoi,0.014
izal,0.014
jadi,0.029
jakardah,0.014
jalan,0.057
jam,0.043
jamu,0.014
janji,0.029
jbu,0.014
jelas,0.014
jengkal,0.014
jiwa,0.014
jogjane,0.014
jomblo,0.029
jombor,0.014
juang,0.014
juga,0.043
julidnya,0.014
jumat,0.029
juta,0.014
kabar,0.014
kah,0.014
kalau,0.086
kaliurang,0.014
kamar,0.043
kan,0.029
kandas,0.014
kangkung,0.029
kari,0.014
kasur,0.014
katolik,0.043
kawan,0.029
ke,0.029
kekal,0.014
kelegan,0.014
keluarga,0.014
kemarin,0.029
kembali,0.014
kembang,0.014
kenapa,0.043
kesal,0.014
ki,0.029
kipas,0.014
kira,0.014
kita,0.014
klen,0.014
kliwon,0.014
kod,0.014
koe,0.043
kokap,0.043
komdom,0.014
komuni,0.029
konten,0.014
korea,0.014
korek,0.014
kos,0.043
kosanku,0.014
koyone,0.014
krincing,0.014
kristen,0.014
kristus,0.014
krungu,0.014
kuat,0.043
kucing,0.014
kudus,0.014
kui,0.043
kulkas,0.014
kulon,0.014
lagi,0.029
