term,weight
ada,0.076
adalah,0.019
admin,0.057
adoh,0.019
aduh,0.038
agar,0.019
agus,0.019
ah,0.019
ajak,0.019
akan,0.019
aktifin,0.019
akun,0.019
alas,0.019
alfamart,0.019
ambil,0.019
anak,0.019
ancen,0.019
anda,0.057
angkat,0.019
apa,0.076
aquw,0.019
arek,0.019
asin,0.019
asli,0.019
ason,0.019
astaga,0.038
atas,0.019
ayah,0.019
ayam,0.019
ayo,0.172
bagaimana,0.076
bakar,0.019
banjir,0.019
bantu,0.019
bantuanya,0.019
banya,0.019
banyak,0.019
bapak,0.019
baru,0.019
batal,0.019
batu,0.019
bayar,0.019
beda,0.019
begitu,0.057
belanja,0.019
beli,0.038
belonjo,0.019
belum,0.038
benar,0.076
beng,0.038
benge,0.019
beranda,0.019
bersih,0.019
besek,0.019
besok,0.019
bicara,0.019
biji,0.038
bneran,0.019
bodoh,0.019
bonus,0.019
bor,0.019
buang,0.019
buat,0.038
bucen,0.019
budal,0.019
buka,0.019
bukan,0.019
buncis,0.019
cabai,0.019
cakep,0.038
cantik,0.019
cara,0.019
cari,0.019
catetan,0.019
cc,0.019
cemil,0.019
cenderung,0.019
cerewet,0.019
cipta,0.019
ck,0.019
coba,0.019
coklat,0.019
cubit,0.019
cuma,0.057
dan,0.057
dapat,0.095
dapur,0.019
dasar,0.057
datang,0.019
dekat,0.038
dereng,0.019
dewe,0.019
di,0.095
dia,0.076
diet,0.019
dimana,0.038
dingin,0.019
dipakai,0.019
dong,0.038
drama,0.019
duid,0.057
dun,0.019
durung,0.019
eh,0.038
ekor,0.019
ekwk,0.019
eman,0.019
enak,0.057
endi,0.076
eruh,0.019
ewu,0.019
fajar,0.019
favorit,0.019
fucek,0.019
ganggu,0.019
gangsta,0.019
ganok,0.019
gantung,0.019
gara,0.038
gaul,0.019
gawe,0.019
gaya,0.019
gb,0.019
gel,0.038
gemesh,0.038
gila,0.057
gin,0.057
glico,0.019
godan,0.019
golek,0.019
goroh,0.019
haha,0.019
hahanahaha,0.019
hanya,0.038
hapus,0.019
hareudang,0.038
hari,0.019
hati,0.076
hehehehe,0.019
heran,0.019
hidup,0.019
ho,0.019
hoh,0.019
hoho,0.019
hubung,0.019
humoris,0.019
hyunbin,0.019
ibu,0.019
ikan,0.019
iku,0.057
in,0.019
indihome,0.019
ingetin,0.019
ini,0.286
instal,0.019
isi,0.019
itu,0.134
iya,0.038
iyups,0.019
jackson,0.019
jadi,0.076
jae,0.038
jaewok,0.019
jahit,0.019
jalan,0.038
jam,0.019
jaman,0.038
jareku,0.019
jareng,0.019
jeding,0.019
jengjeng,0.019
jijik,0.019
jua,0.019
juga,0.019
julid,0.038
kalau,0.153
kamar,0.019
kangs,0.019
kapal,0.019
karam,0.019
ke,0.019
kejut,0.019
kelas,0.019
kelelawar,0.019
kelor,0.019
kemarin,0.038
ken,0.038
kenpa,0.019
kentut,0.019
kenyat,0.019
kesal,0.019
ketawa,0.038
kim,0.057
kira,0.019
kiro,0.019
kondo,0.019
kongkon,0.019
konsul,0.019
kota,0.038
koyok,0.019
kuat,0.019
kucing,0.019
kuda,0.019
kuliner,0.019
labirin,0.019
lagu,0.019
lain,0.019
laki,0.038
langsung,0.019
laut,0.019
lebih,0.038
lek,0.115
lelah,0.019
lelep,0.019
lena,0.019
limun,0.019
liptint,0.019
loh,0.076
lor,0.019
losen,0.019
lulus,0.038
lupa,0.019
macet,0.019
majalah,0.019
maksud,0.019
malamg,0.019
malas,0.019
malu,0.057
mangkok,0.019
mas,0.019
masak,0.019
masio,0.019
masuk,0.019
mau,0.019
mben,0.019
mbok,0.038
meh,0.019
memang,0.038
merah,0.019
mereka,0.019
mie,0.038
mienya,0.019
mohon,0.019
motor,0.019
muach,0.019
murah,0.038
murko,0.019
musim,0.019
nama,0.019
nang,0.019
nansi,0.019
nanti,0.019
nata,0.019
naudzubilah,0.019
ndang,0.019
ndek,0.115
nep,0.019
nerima,0.019
ngalam,0.019
ngefangirl,0.019
ngene,0.019
ngenku,0.019
ngiler,0.019
ngongkel,0.019
nguilani,0.019
ngunu,0.019
ngunuku,0.019
nik,0.019
nikmat,0.019
njaluk,0.019
nominal,0.019
non,0.019
numpuk,0.019
nyakitin,0.019
nyambung,0.019
nyamuk,0.019
nyengol,0.019
nyeri,0.019
oalah,0.019
obat,0.019
oe,0.038
ogeb,0.019
ojo,0.019
oke,0.019
omah,0.019
ono,0.038
ovo,0.019
pacar,0.057
paham,0.038
pakai,0.038
paman,0.019
pamerno,0.019
panas,0.019
pangan,0.019
pantas,0.019
pasang,0.038
pasar,0.019
pasien,0.019
payu,0.019
pemberitahuan,0.019
pengirim,0.21
peras,0.019
pergi,0.019
pernah,0.019
pesan,0.019
pese,0.019
peta,0.038
pikir,0.019
pilih,0.019
piring,0.019
pling,0.019
pokak,0.019
porsi,0.019
poster,0.019
pribadi,0.019
privte,0.019
produktif,0.019
prosedur,0.019
psycho,0.019
pusat,0.019
putus,0.019
rabi,0.019
racun,0.038
rahasia,0.019
rasa,0.038
reken,0.019
rem,0.038
rene,0.019
rewatch,0.019
ribu,0.019
rindu,0.019
rupane,0.019
sabar,0.038
sabu,0.019
sabun,0.019
sadar,0.019
saiki,0.019
saja,0.095
sama,0.076
sampah,0.019
sampai,0.038
santai,0.019
sapa,0.019
satu,0.019
saudara,0.21
saya,0.153
sayang,0.038
sayur,0.019
sebentar,0.038
segar,0.019
sekali,0.21
sekolah,0.038
seksi,0.019
selebgram,0.019
selesai,0.019
semangat,0.019
sen,0.038
senep,0.019
seng,0.057
seperti,0.038
sepupu,0.019
seru,0.038
sesuai,0.019
setkg,0.019
shin,0.019
sial,0.019
sido,0.019
sih,0.019
snacknya,0.019
softlens,0.019
stasiun,0.019
suami,0.019
suasana,0.019
sudah,0.153
suka,0.019
suwemen,0.019
syok,0.019
syukur,0.019
taecyeon,0.019
taegu,0.038
tagih,0.019
tahu,0.115
tahun,0.019
tai,0.019
taman,0.019
tampan,0.019
tanduk,0.019
tangan,0.019
tangio,0.019
tangis,0.057
tanya,0.019
tarung,0.019
tawa,0.229
te,0.019
televisi,0.019
telkomsel,0.019
teman,0.019
temenan,0.019
tempat,0.019
tempelin,0.019
temu,0.038
tenaga,0.019
terus,0.019
thun,0.019
tidak,0.439
tidk,0.019
tidur,0.019
tiktok,0.019
tikus,0.019
tinggal,0.038
tlpn,0.038
tobat,0.038
tomat,0.019
tonton,0.057
transfer,0.019
tua,0.019
tuek,0.019
tuhan,0.019
tumpah,0.038
turu,0.019
uang,0.019
uber,0.038
udan,0.019
uji,0.019
ukhti,0.019
ukur,0.019
unameku,0.019
untuk,0.019
untukmuh,0.019
ustadchen,0.019
vincent,0.019
virgo,0.038
wak,0.057
walang,0.019
wang,0.019
wanita,0.134
wedi,0.019
wings,0.019
woco,0.019
wok,0.038
ya,0.019
yang,0.095
yaopo,0.019
yawes,0.019
yayang,0.019
yogyakarta,0.019
yoh,0.019
yol,0.019
yuhu,0.019
zheyenk,0.019
