term,weight
abb,0.015
absolutely,0.008
acara,0.008
ada,0.031
admin,0.008
adon,0.008
aduh,0.023
aelah,0.008
agar,0.015
agus,0.008
agustus,0.008
ahok,0.015
air,0.008
ajak,0.008
ajar,0.008
ajh,0.116
alasan,0.008
alquran,0.015
amar,0.008
ambil,0.008
amin,0.015
ampun,0.015
an,0.039
anak,0.039
anda,0.139
aneh,0.008
angara,0.008
angaran,0.008
angun,0.008
anies,0.046
ank,0.008
antam,0.008
anteng,0.008
anting,0.008
aokaoakoak,0.008
aokaokaokaok,0.008
apa,0.093
aparat,0.015
asiknya,0.008
asli,0.008
astaga,0.008
astaganaga,0.008
atmojo,0.008
atur,0.008
awas,0.008
ayah,0.008
ayang,0.031
ayat,0.008
ayo,0.023
baca,0.046
badan,0.008
bagi,0.008
bahan,0.008
bahas,0.008
bahkan,0.008
baik,0.008
baju,0.008
balil,0.008
bambu,0.023
banci,0.008
banding,0.008
bang,0.015
bangun,0.015
banjir,0.008
bank,0.008
bantaran,0.008
bantu,0.008
banyak,0.031
bapak,0.031
barakalah,0.008
baru,0.039
batal,0.015
batu,0.008
bawah,0.008
bayangin,0.008
bayar,0.008
bayi,0.023
bea,0.008
bearti,0.008
bebas,0.008
beda,0.008
begitu,0.093
belah,0.015
beli,0.015
beliau,0.008
belum,0.031
benar,0.039
bengkalai,0.008
bentuk,0.008
berat,0.008
bergo,0.008
berisik,0.008
berita,0.008
besar,0.015
betewe,0.015
betrand,0.008
bicara,0.008
bilang,0.008
bini,0.015
biru,0.008
bisa,0.07
boba,0.008
bobanya,0.008
bobby,0.008
bocor,0.008
bodoh,0.015
bogor,0.008
bolak,0.008
boleh,0.008
bri,0.008
bruntusan,0.008
buah,0.008
buang,0.008
buat,0.077
buka,0.008
bukan,0.008
bukti,0.008
bulan,0.015
bulet,0.008
bunyi,0.008
buruk,0.008
buton,0.023
butuh,0.008
bysanya,0.015
calon,0.008
camen,0.008
cantik,0.015
capai,0.008
cat,0.008
catat,0.008
cc,0.015
cemil,0.008
cepat,0.008
cerewet,0.008
cerita,0.015
ci,0.062
cian,0.008
ciji,0.031
cileungsi,0.015
cimahi,0.008
cina,0.039
cincin,0.008
cinta,0.023
cipou,0.008
ck,0.015
ckckckck,0.008
coba,0.008
contentny,0.008
corona,0.015
cucuny,0.008
cuma,0.023
cuman,0.015
dada,0.015
dagelanya,0.008
dalam,0.008
dapat,0.015
darah,0.008
dari,0.093
dasar,0.008
datang,0.008
datar,0.008
daun,0.008
dbales,0.008
dedek,0.008
dekat,0.015
dendam,0.008
dengan,0.008
dengkur,0.008
depan,0.008
depresi,0.008
desa,0.023
desak,0.008
dgtuin,0.008
dhe,0.015
di,0.008
dia,0.116
diam,0.008
dian,0.008
dien,0.008
dikeluarin,0.008
dikit,0.008
diri,0.008
dirumahaja,0.008
dkabarin,0.008
dkasih,0.008
dki,0.008
dliatin,0.008
dluar,0.008
doa,0.015
doank,0.015
dodol,0.008
dokter,0.031
domba,0.008
dong,0.023
dosa,0.008
dpaksa,0.008
dperpanjang,0.008
drmh,0.023
drmhnya,0.008
dsamping,0.008
dsana,0.008
dsini,0.008
dsitu,0.023
dululah,0.008
eci,0.015
efek,0.015
eh,0.015
eim,0.008
ekspor,0.008
el,0.008
emaknya,0.008
emas,0.008
en,0.008
enas,0.008
es,0.008
esde,0.008
everydays,0.008
facial,0.008
faedah,0.008
faisal,0.008
fdration,0.008
foto,0.008
fpi,0.008
fridaynight,0.008
fu,0.008
fucknya,0.008
fufufu,0.008
gabernernya,0.008
gabung,0.008
gadget,0.008
gadis,0.008
gagal,0.008
gambar,0.008
ganti,0.008
gara,0.008
gemuk,0.008
geplak,0.008
gia,0.008
gin,0.023
ginih,0.008
gmnh,0.008
gmw,0.023
gogodino,0.015
gratis,0.008
gtw,0.015
gubernur,0.008
guede,0.008
gueh,0.008
gulir,0.008
guru,0.015
habis,0.023
hadist,0.008
hai,0.008
hak,0.008
halah,0.008
halaman,0.008
hamil,0.015
hantu,0.008
hanya,0.015
harga,0.015
hari,0.008
harus,0.008
hasil,0.008
hati,0.023
hebat,0.008
hidup,0.015
hihihu,0.008
hijau,0.008
hilang,0.008
hiperaktif,0.008
hipmi,0.008
hitung,0.008
hobi,0.008
holic,0.008
hormat,0.008
hujan,0.008
husnul,0.008
hutang,0.008
ibu,0.054
ikut,0.008
ilaihi,0.008
ilfel,0.008
in,0.031
ina,0.008
inalilahi,0.008
info,0.008
infrastruktur,0.008
ingat,0.008
ini,0.023
input,0.008
insya,0.023
internationale,0.008
irt,0.008
isi,0.015
istilah,0.008
istri,0.015
itu,0.07
iya,0.023
iyak,0.008
jabar,0.008
jabarin,0.008
jadi,0.101
jadwal,0.015
jaenudin,0.008
jaga,0.008
jail,0.008
jakarta,0.039
jalan,0.008
jaman,0.008
jari,0.015
jarum,0.008
jatah,0.008
jempol,0.008
jerat,0.008
jerawat,0.008
jhi,0.008
jodoh,0.008
jokes,0.008
jokowi,0.008
juga,0.147
jumatanya,0.008
kadang,0.008
kafir,0.008
kakaku,0.008
kaki,0.015
kalau,0.077
kali,0.023
kan,0.015
kanan,0.015
kantor,0.008
kaos,0.008
kapan,0.015
kapok,0.008
karantina,0.008
karena,0.101
kasih,0.023
kaum,0.008
kayak,0.054
kb,0.008
ke,0.008
kecil,0.008
kejer,0.008
kelayang,0.008
kelor,0.008
keluar,0.008
keluarga,0.008
kemarin,0.023
kemayu,0.008
kemerdekan,0.008
ken,0.031
kenapa,0.008
kepada,0.008
keras,0.008
kerja,0.015
kertanegara,0.008
kesi,0.008
kesimpulanya,0.008
ketika,0.008
ketiplek,0.008
ketua,0.008
ketuban,0.008
khatimah,0.008
kini,0.008
kira,0.008
kiri,0.015
kitah,0.008
kiyosih,0.008
klapanungal,0.008
kmnh,0.008
kndungany,0.008
knpah,0.008
koalisi,0.008
kodok,0.008
komenan,0.008
komentar,0.015
kompas,0.008
kompi,0.008
konstitusi,0.008
kontrak,0.008
kos,0.008
kpu,0.008
kreatif,0.008
kredit,0.008
ksini,0.008
kt,0.015
kubur,0.008
kuciwa,0.008
kulit,0.015
kurus,0.008
kutuk,0.008
kuya,0.008
kykny,0.008
lagi,0.139
lah,0.015
lahadalia,0.008
lahan,0.008
lahir,0.054
laki,0.046
lalu,0.008
lanjutanya,0.008
lapa,0.008
layat,0.008
lebar,0.023
lebaran,0.008
lebarn,0.008
lebih,0.008
lek,0.008
lelah,0.008
lemah,0.008
lemas,0.008
lemon,0.008
lho,0.008
lidah,0.008
lihat,0.031
link,0.008
listrik,0.008
lolos,0.008
lumayan,0.008
lupa,0.008
macet,0.008
mafinlah,0.008
mager,0.008
mahal,0.015
mahfud,0.008
mahir,0.008
mak,0.031
malah,0.008
malam,0.031
malu,0.015
mana,0.008
mandarin,0.008
mandiri,0.008
mank,0.008
mantan,0.015
mantau,0.008
manusia,0.008
maren,0.008
martabak,0.008
maruah,0.008
masak,0.008
masakanya,0.008
masih,0.077
masy,0.008
masyarakat,0.008
mati,0.008
mayat,0.008
media,0.015
mele,0.008
memang,0.039
memberi,0.023
menang,0.023
menikah,0.031
merauke,0.008
merdekawati,0.008
mereka,0.008
metong,0.008
milihnya,0.008
mimpi,0.023
minggu,0.008
misuh,0.008
mnjd,0.008
mobil,0.015
mochafloat,0.008
modboster,0.008
morotai,0.008
mudharatnya,0.008
muka,0.023
mungkin,0.023
museum,0.008
muslim,0.008
nada,0.023
naj,0.008
nama,0.039
nang,0.015
nano,0.015
nanti,0.015
narasi,0.008
naroh,0.008
negara,0.015
negeri,0.008
nenek,0.008
nerbitin,0.008
newbie,0.008
ngaciro,0.008
ngaku,0.008
ngantuk,0.008
nge,0.008
ngedengar,0.008
ngegusur,0.008
ngehargain,0.008
ngejerit,0.008
nguap,0.008
ngumumin,0.008
ngumuminya,0.008
nilai,0.008
nkri,0.008
noiselah,0.008
nongol,0.008
nonmuslm,0.008
normal,0.008
notabene,0.008
nyak,0.008
nyala,0.015
nyalahin,0.008
nyapa,0.008
nyapu,0.008
nyonya,0.008
nyusul,0.008
omegod,0.008
operasi,0.008
orang,0.077
pacar,0.015
padahal,0.008
paham,0.008
pajak,0.008
pakai,0.046
pakenya,0.008
pala,0.008
palsu,0.008
paman,0.054
panen,0.008
pantat,0.008
papua,0.015
parah,0.008
pasti,0.008
patah,0.008
pegawai,0.015
pemprov,0.015
penasaran,0.008
pendek,0.023
penganguran,0.008
percaya,0.023
periksa,0.015
perintah,0.023
periode,0.008
pernah,0.023
perut,0.015
pesawat,0.015
petisi,0.015
pikir,0.077
pilah,0.008
pilih,0.023
pimpin,0.008
pindah,0.015
pingsan,0.008
pintar,0.008
pipis,0.008
plastik,0.008
plek,0.008
pokok,0.008
polisi,0.023
ponakan,0.015
potong,0.008
potonya,0.008
prabowo,0.023
prematur,0.008
presiden,0.008
pret,0.008
pria,0.07
pribadi,0.008
prinsip,0.008
prktek,0.008
produk,0.008
protes,0.008
psi,0.008
puas,0.008
publik,0.008
pukul,0.008
pulang,0.054
punya,0.023
pusat,0.023
rab,0.008
racun,0.008
rada,0.008
raksasa,0.008
rakus,0.008
rakyat,0.008
ralat,0.008
ramai,0.008
ramal,0.008
ranking,0.008
rasa,0.008
rata,0.008
redam,0.008
