term,weight
acu,0.015
ada,0.015
adalah,0.276
againts,0.015
agar,0.015
ajar,0.015
akan,0.015
akhir,0.015
al,0.031
alas,0.015
album,0.015
along,0.015
aman,0.015
ambil,0.015
anak,0.015
anda,0.154
andy,0.015
anymore,0.046
apa,0.046
api,0.015
archie,0.015
ashley,0.015
asing,0.015
ask,0.015
atas,0.061
atm,0.046
auah,0.015
ayo,0.046
baca,0.046
badan,0.015
bagaimana,0.015
bahkan,0.015
baik,0.077
bajing,0.077
bakar,0.015
bangun,0.015
banyak,0.015
barang,0.015
baris,0.015
baru,0.015
bau,0.015
bekas,0.015
belum,0.031
benar,0.123
benci,0.031
bentuk,0.015
berapa,0.015
besar,0.015
biarin,0.015
bis,0.015
bisa,0.154
blomqvist,0.015
bodoh,0.015
bola,0.015
brah,0.015
bruh,0.046
bts,0.015
buka,0.015
bukti,0.015
bunuh,0.015
buruk,0.015
buset,0.031
butuh,0.046
cahaya,0.015
catat,0.015
cavs,0.015
centernya,0.015
cheerleader,0.031
chelsea,0.031
cil,0.015
cinta,0.015
claymore,0.015
co,0.107
coba,0.015
cole,0.015
colek,0.031
comes,0.031
congratulation,0.015
congratulations,0.015
crh,0.015
cruciatus,0.015
curi,0.015
dan,0.077
dang,0.015
dapat,0.077
darah,0.015
dari,0.138
daridulu,0.015
datang,0.015
david,0.015
dendi,0.015
dez,0.015
dhk,0.015
di,0.092
dia,0.061
dicaprio,0.015
did,0.015
dimana,0.046
disini,0.046
doesn,0.015
doing,0.015
dosa,0.046
douche,0.015
dubsteb,0.015
dude,0.031
dunia,0.015
dur,0.015
dut,0.015
dxcapc,0.015
eaten,0.015
edqsngbos,0.015
eg,0.015
egede,0.015
eh,0.015
email,0.031
etc,0.015
expeliarmus,0.015
fail,0.015
fantastic,0.015
fast,0.015
felaini,0.015
filipina,0.015
fisik,0.015
five,0.015
fokin,0.015
foto,0.031
friends,0.015
ft,0.031
fxa,0.015
gagal,0.015
gal,0.015
game,0.046
games,0.015
gara,0.015
gataunya,0.015
gea,0.015
gembira,0.015
gigit,0.015
gila,0.031
goa,0.046
goal,0.031
goalie,0.015
goals,0.031
golazo,0.015
gotta,0.015
gus,0.015
habis,0.015
hacker,0.015
had,0.031
hai,0.015
hantu,0.015
hanya,0.077
harap,0.015
hari,0.046
harry,0.015
harus,0.046
haryanto,0.015
hebat,0.061
henti,0.015
his,0.015
hogwarts,0.015
hoki,0.015
horay,0.015
hours,0.015
htp,0.107
hurts,0.015
ibu,0.015
ikhlas,0.015
ikut,0.046
in,0.061
indonesia,0.031
ingin,0.061
ini,0.307
instagram,0.031
irving,0.015
isn,0.015
itu,0.384
iya,0.077
jadi,0.169
jaya,0.031
jc,0.015
ji,0.015
jijik,0.015
jika,0.015
jme,0.015
jones,0.015
juan,0.015
juara,0.015
juga,0.031
jumlah,0.015
kacau,0.015
kaisar,0.061
kakashi,0.015
kalah,0.077
kapal,0.015
karena,0.015
kas,0.015
kayak,0.015
kecil,0.015
kejut,0.077
kelakar,0.015
kelelawar,0.015
keluar,0.031
kembali,0.077
kena,0.015
kenapa,0.046
kendara,0.015
kepala,0.015
kerja,0.015
kertas,0.015
ketika,0.031
kevin,0.015
kilat,0.015
kirim,0.015
kota,0.015
kotor,0.046
ksatria,0.015
ksi,0.031
kuda,0.015
kutuk,0.031
kyrie,0.015
kzjsw,0.015
laba,0.015
laboratorium,0.015
lagi,0.046
lahir,0.015
lain,0.015
laki,0.015
lalu,0.015
lambung,0.015
las,0.015
latih,0.015
lawan,0.031
layan,0.015
least,0.015
lebih,0.015
lelucon,0.015
leonardo,0.015
leviosa,0.015
liga,0.015
lihat,0.061
lingard,0.015
lions,0.015
lips,0.015
log,0.015
lololololololololol,0.015
lompat,0.015
look,0.015
lucu,0.015
makes,0.015
malfoy,0.015
mandiri,0.015
manfaat,0.015
manusia,0.138
maria,0.015
marjan,0.015
masih,0.015
mata,0.015
mati,0.031
may,0.015
memang,0.015
menang,0.015
mereka,0.031
mes,0.015
mesti,0.031
milik,0.015
minato,0.015
mobil,0.015
moments,0.015
movies,0.015
muda,0.015
myself,0.015
navi,0.015
neraka,0.061
ngengat,0.015
nice,0.015
nyala,0.031
offside,0.015
oke,0.046
oleh,0.031
omi,0.015
orang,0.031
oruwo,0.015
ouch,0.015
ouw,0.015
over,0.015
oyea,0.015
oyeah,0.015
pada,0.015
pagi,0.046
parents,0.015
parkir,0.015
pasang,0.015
password,0.015
penalties,0.015
pergi,0.061
pernah,0.031
pertama,0.031
pesantren,0.015
phew,0.015
pic,0.015
pikir,0.015
piring,0.015
piss,0.015
pissed,0.015
plankton,0.015
playing,0.015
plays,0.015
posted,0.015
potter,0.015
pria,0.015
prioritas,0.015
proses,0.015
pt,0.015
puncak,0.015
punya,0.046
pusing,0.123
raja,0.015
ras,0.015
rekening,0.015
resmi,0.015
retarded,0.015
rio,0.015
rojo,0.015
run,0.046
rusian,0.015
saing,0.015
saja,0.015
sake,0.015
salah,0.031
sama,0.092
sambil,0.015
sampai,0.015
sana,0.031
sangat,0.031
sanlat,0.031
satu,0.015
saudara,0.061
saya,0.215
says,0.015
sby,0.015
scholes,0.015
schweinsteiger,0.015
sebentar,0.015
sekali,0.046
sekarang,0.015
sekolah,0.015
selalu,0.015
selam,0.015
selamat,0.015
selesai,0.015
sembuh,0.015
sempat,0.015
semua,0.031
senang,0.031
seperti,0.077
serasa,0.015
seri,0.015
serikat,0.031
shoes,0.031
siang,0.015
siap,0.015
sie,0.015
sisi,0.015
skor,0.015
slapped,0.015
smaling,0.015
stupefy,0.015
sudah,0.107
sung,0.015
sungguh,0.046
super,0.015
tadi,0.015
tahu,0.077
tahun,0.031
takut,0.015
taman,0.015
tangan,0.015
tanpa,0.015
tapi,0.015
tarnat,0.015
tawa,0.322
telah,0.015
tempat,0.015
temu,0.015
tentang,0.015
tentu,0.015
tepat,0.015
terbaik,0.015
tertawa,0.015
tetap,0.046
threw,0.015
tidak,0.169
tidur,0.046
times,0.015
tinggi,0.031
tolak,0.015
tonton,0.046
transaksi,0.015
tua,0.015
tunggu,0.015
turun,0.015
tutup,0.015
uang,0.031
ubah,0.015
ulang,0.031
ulgbyil,0.015
unfortunately,0.015
untuk,0.138
upgrade,0.015
urus,0.015
urv,0.015
usul,0.015
utama,0.015
utd,0.031
van,0.015
ve,0.015
veggie,0.015
vg,0.015
via,0.061
video,0.015
videos,0.015
vine,0.015
waktu,0.046
wanita,0.015
warriors,0.031
wasup,0.015
watchin,0.015
westlife,0.015
wgwgw,0.015
whoah,0.015
wifi,0.015
wingardium,0.015
wnyjexy,0.015
ya,0.046
yadika,0.015
yang,0.015
yikes,0.015
youtuber,0.015
youtubers,0.015
yow,0.015
yuhu,0.015
yun,0.015
