term,weight
able,0.004
ada,0.08
adalah,0.138
adam,0.004
adan,0.009
adil,0.004
admin,0.004
aduh,0.004
adviceny,0.004
affect,0.004
affected,0.004
agar,0.018
agrees,0.004
agung,0.004
agus,0.004
ajar,0.022
ajib,0.004
akan,0.031
akar,0.004
akhir,0.013
alam,0.022
alas,0.004
alias,0.004
alir,0.004
alkitab,0.147
allah,0.004
alquran,0.004
alternatif,0.009
ambang,0.004
ambil,0.013
amin,0.004
an,0.013
anak,0.013
analogi,0.004
anda,0.143
aneh,0.004
angaran,0.009
anggota,0.004
angka,0.009
angkat,0.004
angkut,0.004
answered,0.004
answers,0.004
antar,0.004
antara,0.004
any,0.004
anymore,0.004
anyone,0.004
apa,0.085
apart,0.004
appearances,0.004
appreciate,0.004
apps,0.004
arah,0.009
aren,0.004
argumen,0.009
arimatea,0.004
arti,0.009
asa,0.004
ask,0.004
asli,0.022
aspek,0.004
asrama,0.004
asumsi,0.004
atas,0.018
atau,0.013
ateis,0.004
atur,0.004
awesome,0.004
ayah,0.058
baca,0.022
bagai,0.022
bagaimana,0.027
bagi,0.013
bagus,0.004
bahasa,0.004
bahkan,0.009
bahwa,0.027
baik,0.036
baju,0.004
bakar,0.004
balas,0.018
balasan,0.004
balik,0.009
balikin,0.004
bandara,0.004
banding,0.009
bandung,0.009
bang,0.004
bangga,0.004
bangkit,0.036
bangsa,0.004
bangun,0.013
bantu,0.004
banyak,0.036
barang,0.004
baru,0.027
based,0.004
batas,0.013
bawa,0.004
bawah,0.009
bayang,0.004
bdskn,0.004
beasiswa,0.009
bebas,0.009
beberapa,0.004
beda,0.009
begini,0.004
begitu,0.031
behind,0.004
bel,0.004
beli,0.018
beliefs,0.004
believers,0.004
belum,0.027
benar,0.12
benara,0.004
benda,0.013
bentuk,0.013
berani,0.004
berapa,0.004
berat,0.004
beri,0.013
berita,0.004
berkata,0.004
berontak,0.013
besar,0.018
besides,0.004
biasa,0.009
bible,0.009
bicara,0.004
bilang,0.045
bingung,0.009
bisa,0.067
blundernya,0.004
bobrok,0.004
bodoh,0.004
bohong,0.018
bolong,0.004
bongkar,0.009
boros,0.004
bright,0.009
buah,0.022
buat,0.049
budak,0.004
budaya,0.009
buka,0.004
bukan,0.022
bukany,0.004
bukti,0.004
buku,0.018
bulan,0.009
bundar,0.004
buntu,0.004
bunuh,0.004
buruk,0.004
buta,0.004
butuh,0.013
cannot,0.004
cara,0.018
cari,0.013
caseku,0.004
catat,0.009
cc,0.004
cebur,0.004
celah,0.004
celaka,0.004
celana,0.004
cemburu,0.004
cenderung,0.013
cepat,0.009
cepol,0.004
cerita,0.018
certainly,0.004
cetak,0.004
challenging,0.004
christ,0.022
christian,0.009
cinta,0.018
clear,0.004
clearer,0.004
coba,0.013
cohabitate,0.004
comes,0.004
commitment,0.004
contoh,0.009
controlled,0.004
corona,0.004
couldn,0.004
counterclaims,0.004
cukai,0.004
cukup,0.004
cuma,0.036
cumn,0.004
da,0.004
daerah,0.004
dalam,0.054
damai,0.013
dan,0.107
dapat,0.027
dari,0.12
dasar,0.04
datang,0.022
daya,0.009
debat,0.004
deep,0.004
deh,0.004
dek,0.004
dekan,0.004
dekat,0.004
dengan,0.062
dengar,0.009
depan,0.009
described,0.004
deskripsi,0.004
destruktif,0.004
detail,0.022
dgnrendah,0.004
di,0.058
dia,0.067
dian,0.004
diangap,0.004
didiagnosa,0.009
didik,0.009
died,0.004
dihabisin,0.004
dijadin,0.004
dikatain,0.004
dikirimin,0.004
dikonci,0.004
dinamis,0.009
dingat,0.013
dipakai,0.004
direncanain,0.004
direnov,0.004
diri,0.018
disciples,0.004
disi,0.004
disini,0.009
disiplin,0.004
diskon,0.004
diskusi,0.013
dit,0.013
ditanyain,0.004
ditingalkan,0.009
ditunjukin,0.004
diturunin,0.004
divisi,0.009
dizinin,0.004
dna,0.004
doa,0.004
dokter,0.009
doktor,0.004
dong,0.013
dorm,0.009
dosa,0.018
dosen,0.004
dsb,0.004
dua,0.009
duduk,0.009
dulu,0.022
duluan,0.004
dunia,0.022
duta,0.004
each,0.004
edar,0.013
efisien,0.004
eh,0.036
ehehehehe,0.004
elaborasi,0.045
elektromagnet,0.004
email,0.004
empiris,0.004
enak,0.004
enough,0.009
enrichment,0.004
enrichmentnya,0.009
enslaves,0.004
ensures,0.004
enyah,0.004
erti,0.004
etc,0.004
eternally,0.004
every,0.004
everytime,0.004
evidences,0.009
exclude,0.004
explained,0.004
expnya,0.004
fakta,0.013
faktor,0.004
figur,0.004
fiksi,0.013
firman,0.027
fisika,0.004
foto,0.009
four,0.004
further,0.004
gadis,0.004
gaji,0.004
gambar,0.004
game,0.004
gantung,0.004
gara,0.009
gaya,0.004
geleng,0.009
gembira,0.009
generasi,0.009
genteng,0.013
gerak,0.004
gerbng,0.004
gereja,0.004
geser,0.004
gives,0.009
gosip,0.009
graduated,0.004
grup,0.004
habis,0.009
hadap,0.009
hadeuh,0.004
hadiah,0.004
hadir,0.004
hadirin,0.004
hai,0.009
hakim,0.013
hal,0.018
hampir,0.018
hancur,0.004
hanya,0.027
happened,0.004
harap,0.027
harfiah,0.004
harga,0.004
hari,0.013
harus,0.027
has,0.018
hasil,0.004
hati,0.009
hawa,0.004
hebat,0.009
hehehehe,0.004
hendak,0.004
henti,0.004
hidup,0.187
hina,0.004
hindar,0.004
hingga,0.031
his,0.004
historians,0.004
historical,0.009
historically,0.004
historis,0.004
hmps,0.004
holds,0.004
however,0.004
hubung,0.004
ia,0.009
ibadah,0.009
iblis,0.004
ibu,0.045
ikut,0.009
ilmu,0.004
imageku,0.004
imam,0.004
iman,0.027
implikasi,0.009
implisit,0.004
in,0.036
indeed,0.004
individuals,0.013
indonesia,0.004
influenced,0.004
ingat,0.022
ingin,0.009
ini,0.192
inisiatif,0.004
injil,0.022
