term,weight
acara,0.009
ada,0.063
adalah,0.036
admin,0.009
aduh,0.018
agar,0.027
ah,0.009
air,0.036
ajaib,0.009
ajar,0.063
akan,0.036
alesano,0.009
alias,0.018
allah,0.009
aman,0.018
ambil,0.009
ampuh,0.009
ampun,0.009
an,0.036
anak,0.072
anarkis,0.009
anda,0.054
aneh,0.009
angkat,0.009
aniferseri,0.009
antem,0.009
anymore,0.009
apa,0.072
apanih,0.009
aplikasi,0.018
appreciate,0.009
april,0.009
armada,0.009
artikel,0.009
asam,0.009
asin,0.009
asli,0.009
atas,0.027
atau,0.027
avatar,0.009
aware,0.009
awas,0.009
ayo,0.018
baca,0.054
bagaimana,0.018
bahasa,0.009
bahkan,0.009
baik,0.027
bajing,0.009
bajrangi,0.009
baju,0.009
balas,0.054
bangun,0.009
bangunin,0.018
bank,0.009
bansos,0.009
bantu,0.018
banyak,0.018
banyakin,0.009
bapak,0.018
baradegongs,0.009
bareng,0.027
batal,0.009
bayang,0.009
bayar,0.009
bcs,0.018
begini,0.009
begitu,0.054
benang,0.009
benar,0.144
benara,0.009
benci,0.009
bendera,0.009
beranda,0.009
berita,0.027
bermanfat,0.009
bhaijan,0.009
biadab,0.009
biasa,0.009
bicara,0.009
bidadari,0.009
bieber,0.009
bimbing,0.009
bisa,0.054
bismillah,0.009
bodoh,0.009
bogor,0.018
bom,0.009
boong,0.009
bosan,0.009
buang,0.009
buat,0.063
bubuk,0.009
buka,0.018
bukan,0.009
bukber,0.009
buku,0.018
bunga,0.009
butuh,0.018
buyul,0.009
cair,0.009
cangkir,0.009
cannot,0.009
cantik,0.009
cara,0.009
cari,0.018
cashzine,0.018
catat,0.009
cemil,0.027
cengang,0.009
cepat,0.009
cerita,0.054
cewenya,0.009
checkout,0.009
cikerteg,0.018
cinta,0.018
circumstances,0.009
cisarua,0.009
coba,0.045
cocol,0.009
coklat,0.009
congrats,0.009
corona,0.018
cried,0.009
cryn,0.009
curi,0.009
daftar,0.009
dalgona,0.009
dan,0.045
dana,0.018
daong,0.009
dapat,0.09
dari,0.081
debat,0.009
decisions,0.009
deep,0.009
dekat,0.009
demi,0.009
dengan,0.027
dengar,0.027
dengernya,0.009
dentum,0.018
di,0.045
dia,0.063
dian,0.009
didik,0.009
didn,0.009
dil,0.009
diluar,0.009
dingin,0.018
diri,0.027
dokter,0.009
dong,0.018
dosen,0.009
dots,0.009
drama,0.009
dua,0.009
dugul,0.009
dulu,0.018
dunia,0.009
edukasi,0.009
egois,0.018
eh,0.009
emakemak,0.018
emping,0.009
enak,0.009
enaq,0.009
encer,0.009
energi,0.018
erat,0.009
eyed,0.009
fase,0.009
film,0.009
gagal,0.018
gairah,0.009
gaji,0.018
gambar,0.018
ganti,0.009
gantung,0.009
gapada,0.009
gaperna,0.009
gemas,0.018
gemetar,0.009
gempor,0.009
genks,0.009
gewd,0.009
gila,0.027
gils,0.009
gin,0.027
goa,0.009
gomez,0.009
gonzales,0.009
goyang,0.009
gramarly,0.009
gubernur,0.009
gugup,0.009
gula,0.018
gulung,0.009
gumush,0.009
gunung,0.027
guru,0.018
habis,0.036
hadap,0.009
hade,0.009
hai,0.018
haid,0.009
hailey,0.009
hal,0.027
halusinasi,0.009
hambar,0.009
hamil,0.009
hangat,0.018
hanya,0.027
happened,0.009
harap,0.036
harfiah,0.009
hari,0.054
harus,0.009
has,0.009
hasek,0.009
hasil,0.009
hati,0.009
hayang,0.009
henti,0.009
hepi,0.009
heran,0.018
hidup,0.018
highly,0.009
hilang,0.018
his,0.009
hotel,0.018
hubung,0.018
hujan,0.009
humoris,0.018
ibadan,0.009
ibu,0.045
idupnya,0.009
ih,0.009
ilfel,0.009
in,0.027
indonesia,0.009
info,0.009
informasi,0.009
ingat,0.018
ingris,0.009
ini,0.144
insekyur,0.009
inspirasi,0.009
insta,0.009
instagram,0.009
isi,0.009
isn,0.009
istri,0.018
itu,0.217
iya,0.018
jadah,0.009
jadi,0.135
jahe,0.009
jam,0.045
jamu,0.018
jarang,0.009
jasmani,0.009
jawab,0.009
jebak,0.009
jelek,0.009
jenis,0.009
jenius,0.009
jiwa,0.009
jorok,0.009
jt,0.018
juga,0.018
june,0.009
jurus,0.009
justin,0.018
kacau,0.009
kadang,0.009
kafe,0.009
kalah,0.018
kalau,0.153
kali,0.009
kalian,0.009
kamsahamnida,0.009
karang,0.009
karantina,0.036
karena,0.018
kasar,0.009
kasi,0.018
kasih,0.018
kata,0.027
kayu,0.009
kebucinan,0.009
kecil,0.009
kejut,0.027
kelas,0.009
kelelawar,0.009
keluar,0.018
keluarga,0.063
kemarin,0.018
ken,0.027
kena,0.009
kenapa,0.054
kentel,0.009
keras,0.027
keren,0.009
kerja,0.018
kesal,0.009
ketik,0.009
keuwuan,0.009
kewren,0.009
khawatir,0.009
kids,0.009
kira,0.036
kita,0.009
kitu,0.009
kode,0.027
koin,0.009
koinya,0.009
kompres,0.009
kopi,0.027
korea,0.009
korsel,0.009
kreatif,0.009
kucing,0.009
kue,0.009
kuliah,0.036
