term,weight
absolutely,0.009
acak,0.009
ada,0.053
adab,0.009
adalah,0.061
adan,0.009
adidas,0.009
adjektiva,0.009
adl,0.009
aduh,0.018
agak,0.009
agar,0.009
agustus,0.009
air,0.009
ajak,0.035
akal,0.009
akan,0.061
akhir,0.097
aksi,0.009
aktivitas,0.009
alam,0.018
alamat,0.009
alat,0.009
algojo,0.009
alhasil,0.009
alianz,0.009
alih,0.009
alma,0.009
alternatif,0.009
ambil,0.026
ambyar,0.009
ami,0.009
amin,0.018
an,0.009
anak,0.105
analisis,0.018
anda,0.176
aneh,0.009
angin,0.018
anime,0.009
antimo,0.009
apa,0.053
apalagi,0.009
apk,0.009
arena,0.009
argumenya,0.009
ari,0.009
aroma,0.009
arti,0.035
artikel,0.009
asa,0.009
asia,0.009
asli,0.009
aspal,0.009
asyik,0.009
atas,0.053
atau,0.018
auditorium,0.009
ayo,0.044
babak,0.018
baca,0.009
bacan,0.009
badan,0.044
bagaimana,0.026
bagi,0.018
bagus,0.009
bahagia,0.009
bahan,0.009
bahasa,0.018
baik,0.053
baique,0.009
bakat,0.009
balack,0.009
baloteli,0.009
bambang,0.018
banderol,0.009
bandung,0.026
bang,0.009
bangga,0.009
bangun,0.018
bantu,0.018
banyak,0.035
banyol,0.009
barang,0.009
barat,0.009
barca,0.026
bareng,0.018
baris,0.009
baru,0.035
batal,0.009
batigol,0.009
bau,0.044
bawah,0.009
bayar,0.018
bayern,0.018
beatles,0.009
beban,0.018
beda,0.026
begitu,0.035
belah,0.009
belakang,0.009
belanja,0.009
beli,0.018
belum,0.044
benar,0.053
benci,0.009
benda,0.018
bentar,0.009
beranda,0.018
berapa,0.044
berat,0.009
beri,0.044
berita,0.035
besar,0.009
betapa,0.018
bicara,0.009
bijak,0.009
biji,0.009
bilang,0.009
biru,0.009
bisa,0.114
bisikin,0.009
biskuit,0.009
bobby,0.009
bodoh,0.009
boleh,0.009
borini,0.009
boru,0.009
bosan,0.009
bosque,0.009
boyong,0.009
bp,0.009
brilian,0.009
brojol,0.009
brothers,0.009
buah,0.035
buang,0.009
buat,0.07
budi,0.009
buka,0.009
bukan,0.009
bukti,0.018
bulan,0.026
bundesliga,0.009
bungkus,0.009
bupati,0.009
buru,0.044
buruk,0.009
butuh,0.018
buzzing,0.009
cafu,0.018
cak,0.009
cangih,0.009
capelo,0.009
cara,0.009
cari,0.053
catat,0.009
catur,0.009
cc,0.018
celah,0.009
cemil,0.018
cengar,0.009
cengir,0.009
cepat,0.009
cerita,0.035
chelsea,0.009
ciao,0.009
cinta,0.018
ciyusan,0.009
cky,0.009
coba,0.009
cocok,0.018
comeback,0.009
consist,0.009
corona,0.053
costa,0.009
