term,weight
ac,0.013
acak,0.013
ada,0.038
adalah,0.038
adegan,0.013
admin,0.05
aduh,0.038
afa,0.013
agar,0.05
ah,0.013
ai,0.013
aidzin,0.013
ajaib,0.013
ajar,0.038
akademi,0.013
akan,0.038
akhlak,0.013
akun,0.013
album,0.025
alias,0.025
almamater,0.013
amad,0.013
aman,0.025
ambil,0.013
amin,0.013
ampuh,0.013
ampun,0.013
anak,0.038
anda,0.113
andal,0.013
angkutan,0.013
animasi,0.013
anonim,0.013
apa,0.1
apdet,0.013
asa,0.013
asal,0.013
asam,0.013
aselinya,0.013
aselinyah,0.013
asli,0.013
astringen,0.013
ayam,0.013
ayo,0.038
baca,0.025
bada,0.013
badan,0.013
bagaimana,0.013
bagus,0.025
bahagia,0.013
bahkan,0.013
bahwa,0.013
baik,0.088
bajing,0.013
baju,0.025
bakar,0.013
bakmi,0.013
bandung,0.038
bang,0.013
bangkar,0.013
bangun,0.013
bareng,0.038
basuh,0.013
baterai,0.013
batin,0.013
batu,0.013
bawang,0.013
bawel,0.013
beban,0.013
bebek,0.025
beberapa,0.013
beda,0.013
begitu,0.05
bekas,0.013
belah,0.025
beli,0.138
belum,0.025
benar,0.038
benarkan,0.013
benda,0.013
berat,0.013
berita,0.013
besar,0.013
besok,0.025
betul,0.013
bias,0.013
biasa,0.025
biasana,0.013
bilang,0.038
bisa,0.075
bisik,0.013
biyungku,0.013
blackpink,0.013
bocor,0.013
bodoh,0.013
bola,0.013
boleh,0.013
bom,0.013
buat,0.05
bujuk,0.013
buka,0.05
bulan,0.025
buldep,0.013
bunuh,0.013
buta,0.013
butuh,0.013
cabut,0.013
cakap,0.013
cal,0.013
cantik,0.013
cari,0.013
cemil,0.025
cepat,0.025
ceplos,0.013
cerita,0.025
chilaquiles,0.013
cikarang,0.063
cimahi,0.013
cincin,0.013
cinta,0.013
colokin,0.013
comeback,0.025
comes,0.013
corona,0.013
costs,0.013
cuci,0.038
cukup,0.013
cuplikanya,0.013
cuy,0.013
da,0.013
dalgona,0.013
dan,0.1
dari,0.013
data,0.013
datang,0.013
daya,0.013
decoder,0.013
dek,0.013
dekat,0.025
del,0.013
dengan,0.013
desa,0.025
deuh,0.013
di,0.05
dia,0.075
diam,0.013
dih,0.013
dihubungin,0.013
dikirain,0.025
diklanin,0.013
dil,0.013
dilakuin,0.013
dilewatin,0.013
diluar,0.013
dimatin,0.013
dipakai,0.013
dipesantrenin,0.013
diri,0.013
displayna,0.013
diwaro,0.013
doa,0.025
doang,0.025
doing,0.013
dong,0.038
dosen,0.025
duduk,0.013
dulu,0.013
dunia,0.013
dystopia,0.013
dzuhur,0.013
efek,0.013
eh,0.025
ekor,0.013
emosi,0.013
enakeun,0.013
etdah,0.013
euy,0.05
every,0.013
fadjriyati,0.013
faidzin,0.013
fallen,0.013
fasilitas,0.013
film,0.013
fizi,0.013
foto,0.013
gaji,0.013
galak,0.013
gara,0.05
garam,0.013
gatal,0.013
ge,0.063
gelisah,0.013
gem,0.013
gentle,0.013
gerlong,0.013
gin,0.013
goal,0.013
goblin,0.013
godiebag,0.013
goreng,0.025
gula,0.025
habis,0.126
hadir,0.013
hal,0.013
halah,0.013
halaman,0.025
hampers,0.013
hanya,0.025
hareng,0.013
harga,0.013
hari,0.05
harus,0.038
hasil,0.013
hd,0.013
henti,0.013
heula,0.013
hiburanya,0.013
hidup,0.025
hijau,0.013
hikmah,0.025
hotel,0.013
hubung,0.013
humoris,0.038
ibadah,0.013
ibu,0.151
ide,0.025
igd,0.013
ih,0.013
iklan,0.013
ilmu,0.013
imah,0.013
in,0.038
infj,0.013
ini,0.151
inkigayo,0.013
instagram,0.013
isi,0.025
itu,0.188
iya,0.025
jadi,0.063
jaehyun,0.025
jalan,0.013
jaman,0.013
jang,0.013
janji,0.013
jari,0.025
jawap,0.013
jelas,0.013
jen,0.013
jeni,0.013
jeong,0.013
jepang,0.013
juga,0.038
jukujuk,0.013
junghwan,0.013
juri,0.013
kabel,0.013
kaca,0.013
kacamata,0.013
kacana,0.013
kacau,0.038
kadang,0.013
kado,0.013
kah,0.013
kait,0.013
kaki,0.013
kalah,0.013
