term,weight
abu,0.023
ac,0.011
ada,0.08
adil,0.011
aduh,0.08
agar,0.057
akan,0.011
akhirat,0.011
akun,0.034
akyu,0.011
alami,0.011
alfamart,0.011
alfamidi,0.011
alias,0.023
alih,0.011
alohuakbar,0.011
amad,0.011
aman,0.034
ambyar,0.011
amin,0.023
ampun,0.045
an,0.011
anda,0.102
andalanya,0.011
aneh,0.045
anniversary,0.011
anya,0.011
apa,0.114
asa,0.011
asing,0.011
asli,0.011
atas,0.011
atau,0.011
awak,0.023
ayo,0.011
baca,0.023
bacod,0.023
bagaimana,0.034
bagus,0.023
bahagia,0.011
bahan,0.011
bahkan,0.011
baik,0.023
bajing,0.057
bakso,0.011
balas,0.034
banci,0.011
bandingin,0.011
bangun,0.023
bantu,0.011
banyak,0.023
baperan,0.045
baru,0.023
batal,0.011
batu,0.011
bawa,0.023
beby,0.011
beda,0.023
bedo,0.011
begimana,0.011
begitu,0.057
belenger,0.011
beli,0.034
belio,0.011
belok,0.011
benar,0.034
bencanda,0.011
bentuk,0.011
berani,0.011
besok,0.011
betah,0.011
bgtuan,0.011
bh,0.011
biadab,0.034
bidi,0.011
bingung,0.011
bintang,0.011
biru,0.011
bisa,0.034
bo,0.023
bodoh,0.045
boleh,0.011
bom,0.068
boneka,0.011
bosan,0.011
bq,0.023
buat,0.08
buka,0.057
bukan,0.034
bulan,0.011
buset,0.011
buta,0.011
cahaya,0.023
calon,0.011
cantik,0.011
cari,0.023
cemil,0.057
cepat,0.011
cerewet,0.011
cerita,0.011
chico,0.011
choco,0.011
cik,0.011
cina,0.011
cok,0.023
coklat,0.057
corona,0.011
cuaca,0.011
cuek,0.011
cuma,0.023
dada,0.011
dadine,0.011
dan,0.011
dapat,0.011
darah,0.011
dari,0.011
days,0.011
definisi,0.011
dendam,0.011
dengan,0.011
di,0.045
dia,0.068
diam,0.023
digarukin,0.011
dihujad,0.011
diri,0.034
disemirin,0.011
disuruh,0.011
ditangung,0.011
doang,0.045
dokter,0.011
dong,0.034
donh,0.011
dosa,0.023
dri,0.023
dtk,0.011
dulu,0.011
dunia,0.011
edukasi,0.011
efek,0.011
eh,0.091
ejek,0.023
ekpetasi,0.023
ekwkw,0.011
en,0.011
etdah,0.011
euy,0.011
ewkwk,0.057
ewkwkwk,0.034
ewkwkwkwk,0.023
eyeshadow,0.011
fans,0.011
fit,0.011
fitnah,0.011
gadis,0.011
galak,0.011
gambar,0.011
gantung,0.011
gapaham,0.011
gara,0.057
garai,0.011
garnier,0.011
gaskeun,0.011
gawe,0.011
gejolak,0.011
gelembung,0.011
gentar,0.011
gerwani,0.011
gila,0.034
goyang,0.011
gubernur,0.011
gulir,0.011
guyon,0.011
habis,0.034
hai,0.011
hanya,0.011
hari,0.011
harus,0.023
hasil,0.011
hati,0.011
hayat,0.011
hebat,0.011
heboh,0.011
henti,0.011
heran,0.034
hilal,0.011
hitam,0.011
hubung,0.011
hujan,0.023
humoris,0.034
ibu,0.023
igku,0.011
iku,0.034
ikut,0.011
inalilahi,0.011
indomart,0.011
indonesia,0.011
informatif,0.011
ingat,0.011
ingin,0.023
ini,0.102
inj,0.011
insyecure,0.011
ip,0.011
iri,0.011
isi,0.011
islinyi,0.011
isu,0.011
italia,0.011
item,0.023
itu,0.057
iya,0.023
iyadong,0.011
iyaw,0.011
jadi,0.034
jadwal,0.011
