term,weight
acara,0.016
ada,0.098
adalah,0.016
admin,0.016
aduh,0.049
agar,0.033
ah,0.016
akame,0.016
akan,0.016
akhlak,0.016
alami,0.016
alda,0.016
alias,0.033
anak,0.098
anda,0.114
angka,0.016
angkat,0.016
angliyak,0.016
anime,0.033
apa,0.082
apaka,0.016
apalagi,0.016
apaqa,0.016
artos,0.016
ashiap,0.016
asli,0.033
astaga,0.049
asw,0.016
awak,0.016
awkwkwkwk,0.033
awkwkwkwkwk,0.016
awokawoakwowkakwk,0.016
ayam,0.049
ayo,0.033
baca,0.033
bagaimana,0.082
bagus,0.016
baik,0.016
bajing,0.016
balas,0.049
balasan,0.016
balik,0.016
bangga,0.016
bangun,0.049
baru,0.065
baterenya,0.016
batiba,0.016
bawa,0.033
bawah,0.016
beatles,0.016
beda,0.016
begitu,0.033
beli,0.065
belum,0.016
benar,0.114
bening,0.016
bentar,0.033
berapa,0.016
berisik,0.016
bersih,0.016
betah,0.016
betul,0.016
bilang,0.033
bingung,0.033
bisa,0.131
bk,0.016
blok,0.016
bodoh,0.033
bola,0.016
bon,0.016
bonus,0.016
boruto,0.016
bruh,0.016
buah,0.033
buat,0.065
budak,0.016
buka,0.016
bukan,0.016
bungkus,0.016
bunuh,0.016
busur,0.016
cakep,0.016
cari,0.016
cemil,0.033
cepat,0.016
cerewet,0.016
cerita,0.033
chicks,0.016
chiki,0.016
cina,0.016
cinta,0.033
cmtik,0.016
coba,0.016
cocok,0.049
cok,0.016
coklat,0.033
coldplay,0.016
concat,0.016
corona,0.016
cuaca,0.016
daftar,0.016
dan,0.033
data,0.016
dengan,0.016
depan,0.033
dewasa,0.016
di,0.049
diabisin,0.016
didik,0.016
direstart,0.016
disingung,0.016
disini,0.016
doang,0.065
doanh,0.016
doesn,0.016
dokter,0.016
dosa,0.016
dpr,0.016
dude,0.016
duka,0.049
dunia,0.033
edtech,0.016
efek,0.016
eh,0.016
eheh,0.016
enak,0.016
enjet,0.033
entar,0.016
episode,0.098
es,0.016
faktorial,0.016
fokus,0.016
gagal,0.016
galak,0.016
gara,0.049
gelisah,0.016
gila,0.033
gin,0.065
godzila,0.016
grup,0.033
gugup,0.033
gulir,0.016
gunung,0.016
gurih,0.016
habis,0.065
haduh,0.016
hai,0.016
haku,0.016
halah,0.016
hancur,0.016
hani,0.016
hari,0.065
harus,0.016
has,0.016
hati,0.033
henti,0.016
heran,0.033
hijau,0.016
hilang,0.016
histeris,0.016
hlh,0.016
hoalah,0.016
homan,0.016
hujan,0.065
humoris,0.065
ikut,0.016
in,0.016
ingat,0.016
ingin,0.016
ini,0.114
inovatif,0.016
instruksi,0.016
internet,0.016
inuyasha,0.016
isi,0.016
isone,0.016
itu,0.163
iya,0.114
iyah,0.016
iyak,0.016
jadi,0.049
jail,0.016
jalan,0.016
janji,0.016
jatim,0.016
jelek,0.016
jenis,0.016
jiwa,0.016
jovi,0.016
judul,0.016
juga,0.065
julid,0.016
kadita,0.016
kalau,0.114
kali,0.016
kamar,0.033
kampus,0.016
kapan,0.016
kasi,0.016
kasih,0.016
kasma,0.016
kasus,0.016
kata,0.016
kawai,0.016
ke,0.016
keburu,0.016
kecintan,0.016
kedistract,0.016
kejar,0.016
kejut,0.082
kelas,0.016
kelelawar,0.016
keluar,0.016
kembali,0.016
kembang,0.016
kembung,0.016
ken,0.049
kena,0.033
kenapa,0.049
keramas,0.016
keri,0.016
kesal,0.016
kesan,0.016
ketawa,0.016
ketika,0.016
ketrampilan,0.016
kim,0.016
kira,0.016
kirim,0.016
kita,0.016
klen,0.016
kohama,0.016
konohamaru,0.016
kopi,0.082
kore,0.016
koronamaru,0.016
kota,0.016
kotor,0.016
koukou,0.016
kuliah,0.016
kunci,0.016
kuota,0.016
la,0.016
labil,0.016
lagu,0.033
laki,0.016
lama,0.016
langsung,0.016
lapang,0.016
laptop,0.016
lawan,0.016
layar,0.033
lemah,0.016
lepas,0.016
libra,0.016
lihat,0.049
logika,0.016
loh,0.049
luar,0.016
luas,0.016
lucu,0.033
lumayan,0.016
lupa,0.016
maaf,0.016
magelang,0.016
mahouka,0.016
makin,0.065
maksud,0.033
malah,0.016
malam,0.016
mana,0.016
mande,0.016
mandi,0.016
mantulnya,0.016
manusia,0.016
marah,0.033
marahin,0.016
masih,0.016
matang,0.016
matematika,0.016
mati,0.033
mau,0.098
media,0.016
memang,0.033
menangys,0.033
mentok,0.016
mes,0.016
microsoft,0.016
mie,0.082
mil,0.016
milenial,0.033
minat,0.016
mincot,0.016
