term,weight
abad,0.015
abadi,0.015
ac,0.015
acih,0.015
ada,0.088
adab,0.015
adalah,0.029
adel,0.015
adil,0.015
aduh,0.059
aduk,0.029
afi,0.015
agar,0.044
ajar,0.015
akdewe,0.029
alumni,0.015
aman,0.059
ambigu,0.015
ambil,0.015
amin,0.015
ampun,0.044
an,0.029
anak,0.029
anda,0.029
anggap,0.015
apa,0.015
apalagi,0.015
apotek,0.029
aroma,0.015
arti,0.015
artis,0.015
asli,0.015
astaga,0.073
awal,0.015
ayo,0.059
baca,0.044
badan,0.015
bagaimana,0.059
bahagiain,0.015
bahas,0.015
baik,0.015
baiq,0.015
bajing,0.015
baju,0.015
balas,0.029
balesnya,0.015
bambank,0.015
bandana,0.015
bangga,0.029
bangku,0.015
bangun,0.029
bantu,0.015
bapak,0.059
barkui,0.015
baru,0.015
bawa,0.015
beberapa,0.029
beda,0.029
begitu,0.147
bekal,0.015
belah,0.015
beli,0.044
belum,0.015
benar,0.044
benci,0.015
beng,0.029
bentuk,0.015
bersih,0.015
besok,0.029
biasa,0.015
bicara,0.029
bilang,0.029
bingung,0.015
bisa,0.044
bmkg,0.015
boleh,0.015
bolo,0.015
botol,0.015
brokat,0.015
brownies,0.015
buang,0.029
buat,0.029
bubar,0.015
buber,0.015
budak,0.029
budaya,0.015
buka,0.015
buku,0.015
bumbu,0.015
bumi,0.015
bungkus,0.015
buntel,0.015
buru,0.015
burung,0.015
cahaya,0.015
camping,0.015
cari,0.015
catat,0.015
cemburu,0.015
cemil,0.029
cerita,0.044
chatingan,0.015
cinta,0.044
coba,0.015
dadi,0.015
daftar,0.015
damai,0.015
dapur,0.015
dari,0.059
dasar,0.029
datang,0.015
dawet,0.015
debat,0.015
decolgen,0.015
demit,0.015
dengan,0.015
dengar,0.015
dewe,0.015
dewi,0.015
di,0.015
dia,0.015
diam,0.015
diare,0.015
dibekuin,0.015
didiemin,0.015
dikatain,0.029
dikit,0.044
dilebokne,0.015
dilema,0.015
dimarahin,0.015
dinei,0.015
dinga,0.015
dingin,0.029
ditandain,0.015
dosa,0.015
dude,0.015
dukun,0.015
dulu,0.029
ealah,0.015
edan,0.015
ejek,0.015
el,0.044
emosi,0.015
enak,0.029
eneg,0.015
faraz,0.015
fast,0.015
fika,0.015
fiksi,0.015
fine,0.015
fremilt,0.015
friday,0.015
gaenak,0.029
ganti,0.015
gara,0.044
garis,0.015
gasempet,0.015
gawe,0.015
gelem,0.015
gelisah,0.015
gemas,0.059
geprek,0.015
gin,0.029
gojek,0.015
goler,0.015
goreng,0.015
grup,0.015
guemes,0.015
gulir,0.015
gumoh,0.015
gws,0.015
habis,0.015
hadir,0.015
halusinasi,0.015
han,0.044
handbodyan,0.015
hapus,0.015
harap,0.015
harga,0.044
hati,0.015
hayolo,0.015
hidup,0.015
hijau,0.015
hilang,0.015
hina,0.015
hobi,0.015
horor,0.015
humoris,0.015
ibu,0.044
ijoli,0.015
ikut,0.015
ilangin,0.015
in,0.029
ina,0.015
indonesia,0.015
ingat,0.015
ini,0.059
instagram,0.015
iri,0.015
isi,0.015
itu,0.029
itunganya,0.015
jadi,0.088
jadin,0.015
jaga,0.029
jam,0.073
jdnya,0.015
jiakh,0.029
jiwa,0.015
jomblo,0.015
juga,0.029
jurnal,0.015
kabar,0.015
kadang,0.015
kah,0.015
kalau,0.132
kali,0.015
kamar,0.015
kampus,0.015
kan,0.015
karena,0.029
kayak,0.015
ke,0.015
kebrisikan,0.015
keburu,0.015
kelas,0.015
kelipet,0.015
keluarga,0.029
ken,0.073
kenapa,0.073
keras,0.015
ketemu,0.029
kn,0.015
koe,0.015
kombinasi,0.015
kono,0.015
konsep,0.015
konser,0.015
kos,0.015
kuli,0.015
kuliah,0.044
kulkas,0.029
kuning,0.015
kurus,0.015
lagi,0.015
lak,0.029
laki,0.073
lama,0.015
langeng,0.015
lapor,0.015
lawan,0.015
lebaran,0.015
lebih,0.059
lega,0.015
lelah,0.015
lelap,0.015
lembut,0.015
lewat,0.015
lho,0.029
lifebuoy,0.015
lihat,0.015
lipet,0.015
listrik,0.015
lockdown,0.015
luk,0.029
luna,0.015
lupa,0.015
lyke,0.015
maaf,0.015
made,0.015
mahal,0.015
mak,0.015
makhluk,0.015
makul,0.015
malam,0.044
malang,0.029
malaysia,0.015
mana,0.015
manis,0.029
manja,0.015
mantap,0.015
marah,0.015
mari,0.015
masak,0.015
masih,0.015
masuk,0.015
mata,0.029
matahari,0.044
matauang,0.029
matcha,0.015
mati,0.029
mau,0.088
mbengi,0.015
meh,0.015
mei,0.015
melas,0.015
memberi,0.044
menit,0.029
menuh,0.015
menurut,0.015
mereka,0.015
mergo,0.015
mes,0.015
mie,0.015
minum,0.015
misuh,0.029
mudah,0.015
muka,0.015
mules,0.044
mulut,0.015
musuh,0.015
nada,0.015
nagih,0.015
naik,0.015
nama,0.029
nampol,0.029
nan,0.015
nastar,0.015
ne,0.015
nenek,0.029
ngajakin,0.015
ngantuk,0.015
ngatainya,0.015
ngebayangin,0.015
ngebosenin,0.015
ngebucin,0.015
ngeledek,0.015
ngemaskeri,0.015
ngerus,0.015
ngezelin,0.015
ngno,0.015
ngo,0.015
ngomongnya,0.015
ngon,0.015
ngotot,0.015
nguyu,0.015
niacin,0.015
niat,0.015
nin,0.029
ning,0.015
novel,0.029
nukoke,0.015
nunguinya,0.015
nyala,0.029
nyempetin,0.015
nylilid,0.015
oke,0.015
omong,0.029
online,0.059
orangtuanya,0.015
pacar,0.029
pada,0.015
padake,0.015
paham,0.015
pahit,0.015
pakai,0.044
paksa,0.015
panas,0.015
panik,0.015
parfumu,0.015
parno,0.015
pasien,0.029
patrick,0.015
pdfnya,0.015
pedas,0.015
peluk,0.015
pendapat,0.015
pergi,0.015
pernah,0.029
persis,0.015
pesan,0.015
pikir,0.059
pintu,0.015
plastik,0.029
po,0.015
podo,0.029
pokok,0.015
posisi,0.015
pria,0.015
puas,0.015
pul,0.015
pulung,0.015
pundak,0.015
punya,0.029
putar,0.015
putus,0.015
puyer,0.015
qn,0.015
ra,0.029
racik,0.015
rakaruan,0.015
ramai,0.015
rapi,0.029
ras,0.015
rasa,0.059
ratau,0.015
referensi,0.015
reflek,0.029
repot,0.015
resep,0.015
responsif,0.015
retweet,0.015
ribu,0.015
rindu,0.015
ro,0.015
ruang,0.029
rumah,0.029
rusuh,0.015
rutinitas,0.015
saat,0.015
sabun,0.015
sadap,0.015
sahabat,0.015
saham,0.015
saiki,0.029
saja,0.073
saking,0.015
salah,0.015
sama,0.117
sambi,0.015
sampai,0.073
satu,0.015
saudara,0.132
saya,0.308
sayang,0.059
sayap,0.015
sayur,0.015
sebentar,0.044
sedih,0.044
segala,0.029
segar,0.015
segera,0.015
sekali,0.264
sekarang,0.044
selalu,0.015
semangat,0.015
semesta,0.015
semoga,0.015
sempat,0.015
semua,0.015
sen,0.029
