term,weight
acara,0.017
ada,0.101
agar,0.017
agung,0.008
ain,0.008
ajar,0.025
akan,0.017
akre,0.017
alesanya,0.008
along,0.008
aman,0.05
amatsih,0.008
ambil,0.017
ambyar,0.008
an,0.05
anak,0.025
anda,0.025
aneh,0.008
angkat,0.017
antara,0.008
antem,0.008
anteng,0.008
antre,0.008
apa,0.067
apd,0.008
aplikasi,0.008
artis,0.017
asal,0.008
asli,0.008
atau,0.025
atur,0.008
awal,0.008
ayah,0.025
baca,0.034
badan,0.008
bagaimana,0.076
bagus,0.008
bahkan,0.008
baik,0.017
bakso,0.008
balas,0.017
balita,0.008
bantu,0.017
banyak,0.008
baperan,0.017
barang,0.008
bareng,0.008
baru,0.042
batu,0.008
bawa,0.042
bawang,0.008
bayang,0.008
bayar,0.008
bayi,0.017
bcl,0.008
beberapa,0.017
beda,0.025
begini,0.008
begitu,0.05
belah,0.008
beliau,0.008
belum,0.042
benang,0.008
benar,0.076
bengong,0.008
beranda,0.008
berani,0.008
berita,0.008
berkah,0.008
bersih,0.008
betapa,0.008
bias,0.008
biasa,0.017
bilang,0.025
bimbing,0.008
bimbinganya,0.008
bingung,0.05
bisa,0.034
bodoh,0.059
bohong,0.008
bolak,0.008
bonus,0.008
boro,0.008
bosan,0.008
boyolali,0.008
brended,0.008
brewok,0.008
buat,0.067
budak,0.017
bude,0.008
buka,0.025
canda,0.008
cantik,0.008
cara,0.008
cari,0.008
cemil,0.059
cemilan,0.008
cengang,0.008
cepat,0.008
cerdas,0.008
cerewet,0.025
cerita,0.034
cinta,0.025
coba,0.017
contek,0.008
corona,0.017
cpns,0.008
ct,0.008
cuci,0.017
cuek,0.008
cuma,0.034
daftar,0.025
daging,0.008
dan,0.059
dapat,0.008
dapur,0.017
dar,0.008
darah,0.008
dari,0.025
darimana,0.008
daripada,0.017
daritadi,0.017
dasar,0.034
datang,0.008
daud,0.008
deh,0.008
dekat,0.025
deketan,0.008
dengan,0.008
dengar,0.008
depo,0.008
di,0.025
diajarin,0.008
diam,0.025
dibantuin,0.008
diginian,0.008
dikagetin,0.008
dikos,0.008
dingin,0.008
diomelin,0.008
dion,0.008
dipangil,0.017
dipenuhin,0.008
direktur,0.008
diri,0.025
diselingkuhin,0.008
ditanyain,0.025
ditwiter,0.017
dk,0.008
doang,0.034
dokter,0.008
dosbing,0.017
dosen,0.008
dpnya,0.008
drama,0.092
duka,0.008
dulu,0.025
duluan,0.008
dunia,0.025
edit,0.017
eh,0.008
enak,0.008
endang,0.008
endap,0.008
fakboi,0.008
fakta,0.008
farmasi,0.008
fi,0.008
film,0.008
flu,0.008
formalitas,0.008
foto,0.017
fredly,0.008
frs,0.008
game,0.008
ganda,0.008
gandeng,0.008
gara,0.008
garuda,0.008
gatal,0.008
gel,0.008
geli,0.008
gemas,0.008
gerombolanya,0.008
giat,0.008
gin,0.143
ginjal,0.008
ginu,0.008
glodakan,0.008
gobloqan,0.008
gods,0.008
gosip,0.008
greget,0.008
gregetan,0.008
grup,0.008
gugup,0.025
habis,0.042
hai,0.008
halaman,0.008
halusinasi,0.008
hampir,0.008
hancur,0.008
hanya,0.017
hapus,0.008
hari,0.025
haru,0.025
harus,0.008
hasil,0.008
hati,0.025
hawa,0.008
henti,0.008
hidup,0.034
hilang,0.017
hindar,0.017
hobi,0.008
horor,0.008
hubung,0.008
hujan,0.008
hujat,0.008
humoris,0.025
huni,0.017
ibu,0.067
igd,0.008
iklan,0.008
ikuti,0.008
imunologi,0.008
in,0.008
info,0.008
ingat,0.034
ingin,0.084
ini,0.042
instagram,0.017
instropeksi,0.008
iri,0.025
itu,0.05
iya,0.017
jadi,0.067
jadwal,0.008
jaga,0.008
jail,0.017
jajan,0.008
jalan,0.034
jam,0.05
jamanya,0.008
janji,0.008
jarak,0.008
jarang,0.008
jas,0.008
jasmani,0.017
jatah,0.017
jebol,0.008
jelajah,0.008
jelang,0.008
jijik,0.008
