term,weight
ada,0.02
adalah,0.041
adekmu,0.01
afik,0.01
agak,0.01
agung,0.01
air,0.01
ajak,0.01
ajar,0.01
aju,0.01
akal,0.02
akan,0.03
akhir,0.02
akrab,0.01
aktor,0.01
ala,0.01
alas,0.01
alasan,0.01
alir,0.01
alur,0.01
aman,0.01
amin,0.01
ampun,0.02
an,0.01
anak,0.061
anda,0.081
angkring,0.01
angun,0.02
anjing,0.01
apa,0.132
apd,0.01
apsnya,0.01
arah,0.01
artikel,0.01
asap,0.01
asing,0.01
asline,0.01
atau,0.01
aws,0.01
ayo,0.081
baca,0.061
bachtiar,0.01
bagaimana,0.071
bagus,0.01
bahagia,0.01
bahasa,0.01
bahwa,0.01
baik,0.01
baju,0.01
bakteri,0.01
balas,0.01
balikin,0.01
bangun,0.03
banyak,0.02
bar,0.03
bareng,0.01
baru,0.02
basa,0.01
basi,0.02
batal,0.01
bayang,0.01
bayar,0.01
beautifully,0.01
beban,0.01
beda,0.03
begitu,0.03
bekas,0.01
belakang,0.01
belan,0.01
beli,0.02
belum,0.03
ben,0.02
benam,0.02
benang,0.01
benar,0.091
bengi,0.01
bengok,0.01
bening,0.01
bennet,0.01
bentar,0.02
beranda,0.01
berhubungan,0.01
besar,0.01
besok,0.01
bestie,0.01
bicara,0.01
bijak,0.01
bijaksana,0.01
bingung,0.01
bisa,0.01
boba,0.01
bozqu,0.01
buak,0.01
buat,0.122
bubuk,0.01
budak,0.03
buka,0.02
bukan,0.041
bukmark,0.01
buko,0.01
buku,0.01
canda,0.01
candak,0.01
cantik,0.01
cara,0.02
carane,0.02
catat,0.02
celaka,0.01
cepat,0.02
cerita,0.041
ceritain,0.01
ceritane,0.01
cil,0.02
cing,0.01
cinta,0.071
coba,0.041
cocok,0.01
coklat,0.01
colonize,0.01
corona,0.01
cp,0.01
cuci,0.03
curhat,0.01
dadi,0.01
dalam,0.01
dan,0.01
dapur,0.02
dari,0.02
dat,0.01
datang,0.02
datengin,0.01
dekat,0.01
delete,0.01
dengan,0.01
depok,0.01
des,0.02
desain,0.01
dewe,0.02
dhe,0.01
di,0.03
dia,0.03
dikerjain,0.01
dikibulin,0.01
dimafin,0.01
ding,0.01
dipangil,0.02
diremuke,0.01
disini,0.02
div,0.051
dobel,0.01
doing,0.01
dolan,0.01
donh,0.01
dontea,0.01
drama,0.01
dukung,0.01
dulu,0.03
dunia,0.01
efektif,0.01
ehe,0.01
ehehe,0.01
elizabeth,0.01
email,0.01
embel,0.01
eminem,0.01
emosi,0.02
enak,0.01
enek,0.01
energi,0.01
english,0.01
entuk,0.01
envy,0.01
eq,0.02
espreso,0.01
esuk,0.01
fik,0.01
film,0.01
foto,0.051
friends,0.01
gabung,0.01
gagal,0.01
gara,0.01
garis,0.01
gas,0.01
gelem,0.01
gemas,0.02
gemesh,0.01
gereget,0.01
gigit,0.01
gila,0.01
gin,0.02
ginuk,0.02
glo,0.01
golek,0.01
gugling,0.01
gulir,0.01
habis,0.041
hadu,0.01
hahahahahahaha,0.01
hahahahahahahaha,0.01
halang,0.01
hanya,0.02
happened,0.01
harap,0.01
hari,0.03
harus,0.01
hasil,0.01
hati,0.02
hayo,0.02
heu,0.01
hibur,0.02
hidup,0.01
hih,0.01
hits,0.01
humoris,0.01
ibnu,0.01
ibu,0.02
ide,0.01
ih,0.01
ijonya,0.01
ik,0.02
ikut,0.01
in,0.03
indie,0.02
indomaret,0.01
ini,0.132
iri,0.01
isi,0.01
isin,0.01
iso,0.02
itb,0.01
itu,0.102
iya,0.041
jadi,0.071
jahanam,0.01
jahat,0.01
jakartanya,0.01
jalan,0.01
jalur,0.01
jam,0.01
jaman,0.02
jamil,0.02
jelek,0.02
jerat,0.01
jerit,0.01
jika,0.02
jirih,0.01
juga,0.051
jurnal,0.01
kabar,0.01
kabeh,0.02
kakean,0.01
kalau,0.102
kalimat,0.01
kan,0.01
kandang,0.01
kangenya,0.01
karena,0.01
kasi,0.01
kayae,0.01
ke,0.02
kebahagian,0.01
kebahagianku,0.01
keburu,0.02
kejut,0.02
kelas,0.01
keluar,0.01
keluarga,0.02
keluh,0.02
kemarin,0.02
kembali,0.01
ken,0.041
kenal,0.01
kenapa,0.061
kendali,0.01
kene,0.01
keras,0.01
keren,0.01
kertas,0.01
kesal,0.01
ketemu,0.02
ketika,0.02
ki,0.081
kiri,0.01
kita,0.02
koin,0.01
konco,0.01
konflik,0.01
kopi,0.02
koplak,0.01
kos,0.02
koyoe,0.03
kreatif,0.01
kuanterin,0.01
kucing,0.051
kudatengin,0.01
kui,0.041
kuku,0.01
kukut,0.01
kuliah,0.01
kunjung,0.01
kuping,0.01
kurang,0.01
kutekin,0.01
lagi,0.061
lahan,0.01
lain,0.01
lalu,0.02
lambung,0.01
lampir,0.02
langit,0.01
langsung,0.01
lantai,0.01
lapar,0.01
lara,0.01
laris,0.01
latar,0.01
laundromat,0.01
lelah,0.02
leleh,0.01
lembar,0.01
lengkap,0.01
lhais,0.01
lihat,0.03
lipet,0.01
logat,0.01
loh,0.02
lovebird,0.01
loved,0.01
lubang,0.01
lucu,0.041
lup,0.01
luwih,0.01
maaf,0.041
maafin,0.02
mabokz,0.01
macam,0.01
maem,0.01
mager,0.01
maghrib,0.01
makas,0.03
maksa,0.01
maksud,0.01
malu,0.03
manis,0.01
marah,0.02
martabak,0.01
masakin,0.01
masuk,0.01
matahari,0.03
mau,0.01
maya,0.03
mben,0.01
mbenging,0.01
mbok,0.01
mei,0.01
memang,0.071
menikah,0.01
menteri,0.02
mereka,0.02
merinding,0.01
meskipun,0.01
mesti,0.02
mewah,0.01
mikroskopik,0.01
milik,0.02
