term,weight
abai,0.008
ada,0.024
adalah,0.008
adaptasi,0.008
admin,0.024
aduh,0.008
aduk,0.008
agar,0.04
ah,0.008
aih,0.016
air,0.016
ajang,0.008
ajar,0.04
akan,0.016
akhir,0.008
aksi,0.008
alir,0.008
ambis,0.008
ambyar,0.008
ampuh,0.008
an,0.016
anak,0.024
anda,0.079
angin,0.008
angke,0.008
anisa,0.008
anymore,0.008
apa,0.135
apalagi,0.008
apes,0.008
ar,0.008
arr,0.008
asa,0.008
asam,0.008
asking,0.008
asli,0.008
astaga,0.016
ayo,0.119
aziza,0.008
baca,0.008
bagaimana,0.063
bagus,0.008
bahan,0.008
baik,0.024
bakar,0.008
bakat,0.008
balap,0.008
balas,0.008
banding,0.008
bandingin,0.008
bangun,0.008
bantu,0.008
banyak,0.024
batin,0.008
bawah,0.008
beda,0.024
begini,0.016
begitu,0.016
bekas,0.016
beli,0.008
belum,0.008
benar,0.071
berat,0.008
besar,0.016
besok,0.008
beud,0.016
bibir,0.016
bicara,0.04
bijak,0.008
bikini,0.008
bintang,0.008
bisa,0.079
bljr,0.008
bnr,0.008
bobot,0.008
bodoh,0.016
bosan,0.008
buat,0.071
buka,0.04
bukan,0.008
buku,0.008
bulan,0.016
cakung,0.008
calon,0.008
campur,0.008
cara,0.024
cari,0.024
cemil,0.016
cengeng,0.008
cepat,0.04
cerita,0.008
ci,0.008
cinta,0.016
coba,0.04
coklat,0.008
copot,0.008
corona,0.008
cukup,0.008
cuma,0.055
cuy,0.008
dadar,0.008
daftar,0.008
dampak,0.008
dapat,0.008
dari,0.032
dasar,0.008
datang,0.008
deh,0.008
delapan,0.008
dengernya,0.016
dhan,0.016
di,0.024
dika,0.008
dikit,0.008
dilatin,0.008
dilema,0.008
diliatin,0.008
dimatin,0.008
diri,0.024
doang,0.032
dodol,0.008
dong,0.024
dramagon,0.008
dua,0.016
duga,0.016
duluan,0.008
dunia,0.032
ehem,0.008
eksplor,0.008
emosi,0.008
emosional,0.008
episode,0.008
er,0.008
fgd,0.008
fokus,0.04
gagal,0.024
gajelas,0.032
ganguan,0.008
ganti,0.008
gas,0.008
geli,0.008
gelisah,0.008
gengs,0.008
gerai,0.008
gila,0.008
gin,0.063
goa,0.095
grup,0.008
gugup,0.008
habis,0.008
hadu,0.008
haduh,0.016
hai,0.055
hak,0.008
hakim,0.008
han,0.008
hancur,0.008
hany,0.008
hanya,0.04
hapus,0.008
harap,0.008
harga,0.008
hari,0.032
harus,0.024
heli,0.008
hiburanq,0.008
hidup,0.063
hilang,0.008
hilir,0.008
huhuh,0.008
huhuhuhuhu,0.008
hujan,0.016
humoris,0.016
ihiy,0.008
ikhlas,0.024
ikut,0.008
inalilahi,0.008
indihome,0.016
indikator,0.008
ingin,0.008
ini,0.143
istirahat,0.008
istri,0.008
itu,0.087
iya,0.04
jadi,0.063
jail,0.024
jak,0.008
jalan,0.063
jam,0.008
jaman,0.008
jati,0.008
jauh,0.008
jawab,0.008
jebak,0.008
jelek,0.008
jogging,0.008
js,0.008
juga,0.055
jujur,0.016
juta,0.008
kabel,0.008
kaku,0.008
kalah,0.008
kalau,0.095
kali,0.024
kan,0.016
kantor,0.024
kapan,0.008
kasi,0.008
kebahagian,0.008
kecewa,0.008
kejar,0.008
kejut,0.024
kekeluargan,0.008
keluar,0.008
keluarga,0.008
keluh,0.016
ken,0.103
kenapa,0.024
kentang,0.008
kepala,0.008
keren,0.008
kereta,0.024
kerja,0.055
kesal,0.024
ketemu,0.008
ketika,0.016
ketinggalan,0.008
kita,0.016
komentar,0.008
komunikasi,0.008
konflik,0.008
konsentrasi,0.008
kreatip,0.008
kuat,0.008
kuliah,0.008
kuning,0.008
lagi,0.055
lahir,0.016
lain,0.024
lambung,0.008
lawak,0.008
lebay,0.008
lebih,0.016
