term,weight
abai,0.009
acara,0.017
ada,0.069
adalah,0.017
aedes,0.009
aegypti,0.009
afk,0.009
agar,0.06
agustus,0.017
air,0.009
aish,0.009
ajak,0.009
ajar,0.017
aji,0.009
akakakakakakakakakakak,0.009
akan,0.009
akdn,0.009
akhir,0.026
aktqmgmkec,0.009
aluka,0.009
aman,0.009
amin,0.009
ampun,0.009
an,0.009
anak,0.052
ancam,0.009
anda,0.095
aneh,0.017
anemia,0.009
angkat,0.009
ani,0.017
anime,0.009
anis,0.034
apa,0.086
ar,0.009
artis,0.017
asap,0.009
asli,0.009
atau,0.009
ats,0.009
awam,0.009
ay,0.069
ayah,0.009
ayam,0.009
ayo,0.017
az,0.009
bab,0.009
baca,0.026
bagaimana,0.086
bagi,0.017
bagianya,0.009
bah,0.009
bahagia,0.009
bahaya,0.009
baik,0.043
bakat,0.009
balas,0.009
banding,0.009
bandingin,0.009
bantu,0.009
banyak,0.009
bapak,0.009
barang,0.009
barokalah,0.009
baru,0.026
bawa,0.009
bayang,0.017
beberapa,0.009
beda,0.017
begitu,0.069
belah,0.009
belum,0.034
bem,0.009
benang,0.017
benar,0.034
bentar,0.009
beranda,0.017
beras,0.009
berita,0.009
berleha,0.009
besar,0.017
besok,0.052
bias,0.017
biasa,0.009
biases,0.009
biaya,0.017
bicara,0.009
bijaksana,0.017
bilang,0.009
bingung,0.009
biost,0.009
biostat,0.009
bisa,0.017
blog,0.017
bodoh,0.009
bolak,0.009
boleh,0.009
boneka,0.017
bosan,0.009
bosenya,0.009
boyfriend,0.009
bts,0.009
buat,0.034
buka,0.009
bukti,0.009
buku,0.009
bunuh,0.017
buru,0.017
byun,0.009
cabai,0.009
cag,0.009
capai,0.009
capres,0.009
cara,0.009
cari,0.017
cat,0.017
cc,0.026
cemil,0.017
cemplung,0.017
cepat,0.017
ceramah,0.009
cerita,0.009
ceritain,0.009
chimera,0.009
cih,0.009
ciputat,0.009
cita,0.026
ciye,0.017
ckck,0.017
ckckck,0.009
cnblue,0.009
co,0.216
coba,0.052
colek,0.009
condolences,0.009
cont,0.138
cuahm,0.009
cuti,0.009
da,0.009
dade,0.017
dadong,0.009
daftar,0.009
dan,0.026
dapat,0.017
dari,0.052
dasa,0.009
dasar,0.009
datang,0.009
deadline,0.009
deadliner,0.009
debut,0.009
deh,0.009
dengan,0.034
dengar,0.009
depan,0.017
df,0.009
dhir,0.009
dhira,0.086
di,0.026
dia,0.034
didoain,0.009
dih,0.009
dimana,0.009
dinget,0.009
dingin,0.009
dinkesnya,0.009
dinyanyin,0.009
dio,0.009
dionya,0.009
diri,0.009
disampein,0.009
diskon,0.009
disuguhin,0.009
diupload,0.009
dnl,0.009
doa,0.009
dokter,0.009
dong,0.009
donlotin,0.009
duka,0.009
dulu,0.009
during,0.009
eairmun,0.009
edit,0.009
efek,0.017
eh,0.034
ehem,0.009
ehm,0.017
ejie,0.017
elin,0.009
emangnye,0.009
ends,0.009
entered,0.009
entomologi,0.009
epid,0.026
episode,0.009
erti,0.009
exo,0.034
ey,0.009
fakta,0.009
faridun,0.009
fi,0.009
film,0.009
fine,0.009
fishrt,0.009
fisik,0.017
flqzr,0.009
