term,weight
abadi,0.008
acak,0.008
acara,0.008
ada,0.065
adalah,0.016
adan,0.016
admi,0.008
admin,0.106
agama,0.008
agar,0.033
air,0.025
aisyah,0.008
ajaib,0.016
ajar,0.074
akan,0.016
akane,0.008
akhir,0.016
akhirat,0.008
akses,0.025
aktif,0.008
aktifin,0.008
al,0.016
alam,0.016
alamat,0.008
alami,0.008
alhasil,0.008
alih,0.008
aman,0.008
ambil,0.008
ambyar,0.008
amin,0.025
an,0.041
anak,0.09
ancang,0.016
anda,0.049
andrea,0.008
aneh,0.008
anggota,0.008
apa,0.049
api,0.016
aplicable,0.008
aplikasi,0.025
asli,0.025
asumsi,0.008
atas,0.008
atisiri,0.025
atsiri,0.008
atur,0.008
aturanya,0.008
audit,0.008
awal,0.008
awet,0.008
ayah,0.008
ayam,0.008
ayo,0.025
az,0.008
babah,0.033
baca,0.074
bagai,0.016
bagaimana,0.033
bagi,0.033
bahagia,0.041
baik,0.025
baju,0.008
balap,0.008
balas,0.025
banding,0.008
bang,0.016
bantu,0.008
banyak,0.008
bapak,0.041
bara,0.008
barang,0.008
baru,0.008
basah,0.008
basic,0.008
bata,0.016
batang,0.008
batas,0.008
batin,0.008
bawa,0.008
bawah,0.008
bawain,0.008
beberapa,0.008
beda,0.016
begini,0.008
begitu,0.082
beh,0.008
belakang,0.008
beli,0.016
beliau,0.025
belum,0.025
benang,0.016
benar,0.074
berani,0.008
berapa,0.016
beri,0.008
berkah,0.008
bermanfat,0.008
besok,0.025
betina,0.008
bias,0.008
biaya,0.008
bicara,0.008
bidang,0.008
bilang,0.016
bimbing,0.016
biokim,0.008
biologi,0.008
bisa,0.098
bisaitu,0.008
bismillah,0.025
blog,0.025
boarding,0.016
bodoh,0.008
boga,0.008
bolak,0.008
boleh,0.008
bom,0.008
botol,0.016
bptba,0.008
buah,0.008
buat,0.065
buatin,0.008
bucketnya,0.008
buka,0.025
bukan,0.008
buku,0.008
bulan,0.049
bunga,0.008
butet,0.008
butuh,0.008
buya,0.008
cahyo,0.008
cakap,0.008
camil,0.016
cangkir,0.008
cara,0.016
cari,0.025
celah,0.008
cemil,0.016
cengeng,0.008
ceplok,0.008
cerita,0.041
cerpen,0.008
cetak,0.016
christie,0.008
ci,0.008
cia,0.008
cinta,0.025
coba,0.008
cokelat,0.016
congrats,0.008
copot,0.008
cuma,0.033
cv,0.016
dada,0.016
daddies,0.025
dae,0.008
daging,0.008
dalam,0.016
dan,0.065
dapat,0.041
dari,0.049
daripada,0.016
dasar,0.016
data,0.008
datang,0.008
degdegan,0.008
dekat,0.025
dengan,0.025
dengar,0.025
depan,0.008
der,0.008
detik,0.008
dewi,0.008
di,0.057
dia,0.033
diam,0.016
dibagin,0.008
dibutuhin,0.008
didik,0.033
dimana,0.008
dinterview,0.008
dipangil,0.025
direct,0.008
