term,weight
ada,0.039
adalah,0.013
admin,0.013
aduh,0.026
agar,0.052
agenda,0.013
ajak,0.013
aji,0.013
akakak,0.013
akhir,0.013
akhlak,0.013
akirnya,0.013
akun,0.013
alasan,0.013
alfamart,0.013
alias,0.013
alih,0.013
amay,0.013
amin,0.013
amu,0.013
an,0.013
anak,0.026
anda,0.065
anggur,0.013
anginya,0.013
anyeong,0.013
apa,0.052
aqila,0.013
ardhito,0.013
asep,0.013
astaga,0.039
atau,0.013
awaw,0.013
awet,0.013
ayo,0.078
babak,0.013
baca,0.013
bagaimana,0.013
bahagia,0.013
bahasa,0.013
banguntapan,0.026
banyak,0.052
barenganya,0.013
baru,0.013
baskara,0.013
batin,0.013
bau,0.013
bawah,0.013
beban,0.013
begitu,0.039
beku,0.013
beli,0.013
benar,0.052
benerbener,0.013
bentar,0.026
beranta,0.013
berat,0.013
besar,0.013
besok,0.026
besoq,0.013
betol,0.013
bilang,0.013
bingung,0.026
bisa,0.091
blkg,0.013
boba,0.039
bodoh,0.013
bohong,0.013
boleh,0.026
bolong,0.013
bom,0.013
bosan,0.039
brengsek,0.013
buah,0.013
buat,0.026
buber,0.013
budak,0.039
buka,0.039
bukan,0.013
bul,0.013
bunga,0.013
bur,0.013
cedi,0.013
cemangat,0.013
cemil,0.209
cepat,0.026
cerita,0.026
cilok,0.013
cinta,0.052
cloy,0.065
coba,0.013
corona,0.013
cpt,0.013
cr,0.013
cuma,0.026
cuy,0.013
da,0.013
dalam,0.013
damar,0.013
dapat,0.013
darah,0.013
dari,0.091
dekor,0.013
depan,0.013
der,0.013
destia,0.013
detik,0.013
diabetes,0.013
dibolehin,0.013
digofod,0.013
dikit,0.013
dil,0.013
dinding,0.013
dingin,0.039
ditanyain,0.013
diteriakin,0.013
doang,0.013
doank,0.013
dosa,0.026
drakoran,0.013
drama,0.104
dunia,0.013
duren,0.013
ebi,0.013
em,0.013
enak,0.026
eon,0.013
episode,0.013
es,0.013
eskrim,0.013
frik,0.026
gadpt,0.013
gaksih,0.013
gaktau,0.013
gasabar,0.013
gatenang,0.013
gdun,0.013
gemey,0.013
gemini,0.013
geprek,0.013
gigi,0.013
gila,0.013
gin,0.065
giniseh,0.013
godan,0.026
godean,0.013
gratis,0.013
grup,0.013
gtw,0.013
gumuy,0.013
habis,0.065
hadu,0.013
hala,0.013
halusinasi,0.013
hanya,0.013
hari,0.052
haseyo,0.013
hati,0.013
hayo,0.013
heran,0.013
hidup,0.013
hijau,0.013
hindar,0.013
hindia,0.026
hujan,0.039
huw,0.013
ibu,0.013
ide,0.013
idih,0.013
ikut,0.026
in,0.013
indihome,0.013
ingin,0.156
ini,0.065
isi,0.026
istirahat,0.013
itu,0.078
iya,0.013
jadi,0.052
jajan,0.026
jalan,0.065
jam,0.039
jaman,0.013
januari,0.013
jawab,0.013
jdnya,0.013
jeda,0.013
jengukin,0.013
jiwa,0.026
jompo,0.013
jual,0.013
juga,0.026
jujur,0.039
jung,0.013
jurnal,0.013
kacau,0.013
kacaw,0.013
kalau,0.117
kamar,0.039
kambing,0.013
karena,0.013
kasarung,0.013
kedatengan,0.013
kejar,0.026
keluarga,0.013
kemarin,0.013
ken,0.065
kenapa,0.13
kencang,0.013
kenyang,0.013
kerang,0.013
keras,0.013
ketemu,0.026
kiamat,0.013
