term,weight
abc,0.009
ac,0.009
ada,0.043
adalah,0.043
adha,0.009
agar,0.034
air,0.052
ajaib,0.009
akan,0.026
akhir,0.017
akibat,0.009
ala,0.043
alamin,0.009
alhasil,0.009
almarhum,0.009
almond,0.017
alright,0.009
amad,0.009
amal,0.009
ambon,0.009
amin,0.017
amore,0.009
ampuh,0.009
ampun,0.009
an,0.069
anak,0.017
anda,0.069
anginya,0.009
angkutan,0.009
anies,0.009
anymore,0.009
apa,0.034
armada,0.009
arti,0.009
asar,0.009
asbes,0.009
asih,0.009
asn,0.009
aspal,0.009
atap,0.009
atas,0.009
atau,0.017
atm,0.009
awal,0.009
ayah,0.009
ayam,0.043
ayo,0.009
baca,0.034
baco,0.009
bada,0.026
badan,0.009
bagaimana,0.017
bagi,0.009
bagus,0.026
bahkan,0.009
baik,0.043
baju,0.017
bakar,0.009
bakwan,0.009
balik,0.009
balon,0.009
banding,0.009
bangka,0.017
bangun,0.009
banjir,0.034
bank,0.017
bantal,0.009
banyak,0.026
bapak,0.009
bareng,0.026
baru,0.026
basah,0.009
basic,0.009
basim,0.009
batas,0.017
batuk,0.017
bau,0.034
bawa,0.009
bayi,0.009
bayik,0.009
beda,0.009
begah,0.009
begitu,0.017
belah,0.009
belai,0.026
belakang,0.009
belatung,0.017
beli,0.017
belia,0.009
belum,0.026
ben,0.009
benar,0.06
benda,0.009
bengong,0.009
bensin,0.009
ber,0.009
berapa,0.026
berexpresi,0.009
beri,0.009
berisik,0.009
bersihin,0.009
besok,0.017
biawak,0.009
bicara,0.009
bidik,0.009
bika,0.009
bilang,0.026
bingung,0.026
biru,0.009
bisa,0.034
bising,0.009
bismillah,0.009
bla,0.009
blender,0.009
bodoh,0.009
boiled,0.017
boleh,0.017
bom,0.052
bombay,0.009
breaks,0.009
brutal,0.009
buah,0.017
buat,0.086
bubuk,0.009
bubur,0.034
budak,0.009
budhi,0.009
bufat,0.009
buku,0.017
bulan,0.009
bulat,0.026
bumbu,0.009
bunga,0.009
bunuh,0.009
bunyi,0.017
buruk,0.009
butuh,0.017
cabai,0.009
calon,0.009
campur,0.009
cantik,0.009
captionya,0.009
capucino,0.009
cari,0.009
cawang,0.017
cebur,0.009
cemil,0.112
cepat,0.017
ceplok,0.009
cie,0.009
cinemax,0.009
cing,0.009
cinta,0.009
cium,0.009
coba,0.017
coklat,0.034
comberan,0.009
combro,0.009
crawling,0.009
cried,0.009
crunchy,0.009
cuaca,0.009
cuci,0.017
cuma,0.017
dadah,0.009
dahak,0.009
dalam,0.009
damai,0.017
dan,0.026
dapat,0.026
darah,0.017
dari,0.034
daripada,0.052
dasar,0.009
datang,0.009
daya,0.009
debu,0.009
dekai,0.009
dekat,0.034
deketin,0.009
delicioso,0.009
dengar,0.026
depan,0.009
desa,0.009
desah,0.009
di,0.086
dia,0.026
dibanyakin,0.009
dikeluarin,0.017
diket,0.009
dikit,0.017
dinding,0.009
dingin,0.034
diomongin,0.009
dipangil,0.017
dipatokin,0.009
dipoto,0.009
direktur,0.009
diri,0.017
disamperin,0.009
disemutin,0.009
ditaro,0.009
ditempatin,0.009
ditetesin,0.009
djiwa,0.009
doa,0.009
doang,0.017
doel,0.009
doing,0.017
dokter,0.017
doni,0.009
dorong,0.009
dosa,0.017
drama,0.009
duck,0.009
duduk,0.043
dulu,0.017
duluan,0.009
dunia,0.026
dwonks,0.009
edisi,0.017
efek,0.017
eh,0.017
ek,0.009
ekor,0.009
elah,0.009
eling,0.009
enak,0.017
enakjadianak,0.009
eneg,0.009
engap,0.009
enyak,0.009
era,0.009
erisman,0.009
erlanga,0.009
es,0.009
ex,0.009
exekusi,0.009
exists,0.009
faktor,0.009
film,0.009
fine,0.009
flu,0.009
gadis,0.009
gaji,0.009
ganti,0.034
gantung,0.009
gara,0.052
gaya,0.009
gejolak,0.009
gelas,0.009
geli,0.009
gelombang,0.017
gendong,0.017
gengam,0.009
gerimis,0.017
gigi,0.009
gigit,0.009
gila,0.009
gin,0.017
goreng,0.026
gosip,0.009
gtkm,0.009
gudey,0.009
gugup,0.009
guru,0.009
habibie,0.009
habis,0.052
hadap,0.009
hadiah,0.009
hadir,0.009
haflah,0.009
hahahihi,0.009
haid,0.017
hal,0.009
halal,0.009
halus,0.009
hampir,0.009
handai,0.009
hangat,0.009
hanya,0.009
harap,0.034
hardest,0.009
harga,0.017
hari,0.034
harta,0.009
harus,0.052
haryono,0.009
hasil,0.026
hati,0.017
hayati,0.009
helm,0.026
heny,0.017
herbal,0.026
hidung,0.009
hilang,0.017
ho,0.009
hoh,0.009
hohoho,0.017
hujan,0.043
hurts,0.009
huruf,0.009
ibadan,0.009
ibrahim,0.009
ibu,0.034
ibukota,0.009
idul,0.009
iftitah,0.009
ihiy,0.026
ihram,0.009
ikut,0.009
ilayhi,0.009
iman,0.009
in,0.052
ina,0.009
inalilahi,0.009
indah,0.017
indonesia,0.009
infus,0.009
ini,0.086
inner,0.009
insani,0.009
instagram,0.009
interaxi,0.009
item,0.009
itu,0.155
iya,0.026
jadi,0.086
jadin,0.009
jaga,0.009
jahe,0.017
jaket,0.009
jalan,0.06
jalur,0.009
jam,0.017
james,0.009
janji,0.009
jantung,0.009
jarang,0.009
jari,0.043
jas,0.009
jauh,0.009
jawap,0.009
jaya,0.009
jedar,0.009
jelang,0.017
jendela,0.009
jepang,0.009
jerawat,0.009
jeu,0.009
ji,0.009
jijik,0.009
jin,0.009
jiwa,0.017
joe,0.009
jorok,0.009
jual,0.009
judule,0.009
juga,0.052
jus,0.017
kabar,0.009
kacang,0.017
kae,0.009
kakek,0.017
kaki,0.034
kalau,0.163
kali,0.009
kalimat,0.009
kamar,0.026
kamis,0.009
kan,0.009
kana,0.009
kapan,0.009
kapital,0.009
kardus,0.009
karena,0.034
kartu,0.009
kasar,0.017
kasi,0.034
kasih,0.017
kata,0.026
kayak,0.009
ke,0.009
kecoa,0.009
kedengeran,0.009
kelas,0.017
kelelawar,0.009
keluar,0.009
keluarga,0.009
kemarin,0.052
kemaruk,0.009
kembung,0.009
kencang,0.017
kenceran,0.009
kendara,0.009
kenya,0.009
kepala,0.009
keran,0.009
keras,0.009
kerendem,0.009
kering,0.017
kesal,0.009
ketawa,0.017
ketemu,0.026
ketik,0.009
ketika,0.009
khusyuk,0.009
kira,0.017
kiri,0.009
kjp,0.009
knalpot,0.009
komik,0.009
kompak,0.009
komplain,0.009
kondangan,0.009
konde,0.009
kongsumsi,0.009
kontainer,0.009
kopi,0.009
koran,0.009
korban,0.009
korea,0.009
koreksi,0.017
ktupat,0.009
kuah,0.026
kuatir,0.009
kucing,0.086
kulit,0.009
kuning,0.009
kunyit,0.009
kurleb,0.009
kurma,0.026
kursi,0.026
labu,0.017
lagi,0.017
lagu,0.009
lah,0.009
