term,weight
aa,0.006
abai,0.006
acak,0.017
acara,0.011
ada,0.062
adam,0.006
admin,0.028
aduh,0.006
afgan,0.006
agar,0.028
agatha,0.006
ahli,0.006
air,0.011
ajak,0.011
ajar,0.022
aju,0.006
akan,0.006
akhir,0.011
akses,0.006
alami,0.006
alat,0.006
alergi,0.006
ambil,0.017
american,0.006
amin,0.028
ampela,0.006
ampun,0.022
an,0.028
anak,0.017
anda,0.039
andal,0.006
aneh,0.011
anggota,0.006
antara,0.011
antioksidan,0.006
antioksidanya,0.006
antum,0.006
apa,0.056
apalagi,0.006
aplikasi,0.017
arah,0.006
arsitek,0.006
arti,0.011
asin,0.011
asosiasi,0.006
atas,0.006
atau,0.006
atur,0.006
aurat,0.006
ayam,0.006
ayo,0.006
bab,0.017
baca,0.022
badan,0.006
bagaimana,0.022
bagus,0.028
bahas,0.006
bahaya,0.006
baik,0.034
baju,0.006
bak,0.006
balas,0.011
bam,0.006
bandung,0.017
bang,0.006
bantu,0.006
banyak,0.022
barang,0.011
baru,0.022
batin,0.006
bawa,0.028
bawah,0.006
bayar,0.006
bazar,0.006
beban,0.006
bebas,0.006
becek,0.011
beda,0.034
begitu,0.067
beli,0.056
belum,0.022
benang,0.006
benar,0.095
benci,0.017
bentar,0.006
bentuk,0.006
beranda,0.022
berapa,0.017
berat,0.006
berkat,0.006
bersih,0.006
besar,0.017
betul,0.006
bgmn,0.006
bi,0.028
biasa,0.028
bibi,0.011
bicara,0.006
bikhair,0.006
bilang,0.017
bingung,0.006
bintang,0.011
biologi,0.006
biru,0.006
bis,0.006
bisa,0.011
blender,0.006
blyton,0.006
boba,0.011
bogor,0.017
boikot,0.006
bola,0.006
bolos,0.022
bom,0.006
boros,0.006
buah,0.011
buat,0.073
bubur,0.062
buka,0.022
bukan,0.022
bukti,0.006
buku,0.017
bulan,0.011
bule,0.006
bulu,0.006
bunut,0.011
bunyi,0.006
buruk,0.006
butuh,0.017
bw,0.039
cabang,0.011
cakep,0.006
cakwe,0.006
camil,0.006
cantik,0.011
capai,0.006
cara,0.006
cari,0.028
cc,0.006
cela,0.006
cemil,0.067
cepat,0.028
chef,0.006
chi,0.017
choipan,0.006
christie,0.006
cianjur,0.006
cisauk,0.006
cita,0.006
ck,0.006
coba,0.017
colek,0.006
conelo,0.006
corona,0.028
coronanya,0.006
cuek,0.011
cuekin,0.006
cuma,0.028
dadak,0.006
daerah,0.006
dago,0.017
dai,0.006
dalam,0.028
damping,0.006
dan,0.028
dandan,0.006
dapat,0.039
darah,0.006
dari,0.106
daripada,0.017
darwin,0.006
dasar,0.006
datang,0.011
daur,0.006
deh,0.011
dekat,0.011
dengan,0.05
depan,0.006
dering,0.006
dewasa,0.006
di,0.039
dia,0.006
diabetes,0.006
dialasin,0.006
dicancel,0.006
dilakuin,0.006
dilema,0.011
dilewatin,0.006
diliburin,0.006
dimana,0.017
dingatkan,0.006
dingin,0.011
dino,0.006
dinosaurus,0.006
dipangil,0.006
diributin,0.006
disebutin,0.006
disimpen,0.006
diskon,0.011
disumbangin,0.006
ditunjukin,0.006
ditutupin,0.006
diza,0.006
doang,0.011
dokter,0.084
dollars,0.006
domino,0.006
dong,0.017
dpr,0.006
drh,0.006
drmn,0.006
dsb,0.006
dua,0.006
duet,0.006
dulu,0.067
duluan,0.006
dunia,0.006
ecie,0.006
edar,0.011
eh,0.028
ekspektasi,0.011
elah,0.006
ember,0.006
enak,0.011
engsel,0.006
enid,0.006
era,0.006
erni,0.006
es,0.006
eskrim,0.006
eskrimnya,0.006
etem,0.011
evolusi,0.017
favorit,0.017
feb,0.006
fisioterapi,0.006
fitri,0.006
fk,0.028
fokus,0.006
foto,0.028
furnitur,0.011
gabung,0.006
gadis,0.011
gambar,0.006
gang,0.006
