term,weight
abisin,0.02
absensi,0.01
abu,0.02
ada,0.039
admin,0.049
adminya,0.01
agar,0.02
ajar,0.02
akan,0.01
akhir,0.039
aktifin,0.01
akun,0.03
akyu,0.01
al,0.01
alhamdulilh,0.01
alhasil,0.01
alkohol,0.01
aman,0.01
ambil,0.01
ampun,0.03
an,0.02
anda,0.059
apa,0.089
apus,0.01
astaga,0.01
atas,0.01
atay,0.01
atur,0.02
aurot,0.01
autentikasi,0.01
awowkwowkwok,0.01
axisnet,0.01
ayah,0.03
ayo,0.069
baca,0.02
bagaimana,0.02
bagi,0.039
bagus,0.01
bahagia,0.01
bahasa,0.01
bahkan,0.03
baik,0.069
balas,0.049
bang,0.02
banking,0.01
banting,0.01
bantu,0.01
banya,0.01
banyak,0.02
bapak,0.02
bar,0.01
bareng,0.01
baru,0.01
batin,0.01
bawa,0.049
bawah,0.01
beban,0.02
beda,0.039
begitu,0.099
bekas,0.02
belah,0.01
beli,0.02
beliau,0.01
belum,0.01
benang,0.02
benar,0.039
beranda,0.01
berapa,0.01
berita,0.01
bertemu,0.01
besok,0.01
bias,0.01
bibir,0.01
bijak,0.01
biji,0.01
bilang,0.01
bimbing,0.01
bisa,0.138
blibli,0.01
blok,0.01
bluwekan,0.01
bocor,0.03
bodoh,0.02
boleh,0.01
bonyok,0.01
bosan,0.01
brkali,0.01
buat,0.049
buka,0.049
bulan,0.01
bundir,0.01
buru,0.01
buta,0.01
butuh,0.01
bvwkwkw,0.01
calon,0.01
cantik,0.01
cari,0.02
carike,0.01
cat,0.01
catat,0.03
celup,0.01
cemil,0.02
cepat,0.03
cepetin,0.01
cerdas,0.01
cerita,0.01
chanel,0.01
cilok,0.02
cinta,0.01
cnth,0.01
coba,0.049
cocok,0.01
cokpad,0.01
corona,0.01
cowonya,0.01
cuci,0.02
culke,0.01
culno,0.01
cuma,0.049
dalam,0.01
dan,0.03
dapat,0.01
dari,0.01
data,0.01
datang,0.01
deloke,0.01
dengernya,0.01
depan,0.01
detail,0.01
di,0.059
dia,0.039
diajakin,0.02
diam,0.01
diangap,0.02
dibangunin,0.01
did,0.01
dijadin,0.01
dik,0.01
dikit,0.02
dingin,0.01
dipangang,0.01
diri,0.03
doang,0.03
dokter,0.01
dominasi,0.01
dong,0.02
dosa,0.02
dosen,0.01
drama,0.03
dulu,0.01
edit,0.01
eg,0.03
eh,0.01
em,0.01
ember,0.01
emosi,0.01
enak,0.01
engal,0.01
episode,0.01
estes,0.01
extracurricular,0.02
fokus,0.01
folowersnya,0.01
font,0.01
foto,0.02
gaberasa,0.01
gambar,0.01
game,0.02
gang,0.01
ganti,0.02
gantin,0.01
gara,0.01
gayung,0.01
gb,0.03
gendong,0.02
gerobak,0.01
gilir,0.01
gin,0.059
golekane,0.01
gonku,0.01
gratis,0.01
grup,0.01
guru,0.049
guyon,0.01
habis,0.059
haduh,0.01
hafal,0.01
hai,0.02
hairdryer,0.01
hak,0.01
hal,0.01
hampers,0.01
handphone,0.01
hangat,0.01
hanya,0.02
harus,0.02
hasil,0.02
hayo,0.02
hendak,0.01
henti,0.039
heran,0.01
hewan,0.01
hibur,0.01
hidup,0.02
hilang,0.01
hingga,0.01
his,0.01
hubung,0.01
hujan,0.02
humoris,0.01
hutang,0.01
huwo,0.01
ibadah,0.01
ibu,0.02
ikram,0.01
ikut,0.02
ikuti,0.039
in,0.02
inces,0.01
inet,0.01
info,0.01
ingat,0.02
ingin,0.03
ingrisnya,0.01
ini,0.079
inpus,0.02
insekyur,0.01
instagram,0.02
internet,0.01
inti,0.01
isi,0.01
isianya,0.01
iso,0.01
isone,0.02
itaewon,0.02
itu,0.079
ix,0.01
iya,0.02
izin,0.02
jadi,0.039
jajan,0.01
jalan,0.02
jam,0.01
janan,0.01
jateng,0.01
jauh,0.01
jebak,0.01
jijik,0.01
jodoh,0.01
joko,0.01
jomblo,0.01
juga,0.049
juli,0.02
jumat,0.01
juni,0.02
kabeh,0.01
kadang,0.01
kae,0.01
kah,0.03
kalau,0.089
kalian,0.01
kantor,0.01
karena,0.049
karyawan,0.01
kasi,0.02
kasihan,0.01
kayak,0.03
ke,0.01
kecil,0.01
kejut,0.01
kelas,0.03
keluarga,0.039
keluhanya,0.01
kemarin,0.01
kembar,0.01
kemringet,0.01
kemudian,0.01
ken,0.049
kenal,0.01
kenapa,0.059
kendaran,0.02
keren,0.01
ki,0.01
kibas,0.01
kilas,0.01
kira,0.039
kirim,0.02
kita,0.059
koharmadio,0.01
koko,0.01
kompak,0.02
konteks,0.01
konten,0.039
korea,0.01
koreah,0.01
kosong,0.01
kotak,0.01
kucing,0.03
kui,0.01
kuljas,0.01
kuota,0.049
kupas,0.01
lacar,0.01
lagi,0.02
lah,0.01
lain,0.01
laki,0.049
lali,0.01
lalu,0.01
lambat,0.02
lantai,0.02
lapor,0.01
larang,0.02
lawas,0.01
layak,0.01
lebaran,0.01
lebih,0.01
lelah,0.01
lembar,0.01
lho,0.039
lhokak,0.01
lholho,0.01
lihat,0.03
lingkar,0.01
lobi,0.01
lucu,0.01
lupa,0.01
macam,0.01
magrib,0.01
makanya,0.01
maksain,0.02
maksud,0.01
malah,0.01
malam,0.01
malu,0.01
mana,0.01
mandi,0.01
mangkal,0.01
manis,0.01
manja,0.01
manpat,0.01
mapin,0.01
maret,0.01
margareth,0.01
mari,0.02
masalah,0.01
masih,0.01
masuk,0.02
mau,0.02
mbuh,0.01
mburi,0.01
media,0.01
melas,0.01
memberi,0.02
menikah,0.01
menit,0.01
mepet,0.01
merah,0.01
mereka,0.01
mie,0.03
mik,0.01
mim,0.01
minggu,0.01
mini,0.02
minum,0.01
mirip,0.01
mlengos,0.02
mobil,0.02
modal,0.01
mon,0.01
monyong,0.01
motor,0.01
muak,0.01
mucih,0.01
mugi,0.01
muka,0.03
muncul,0.01
mung,0.02
murid,0.039
musim,0.01
musuh,0.01
mutualan,0.02
nabati,0.01
nabung,0.01
nama,0.01
nang,0.01
nangismy,0.01
nanti,0.01
ndi,0.01
ne,0.01
nenek,0.03
neraka,0.01
nganguk,0.02
ngartin,0.01
ngelairin,0.01
ngendi,0.01
ngetik,0.01
ngetwet,0.01
ngira,0.01
ngmgnya,0.01
ngo,0.01
ngomongnya,0.01
ngurusi,0.01
ning,0.01
nongkrong,0.01
normal,0.01
notif,0.01
ntah,0.01
nurut,0.01
nyalahin,0.01
nyaring,0.01
nyata,0.01
nyebut,0.01
nyonya,0.01
oalah,0.01
obrol,0.02
ogah,0.01
ojo,0.01
oke,0.01
okesip,0.01
ombe,0.01
omong,0.03
online,0.01
ono,0.02
orang,0.049
orangtuaku,0.01
pach,0.01
paham,0.039
pahit,0.01
pajak,0.01
pakai,0.069
paksa,0.01
palsu,0.01
panggil,0.02
panjang,0.01
pantas,0.01
parsel,0.03
pasang,0.01
pasien,0.01
password,0.01
pasti,0.01
payah,0.01
pedas,0.02
pegang,0.01
pengirim,0.02
pensiun,0.01
penting,0.01
penuh,0.01
perbarui,0.01
periksa,0.039
perlakuanya,0.01
pernah,0.01
peta,0.01
ph,0.01
pijetin,0.01
pikir,0.039
pilih,0.01
pintar,0.01
pintu,0.01
pjok,0.01
pkn,0.01
