term,weight
acts,0.016
ada,0.08
adalah,0.032
adan,0.016
aduh,0.016
agar,0.016
agustus,0.016
air,0.032
ajak,0.016
akibat,0.016
amin,0.016
amitaba,0.016
an,0.016
anak,0.048
anda,0.224
antidepresan,0.016
antwoman,0.016
anymore,0.016
apa,0.064
arina,0.016
asli,0.016
atau,0.016
auditorik,0.016
avanya,0.016
ayam,0.016
ayo,0.096
baca,0.032
badai,0.032
bagaimana,0.016
bagus,0.032
bahagia,0.016
bahasa,0.016
baik,0.016
bakpao,0.016
balas,0.016
balik,0.032
bandung,0.016
bangbreng,0.016
bank,0.016
bantu,0.032
banyak,0.016
batin,0.016
bau,0.016
beda,0.016
begitu,0.016
beli,0.016
belok,0.016
bening,0.016
berapa,0.032
besok,0.048
bhd,0.016
bikini,0.016
bilang,0.016
bingung,0.032
bisa,0.08
bismillah,0.016
bmku,0.016
bodoh,0.016
bohong,0.016
boleh,0.016
buat,0.064
buber,0.032
budaya,0.016
bugis,0.016
buka,0.016
bukibuk,0.016
bulan,0.016
bunda,0.016
butuh,0.08
candra,0.016
carin,0.016
ceker,0.016
cemil,0.016
cerdas,0.016
cerewet,0.032
coas,0.096
comes,0.016
coto,0.016
cupu,0.016
curhat,0.016
curiga,0.016
cuti,0.016
cuy,0.048
da,0.032
dal,0.016
dapat,0.032
darah,0.016
dari,0.016
daripada,0.016
daya,0.016
dek,0.08
demak,0.032
dengan,0.016
dengar,0.048
depan,0.016
derit,0.016
dhian,0.016
dhicak,0.032
di,0.032
dia,0.064
dicabein,0.016
dikangenin,0.016
dikecewain,0.016
dilema,0.016
dinding,0.016
dipulangin,0.016
diri,0.016
dita,0.016
doang,0.016
does,0.016
doesn,0.016
dokter,0.016
dol,0.032
dong,0.016
doraemon,0.016
dosa,0.016
drama,0.016
dukung,0.016
dulu,0.016
dunia,0.032
enaq,0.016
episode,0.016
eror,0.016
es,0.016
esok,0.016
every,0.016
fakta,0.016
far,0.016
februari,0.016
film,0.016
firasat,0.016
fotoin,0.016
gadis,0.016
gakuat,0.016
gamao,0.016
gangnam,0.016
gelisah,0.016
gih,0.016
gin,0.032
ginuk,0.032
giyar,0.032
gratis,0.016
gundah,0.016
hadap,0.016
hai,0.048
halal,0.016
halusinasi,0.016
hamba,0.016
hamdalah,0.016
hampa,0.016
hancur,0.016
hanya,0.016
harga,0.016
hari,0.032
harus,0.016
hati,0.016
hayo,0.016
henti,0.016
hijau,0.032
hikz,0.032
hilang,0.016
hilih,0.016
hitung,0.016
horor,0.016
hubung,0.016
hubungan,0.016
hujan,0.032
ibu,0.032
id,0.016
ikhlas,0.016
imoet,0.016
in,0.016
indah,0.016
ingat,0.016
ingin,0.032
ini,0.064
isip,0.032
itu,0.176
iya,0.048
iz,0.016
jadi,0.08
jaga,0.048
jakarta,0.016
jalan,0.032
jam,0.064
jaman,0.016
jaoh,0.016
jarak,0.016
jari,0.016
jatuh,0.016
jauh,0.016
jelajah,0.016
ji,0.016
jika,0.016
jikalau,0.016
jilbab,0.016
jiwa,0.016
jkw,0.016
jodoh,0.032
jual,0.016
juga,0.096
kabar,0.032
kabur,0.016
kakdal,0.016
kakek,0.016
kaki,0.016
kalajengking,0.016
kalau,0.064
kalean,0.016
kamo,0.016
kan,0.048
kapan,0.032
karena,0.032
karepmu,0.016
karya,0.016
kasih,0.032
ke,0.016
kecoak,0.016
kelana,0.016
keliar,0.016
kemarin,0.048
kembali,0.016
kembang,0.016
kemerdekan,0.016
kempat,0.016
ken,0.032
kenapa,0.048
kendur,0.032
keras,0.032
kerja,0.016
ketemu,0.016
khatam,0.016
kiko,0.016
kira,0.016
kita,0.016
koas,0.048
konsulen,0.016
