term,weight
ada,0.081
adi,0.01
admin,0.01
aduh,0.02
agar,0.01
air,0.01
ajar,0.01
akhir,0.051
alat,0.031
aman,0.02
ambigu,0.01
amin,0.01
ampun,0.061
an,0.01
anak,0.02
analisis,0.01
anda,0.264
apa,0.051
api,0.01
aplikasi,0.01
apus,0.01
arti,0.02
atas,0.01
awas,0.01
awat,0.01
awkarin,0.01
ayah,0.01
ayam,0.01
ayo,0.01
baca,0.01
badak,0.01
badan,0.01
bagaimana,0.061
bagimana,0.01
bagus,0.01
bahas,0.01
baik,0.01
bajing,0.02
bakso,0.031
balik,0.01
bambu,0.02
bangun,0.051
banyak,0.01
baru,0.031
bauk,0.01
bayar,0.02
beberapa,0.01
beda,0.02
begitu,0.092
beli,0.02
belikan,0.01
benang,0.01
benar,0.102
bermerk,0.01
bersih,0.01
beuh,0.041
biadab,0.01
bilang,0.02
bisa,0.01
biyan,0.01
bodoh,0.01
bonya,0.01
broh,0.01
buang,0.01
buat,0.031
bubuk,0.01
budak,0.01
buka,0.01
bukan,0.01
buku,0.01
buru,0.01
butuh,0.01
cabai,0.031
cagak,0.01
campur,0.01
cantik,0.041
capslock,0.01
cari,0.02
carin,0.01
celaka,0.01
cemil,0.02
cepat,0.02
ceplok,0.01
cicak,0.02
cinta,0.01
cirengnya,0.01
ciwiknya,0.01
coba,0.02
cocok,0.02
comel,0.01
cuci,0.01
cuma,0.01
curhat,0.01
curhatnya,0.01
dapat,0.01
darah,0.01
dari,0.02
dek,0.01
dekat,0.01
di,0.02
dia,0.041
diare,0.051
diket,0.01
dimandin,0.01
dinding,0.01
dinotif,0.01
direfund,0.01
diri,0.02
diskon,0.01
doang,0.031
dokter,0.01
dong,0.031
dp,0.01
drama,0.01
duduk,0.01
dukung,0.01
dulu,0.01
egois,0.01
eh,0.031
ejek,0.01
ekspresi,0.01
enak,0.01
endak,0.01
es,0.02
fansnya,0.02
fokus,0.02
foto,0.031
gadis,0.01
gagak,0.01
galeri,0.01
gambar,0.01
game,0.02
ganti,0.01
gara,0.031
garis,0.01
gatal,0.01
gedek,0.01
gemas,0.02
gemez,0.02
geser,0.01
ghibah,0.01
gia,0.01
gin,0.02
gula,0.041
gurih,0.01
habis,0.051
hadiah,0.01
hai,0.071
hamil,0.01
hancur,0.02
harap,0.01
harga,0.01
harus,0.01
hati,0.031
hijau,0.01
hilang,0.01
holywings,0.01
hombreng,0.01
hormat,0.01
horor,0.02
hubungan,0.01
hwakakaka,0.01
ibu,0.031
iku,0.01
iman,0.01
imut,0.01
indihome,0.02
info,0.02
ini,0.142
instan,0.01
isi,0.031
isis,0.01
itu,0.051
iya,0.071
jadi,0.031
jarak,0.01
jauh,0.01
jawa,0.01
jilat,0.01
jo,0.051
jodoh,0.01
juang,0.01
juga,0.01
