term,weight
abadi,0.01
acara,0.04
ada,0.02
adalah,0.01
aduh,0.06
aduk,0.01
agar,0.05
ager,0.01
air,0.05
ajak,0.01
ajar,0.02
akan,0.04
akhir,0.04
akmen,0.01
aktiva,0.01
akuntansi,0.01
alias,0.01
alon,0.02
amburadul,0.01
amin,0.03
ampun,0.03
anak,0.02
anda,0.03
angkring,0.01
antara,0.01
anti,0.01
apa,0.07
aqu,0.01
astaga,0.02
asyik,0.01
awal,0.01
awas,0.01
ayo,0.07
baca,0.04
bagai,0.01
bagaimana,0.06
bagi,0.01
bagibagi,0.01
bagus,0.01
bahagia,0.02
bahas,0.01
bahkan,0.01
baik,0.05
baiqla,0.01
baiqlah,0.01
balik,0.01
ban,0.01
banyak,0.03
bapak,0.03
bareng,0.01
batuk,0.01
baw,0.01
bawa,0.01
bawain,0.01
bayar,0.02
bayarin,0.01
beban,0.01
bedebah,0.01
begitu,0.08
bekel,0.01
beli,0.01
beliau,0.01
belum,0.01
benar,0.05
beningbening,0.01
berani,0.01
berita,0.02
besok,0.02
bicara,0.01
bik,0.01
bisa,0.09
bodoh,0.01
boleh,0.03
bolos,0.01
bom,0.01
bos,0.02
bosan,0.02
buat,0.14
bubar,0.01
buka,0.03
bukber,0.01
buku,0.03
buluk,0.01
bumbu,0.01
butuh,0.01
ca,0.01
cacing,0.01
cahaya,0.02
campur,0.01
cara,0.01
cari,0.02
cemas,0.01
cemil,0.04
cepat,0.02
cerita,0.07
coba,0.03
cocok,0.01
coklat,0.01
contohin,0.01
corona,0.02
daftar,0.01
dalam,0.02
dan,0.01
dandananya,0.01
dapat,0.02
dari,0.04
dasa,0.01
data,0.01
debat,0.02
deh,0.01
deng,0.01
dengar,0.01
desa,0.01
dewasa,0.01
di,0.02
diam,0.02
dibilangin,0.01
diceritain,0.01
dinas,0.01
dingat,0.01
dinget,0.01
dintip,0.01
dipingirin,0.01
diri,0.02
ditanyain,0.02
ditunjukin,0.01
diturutin,0.02
doa,0.02
doang,0.01
dong,0.02
drescode,0.01
duduk,0.01
dulu,0.04
duluan,0.02
dunia,0.01
eh,0.01
eskrim,0.02
everywhere,0.01
facial,0.01
fesyel,0.01
film,0.01
fir,0.09
fira,0.02
gaberani,0.01
gajelas,0.01
galeri,0.01
galon,0.02
ganti,0.02
gapake,0.01
gapengen,0.02
gapercaya,0.01
gaperlu,0.01
gara,0.02
gas,0.01
gaspol,0.01
gebu,0.01
gel,0.01
gih,0.01
gin,0.03
gofut,0.01
gosip,0.01
gratis,0.01
habede,0.02
hadu,0.01
hal,0.01
hamster,0.01
harap,0.04
harga,0.01
hari,0.02
harus,0.05
hati,0.02
hayulah,0.01
heran,0.02
hidup,0.01
hilang,0.02
hindar,0.01
hobi,0.03
horor,0.01
hujan,0.01
humoris,0.01
ibu,0.04
idh,0.01
ih,0.01
ikut,0.03
ilangan,0.01
infus,0.01
ingat,0.02
ingin,0.03
ini,0.04
inimah,0.01
input,0.01
istighfar,0.01
itu,0.08
iya,0.03
jadi,0.06
jalan,0.01
jalur,0.01
jari,0.01
jaring,0.01
jauh,0.01
jdu,0.01
jelas,0.01
jelasin,0.02
jimat,0.01
jiwa,0.01
joni,0.02
juga,0.08
juni,0.01
kabar,0.02
kabarin,0.01
kabur,0.01
kadang,0.01
kalau,0.231
kalem,0.03
kali,0.01
kalimat,0.01
kamar,0.01
karena,0.03
kasi,0.03
kasih,0.01
kawan,0.01
ke,0.01
kebumen,0.01
kecewa,0.02
kecil,0.03
kecuali,0.02
kelakar,0.02
kelompoku,0.01
keluar,0.02
keluarga,0.02
kemarin,0.03
kembali,0.01
ken,0.09
kenapa,0.02
kenya,0.01
kepala,0.01
keras,0.01
keren,0.01
kesal,0.02
ketemu,0.03
kibulin,0.01
kilo,0.01
kira,0.01
kita,0.02
klean,0.01
komentar,0.01
kompaq,0.01
kompor,0.01
konsul,0.01
krik,0.02
kucing,0.02
kulit,0.01
kumpul,0.03
laba,0.01
lafyu,0.01
lagi,0.05
lagune,0.01
lah,0.01
lahir,0.02
lain,0.01
laju,0.01
laki,0.01
lalu,0.01
lama,0.05
lancar,0.01
langsung,0.01
lanjut,0.01
lari,0.01
lawan,0.02
layar,0.01
lebih,0.02
lemah,0.01
lemak,0.01
lengkap,0.02
libur,0.01
lihat,0.08
lirik,0.01
loh,0.02
luap,0.01
lupa,0.04
made,0.01
magang,0.01
maha,0.01
mahal,0.02
mahir,0.02
makin,0.01
malah,0.01
malas,0.02
mamenit,0.01
mamih,0.01
mampir,0.02
mana,0.01
mangats,0.01
mantel,0.01
masak,0.01
masalah,0.03
masmas,0.01
masuk,0.02
mata,0.01
matin,0.01
mau,0.03
mblayang,0.01
meetup,0.02
melow,0.01
memang,0.06
mendarahdaging,0.01
mendengarkan,0.01
mengebu,0.02
menikah,0.01
menu,0.01
mewek,0.01
mimpi,0.01
mineral,0.01
minggu,0.01
misi,0.01
misionku,0.01
monangis,0.01
monas,0.02
monmap,0.02
mudah,0.03
mulai,0.01
mundur,0.02
mungkin,0.01
mupon,0.01
muslimah,0.02
naik,0.01
nama,0.02
nang,0.01
nangung,0.02
negeri,0.01
ngabubureadku,0.01
ngajarin,0.01
ngakaklah,0.01
ngakaknya,0.01
ngalih,0.01
ngaretnya,0.02
ngefilter,0.01
ngobrol,0.02
niat,0.01
nikahanya,0.01
nilai,0.02
nimbrung,0.01
nktchi,0.01
nolak,0.01
nyanyi,0.01
nyata,0.01
nyender,0.01
nyisain,0.01
nyolot,0.01
nyonya,0.01
offline,0.01
oleh,0.01
oleng,0.01
omong,0.02
online,0.02
oprek,0.01
orang,0.03
otak,0.01
pa,0.01
pada,0.04
padahal,0.01
paguyuban,0.01
paham,0.01
pakai,0.07
paling,0.01
panik,0.01
pantas,0.01
pasang,0.01
payah,0.01
pelan,0.03
peluk,0.01
penasaran,0.01
pengirim,0.03
penting,0.02
penuh,0.01
perbarui,0.01
pergi,0.01
perilaku,0.01
pernah,0.01
pertama,0.01
pesan,0.01
peta,0.01
pikir,0.07
pilih,0.04
pindah,0.02
pintar,0.01
pokok,0.02
presentasi,0.01
privat,0.02
proses,0.01
puasa,0.01
pulang,0.01
pusing,0.01
putih,0.04
putus,0.01
ramping,0.01
ran,0.04
rana,0.01
rangin,0.01
rasa,0.02
rawat,0.01
rayu,0.01
rekor,0.01
renti,0.01
retweet,0.01
ribu,0.01
rindu,0.06
ros,0.01
rugi,0.01
rumah,0.02
sabar,0.01
sadar,0.01
sahabat,0.01
saja,0.13
saking,0.01
sakit,0.03
salah,0.03
salur,0.01
sama,0.03
sambat,0.01
sambut,0.01
sampai,0.11
sangat,0.01
satu,0.02
saudara,0.1
saya,0.15
sayang,0.01
sc,0.01
sebentar,0.01
seblak,0.01
sederhana,0.01
sedih,0.01
sehat,0.01
sekali,0.191
sekarang,0.01
sekitar,0.01
selalu,0.02
selamat,0.04
semangat,0.03
sembuh,0.01
seminar,0.01
seminggu,0.02
semoga,0.01
sen,0.04
senang,0.01
sendiri,0.01
seperti,0.1
sepi,0.01
serakah,0.01
sering,0.01
seringkali,0.02
sesuai,0.01
sesuatu,0.01
setia,0.01
si,0.03
simpan,0.01
singkat,0.02
sini,0.03
sinyal,0.04
siomaynya,0.01
sisi,0.02
sita,0.01
suara,0.01
suasana,0.01
sudah,0.181
suhu,0.01
suka,0.03
sumampir,0.01
suply,0.01
survei,0.01
susah,0.01
syok,0.01
syukur,0.04
syuro,0.01
tahu,0.11
tahun,0.01
takut,0.04
tampak,0.01
tanam,0.01
taneman,0.01
tangalnya,0.01
tanggal,0.01
tanggung,0.01
tangis,0.02
tapi,0.04
tara,0.01
tawa,0.381
tekan,0.01
telepon,0.01
telinga,0.02
teman,0.01
temenya,0.01
tenan,0.01
tengah,0.01
ter,0.03
terimakasih,0.02
teringat,0.01
terkadang,0.01
terlalu,0.01
tetangaku,0.01
tetap,0.02
tiada,0.01
tiap,0.01
tiba,0.01
tidak,0.552
tidur,0.02
tiga,0.01
tiktokan,0.01
tinggi,0.01
tipsnya,0.01
tolong,0.04
tombo,0.01
tonton,0.02
tos,0.01
traktir,0.03
tugas,0.01
tuhan,0.03
tular,0.01
tulisan,0.01
tumpeng,0.01
turun,0.01
tutup,0.01
ubah,0.01
udu,0.01
ujanan,0.01
ul,0.05
ulya,0.01
umur,0.01
unduh,0.01
uninstal,0.01
untuk,0.08
urut,0.01
usaha,0.01
utama,0.01
valid,0.01
waktu,0.01
wanita,0.05
wasap,0.01
waternya,0.01
whatsap,0.01
wis,0.01
wkwkwkwkwkwk,0.01
wujud,0.01
ya,0.08
yah,0.03
yang,0.231
yaudalaya,0.01
yeay,0.01
yoi,0.01
zar,0.01
