term,weight
abu,0.007
acak,0.007
acesnya,0.007
acu,0.014
ada,0.05
adalagi,0.007
adalah,0.021
adhitia,0.007
adzab,0.007
agar,0.036
agen,0.007
aidin,0.007
ain,0.007
air,0.007
ajak,0.014
ajar,0.007
akan,0.021
akar,0.007
akronim,0.007
akses,0.007
alat,0.007
alhamdulila,0.007
alquran,0.007
amazon,0.007
amin,0.007
an,0.014
anabulku,0.007
anabulnya,0.007
anak,0.057
anda,0.093
andai,0.007
andang,0.007
aneh,0.007
angan,0.007
angkutan,0.007
anonim,0.007
anonymously,0.007
any,0.007
anya,0.007
anymore,0.007
apa,0.021
apani,0.014
apas,0.007
aplikasi,0.014
apresiasi,0.007
arum,0.007
ashley,0.007
asik,0.007
asiq,0.007
asuransi,0.007
asyiq,0.007
atas,0.021
atau,0.014
atik,0.007
aurel,0.007
awal,0.007
awat,0.007
awet,0.014
ayo,0.072
aza,0.007
babies,0.007
baca,0.014
bada,0.007
bagaimana,0.014
bageur,0.007
bagi,0.014
bagos,0.007
bagus,0.021
bahagia,0.014
bahas,0.029
baik,0.007
bajo,0.007
baju,0.05
banci,0.014
bang,0.014
banganya,0.007
bangun,0.007
bantet,0.007
banyak,0.057
bapake,0.007
barang,0.007
baru,0.007
barutau,0.007
bas,0.007
basa,0.007
basi,0.007
batagor,0.007
bau,0.007
bawah,0.007
bawain,0.007
bawang,0.007
bayar,0.007
bayi,0.014
bcs,0.007
bebek,0.007
beberapa,0.007
beda,0.007
begini,0.007
begitu,0.086
bekas,0.029
bekuin,0.007
belah,0.007
beli,0.064
belio,0.007
belum,0.057
benar,0.043
benarkan,0.007
benda,0.007
benih,0.05
bentuk,0.007
beranda,0.007
berangan,0.014
berapa,0.014
berkata,0.021
besar,0.029
besok,0.007
betina,0.007
between,0.007
beuh,0.007
bgtsi,0.007
biadab,0.007
bic,0.007
bicara,0.007
bidang,0.007
bijak,0.007
biji,0.014
bikinin,0.036
biru,0.007
bisa,0.043
bismillah,0.007
bljr,0.007
bodoh,0.021
boleh,0.007
bolong,0.014
bom,0.014
botak,0.014
bought,0.007
bowlnya,0.007
brand,0.007
bsh,0.007
buah,0.007
buang,0.007
buat,0.122
buaya,0.007
buguru,0.007
buka,0.05
bulan,0.014
bulat,0.007
bumerang,0.007
bumi,0.007
bunga,0.007
buram,0.007
burit,0.007
buruk,0.007
buset,0.007
busway,0.007
butek,0.007
cabai,0.007
called,0.007
cameras,0.007
campur,0.007
cangih,0.007
cangkol,0.007
cantik,0.007
cara,0.014
cari,0.014
catgras,0.007
cemil,0.05
cepat,0.043
cerita,0.007
ceu,0.007
chicago,0.007
chord,0.014
cilik,0.014
cing,0.007
cinta,0.014
ciptain,0.007
cirebon,0.007
coba,0.043
comist,0.007
condenser,0.007
congkel,0.007
contoh,0.007
cookies,0.007
corona,0.014
cpunya,0.007
cried,0.007
cuci,0.007
cucu,0.007
cuil,0.007
cuma,0.014
curi,0.007
customernya,0.007
dalam,0.014
damping,0.007
dan,0.057
danau,0.007
dapat,0.014
dapetnya,0.007
dar,0.014
dari,0.072
daridulu,0.007
daripada,0.014
dat,0.007
daun,0.007
dayat,0.007
days,0.014
deep,0.007
dengan,0.029
dengar,0.007
depan,0.007
desain,0.014
detail,0.007
dgr,0.007
di,0.036
dia,0.014
diam,0.007
dibandingin,0.007
dibekuin,0.007
dibolehin,0.007
did,0.007
didnt,0.007
digadoin,0.007
digger,0.007
dijait,0.007
dikirimin,0.036
dikit,0.014
dilustrasikan,0.007
dimana,0.007
dingin,0.007
dinyanyin,0.007
dir,0.007
diri,0.021
disaranin,0.007
disini,0.007
diskusi,0.007
disuruh,0.007
ditanem,0.007
ditanyain,0.007
ditaro,0.007
ditunguin,0.007
doang,0.021
dokumentasi,0.014
domisili,0.007
dong,0.007
doyan,0.014
drdulu,0.007
drh,0.007
drkmrn,0.007
dsn,0.007
dulu,0.036
duta,0.007
easier,0.007
efek,0.007
ehiyak,0.007
eid,0.007
ekpektasi,0.007
eksekusi,0.014
ekspresi,0.007
ekwkwk,0.007
emas,0.029
emot,0.007
emotions,0.007
enak,0.007
es,0.007
estetik,0.007
eug,0.007
every,0.007
everytime,0.007
exclude,0.007
favebok,0.007
feeds,0.007
fel,0.007
flipaclip,0.007
footage,0.007
freport,0.007
fris,0.007
furylitlepeach,0.007
gadibolehin,0.007
gagal,0.007
gais,0.007
galiat,0.007
gambar,0.021
game,0.007
gandum,0.014
ganti,0.007
gapake,0.007
garis,0.014
gas,0.007
gataunya,0.014
gaun,0.007
gbar,0.007
gemas,0.021
gen,0.007
getin,0.007
gin,0.043
gituan,0.007
giveaway,0.007
goa,0.007
google,0.007
gorilapod,0.007
gr,0.007
gratis,0.007
grup,0.014
habis,0.036
had,0.007
hadap,0.007
haduh,0.007
haha,0.007
hai,0.029
hak,0.014
hambar,0.007
hamil,0.007
hancur,0.007
hanya,0.021
harap,0.014
harga,0.014
hargan,0.007
hari,0.05
harus,0.007
hasil,0.021
helps,0.007
hening,0.007
heung,0.007
hewan,0.014
hidup,0.036
hilang,0.007
himalaya,0.007
hits,0.014
ho,0.007
hujan,0.007
humoris,0.007
ibu,0.122
ide,0.021
igs,0.007
ikan,0.021
ikut,0.007
ilustrasi,0.029
impor,0.014
in,0.036
indah,0.007
indonesia,0.036
info,0.007
informal,0.007
ingat,0.029
ini,0.072
inspirasi,0.007
instagram,0.043
investasi,0.014
irma,0.007
isonya,0.007
istilah,0.007
istirahat,0.007
isyarat,0.007
itu,0.136
itutu,0.007
ive,0.007
iya,0.036
iyasi,0.007
izin,0.007
jadi,0.1
jagrig,0.007
jagrignya,0.007
jaja,0.007
jajah,0.007
jajan,0.007
jakarta,0.007
jalan,0.014
jalur,0.007
jam,0.007
jambu,0.007
jamur,0.007
jantan,0.007
jarang,0.007
jari,0.014
jas,0.007
