term,weight
ada,0.132
adha,0.009
agak,0.009
agar,0.026
ajak,0.009
ajar,0.009
ajasi,0.009
akan,0.009
akhir,0.018
akses,0.009
akun,0.018
alas,0.009
alih,0.009
alir,0.009
aman,0.009
ambil,0.026
amin,0.053
an,0.018
anak,0.079
anda,0.018
andai,0.009
anggur,0.009
apa,0.062
astaga,0.009
atas,0.009
atau,0.009
awat,0.009
ayo,0.062
baca,0.088
bagaimana,0.044
bagus,0.009
bahagia,0.009
baik,0.035
baju,0.044
bakar,0.018
balas,0.026
balesinya,0.009
balik,0.009
bangun,0.026
banyak,0.026
bar,0.009
barang,0.009
baru,0.009
batas,0.009
batin,0.009
bawa,0.018
bayangin,0.026
beda,0.035
begitu,0.159
belah,0.009
belanja,0.009
beli,0.071
belum,0.018
benang,0.009
benar,0.035
benci,0.035
benda,0.009
bengok,0.009
berani,0.009
bermanfat,0.009
bersih,0.009
besar,0.018
besok,0.009
betul,0.009
biasa,0.009
bicara,0.009
bijine,0.009
bilang,0.018
bingung,0.035
bioskop,0.009
bisa,0.088
blok,0.009
blokir,0.009
bodoh,0.035
bojomu,0.009
bosan,0.009
bringsik,0.009
buaik,0.009
buang,0.018
buat,0.044
budhe,0.009
buka,0.009
bukan,0.009
buku,0.018
buodo,0.009
burger,0.009
butuh,0.026
cantik,0.018
cari,0.009
cekit,0.018
celana,0.009
cemil,0.044
cenayang,0.009
cerita,0.026
cheese,0.009
cicik,0.009
cilok,0.009
confidentiality,0.018
corona,0.018
cowoku,0.009
cringa,0.009
culek,0.009
cuma,0.009
cumi,0.009
cuy,0.009
dadi,0.009
dan,0.009
dapat,0.018
dapetin,0.009
dari,0.018
daripada,0.009
days,0.009
deh,0.009
dekat,0.009
del,0.044
deng,0.009
dengan,0.009
dengar,0.009
depa,0.018
depan,0.009
dewe,0.009
di,0.053
dia,0.009
diam,0.018
dias,0.009
diceritain,0.009
didik,0.018
digawe,0.009
dikit,0.018
dikon,0.009
dilema,0.009
diliatin,0.018
dipisoh,0.009
diri,0.018
disalahke,0.009
doang,0.026
dokter,0.035
dosen,0.071
dramaqu,0.009
duduk,0.009
dulu,0.009
duluan,0.018
efek,0.026
efektif,0.009
eh,0.035
elek,0.009
els,0.009
elsa,0.009
embuh,0.026
emoh,0.009
emosi,0.009
enak,0.018
engap,0.009
ewoh,0.009
faedah,0.009
far,0.026
fokus,0.009
foto,0.026
fungsi,0.009
gabul,0.009
gadis,0.009
gaenak,0.009
gandeng,0.009
ganguanya,0.009
ganti,0.044
gara,0.009
gas,0.009
gaya,0.009
geli,0.009
gemas,0.018
gendut,0.018
gera,0.009
gigi,0.018
gin,0.097
gobal,0.009
grapyak,0.009
gur,0.009
habis,0.018
haduh,0.018
hai,0.044
halaman,0.009
handscon,0.035
hanya,0.018
harga,0.009
hari,0.035
harus,0.026
hasil,0.009
healah,0.009
heran,0.018
hewan,0.009
hidup,0.009
hih,0.009
hijau,0.009
hikmah,0.009
hilang,0.009
hingga,0.009
hormat,0.009
hujat,0.009
hypermart,0.009
ibu,0.026
idul,0.009
