term,weight
ada,0.1
adah,0.01
adalah,0.01
afa,0.02
agar,0.01
air,0.01
ajak,0.01
ajar,0.01
akan,0.01
akte,0.01
alahu,0.02
alumni,0.01
amad,0.01
aman,0.01
ambil,0.01
an,0.01
anak,0.04
anda,0.07
aneh,0.01
angi,0.01
angin,0.01
angkat,0.01
angkring,0.01
angkutan,0.01
apa,0.07
asik,0.01
asw,0.01
atas,0.02
atau,0.01
atiolo,0.01
atur,0.02
aurel,0.01
ayah,0.01
ayam,0.03
ayo,0.05
ayudia,0.01
ba,0.02
babgke,0.01
baca,0.01
bagaimana,0.02
bagi,0.01
bagini,0.01
bagus,0.03
bahasa,0.01
baku,0.02
balada,0.01
balik,0.01
bandung,0.01
bang,0.01
bangke,0.01
bangun,0.04
banke,0.01
banyak,0.01
bar,0.02
barang,0.01
bareng,0.02
baru,0.01
batal,0.01
batang,0.01
bawa,0.04
bawang,0.01
bcs,0.01
beda,0.01
begitu,0.08
bel,0.02
beli,0.06
belum,0.01
ben,0.01
benar,0.08
benci,0.01
berak,0.02
berapa,0.01
bhaha,0.01
biadab,0.01
biarpun,0.01
biji,0.01
bingung,0.01
biru,0.01
bisa,0.02
blok,0.01
bmi,0.01
bodoh,0.01
boleh,0.01
bom,0.04
boong,0.02
bosan,0.04
botuna,0.01
buah,0.01
buat,0.03
bude,0.01
buka,0.01
bukber,0.01
bulanya,0.01
bulu,0.02
bunga,0.02
buruk,0.01
butuh,0.01
butul,0.02
bwangke,0.01
cabai,0.01
cakwep,0.01
cal,0.01
cari,0.01
catur,0.01
cava,0.01
cekale,0.01
celana,0.01
cemil,0.159
cepat,0.02
ceped,0.01
cerita,0.01
cinta,0.01
co,0.02
coba,0.02
cocotmu,0.01
congratulation,0.01
corona,0.01
crot,0.01
cuk,0.01
cukup,0.01
dabu,0.02
dalam,0.01
dan,0.01
dapat,0.02
dari,0.03
deh,0.01
dekat,0.01
deng,0.01
dengan,0.03
dengar,0.02
depan,0.02
derita,0.01
dermawan,0.01
desta,0.01
deuh,0.01
di,0.04
diangkot,0.01
dibalikin,0.01
dibisikin,0.01
dikosan,0.02
dipaksain,0.01
disakitin,0.01
ditemenin,0.01
doa,0.01
doang,0.09
dokter,0.01
dorang,0.03
dp,0.01
drama,0.01
dugem,0.01
dukung,0.01
dulu,0.02
ehe,0.01
ehehe,0.01
elizabeth,0.01
empati,0.01
enak,0.01
english,0.01
enji,0.01
episode,0.01
esma,0.01
fikiran,0.01
fitur,0.01
fizi,0.01
folowersnya,0.01
foto,0.02
gabots,0.01
gaco,0.01
gaga,0.01
ganti,0.02
gara,0.02
gelas,0.01
geprek,0.01
giat,0.01
gigi,0.01
gila,0.01
gin,0.04
goblo,0.02
gonta,0.01
goreng,0.01
gratis,0.01
guna,0.01
gurhi,0.01
guru,0.01
habis,0.05
hadiah,0.01
haduh,0.01
haha,0.02
hahahahahahahahaha,0.01
hai,0.02
halusinasi,0.01
hampa,0.01
han,0.01
hapal,0.01
hati,0.02
helow,0.01
hembus,0.01
heran,0.01
herman,0.01
heu,0.02
hidup,0.04
hilang,0.02
hubung,0.01
humoris,0.02
ibadah,0.02
ibu,0.05
ika,0.01
ikan,0.01
in,0.01
indah,0.01
indomaret,0.01
indwah,0.01
info,0.01
ingat,0.01
ingin,0.04
ingus,0.01
ini,0.14
instagram,0.01
isya,0.01
itu,0.01
iya,0.03
iyah,0.01
iyain,0.01
jabat,0.01
jadi,0.07
jajan,0.01
jak,0.01
jalan,0.02
jam,0.05
jaman,0.02
jamur,0.01
jarang,0.02
jari,0.01
jatuh,0.01
jauh,0.01
jek,0.01
jelas,0.01
jijik,0.02
jin,0.01
jio,0.01
jo,0.02
jrx,0.01
jual,0.02
juara,0.01
juga,0.01
jumawak,0.01
kabar,0.02
kadang,0.01
kakek,0.01
kalau,0.12
kali,0.02
kalimat,0.01
kalipancur,0.01
kaliw,0.01
kamar,0.02
kampus,0.01
kan,0.02
kantong,0.01
kapala,0.01
kapten,0.01
karaoke,0.01
karena,0.01
karlota,0.01
karuan,0.01
kasana,0.01
kase,0.01
kasi,0.03
kasih,0.01
kata,0.01
kayah,0.01
kayak,0.03
kebab,0.01
kebord,0.01
kedip,0.01
kemarin,0.02
kembang,0.01
ken,0.05
kena,0.01
kenapa,0.01
kenyang,0.01
kenyat,0.01
kepala,0.01
keren,0.01
kerja,0.01
kesal,0.02
ketawa,0.02
ketek,0.01
ketemu,0.02
kiapa,0.01
kipas,0.01
kirim,0.01
koperatif,0.01
kopi,0.03
kordinasu,0.01
korek,0.02
kos,0.01
koyanya,0.01
krisdayanti,0.01
krispi,0.01
krona,0.01
kt,0.01
kue,0.02
kuliah,0.02
kurang,0.01
lagi,0.02
lagu,0.02
lahan,0.01
laki,0.08
lala,0.01
lalo,0.01
lalu,0.01
lama,0.01
lambene,0.01
lambung,0.01
langsing,0.01
lapang,0.01
laporaknya,0.01
lari,0.01
lebaran,0.01
lebih,0.01
lelah,0.01
lemas,0.01
libur,0.01
lidah,0.01
lihat,0.02
listrik,0.01
loh,0.01
lokal,0.01
loteng,0.01
luar,0.02
maaf,0.02
mahasiswa,0.01
maju,0.01
makin,0.03
malah,0.02
malam,0.05
malas,0.02
maleman,0.01
malemnya,0.01
malu,0.01
mampu,0.01
mana,0.02
mandi,0.02
mangan,0.02
mangat,0.01
manis,0.01
mantap,0.01
mapronya,0.01
masak,0.01
masker,0.01
maso,0.01
matematika,0.02
mati,0.01
mau,0.08
memang,0.08
memberi,0.02
mendengarkan,0.01
mendung,0.01
menikah,0.02
mera,0.01
mesti,0.01
mhuahahaha,0.02
mhuehehehehe,0.01
mhuhahaha,0.01
mhuhehehehe,0.01
mie,0.01
minggu,0.02
minguan,0.03
minjem,0.02
minum,0.02
mudah,0.01
mudik,0.02
muhasabah,0.01
mui,0.01
muka,0.01
mul,0.01
mulai,0.02
muntah,0.01
myself,0.01
nae,0.01
naek,0.01
nama,0.01
nan,0.01
napas,0.01
nasi,0.01
nasib,0.01
ndeng,0.01
ndi,0.02
