term,weight
acak,0.009
ada,0.043
adalah,0.009
adan,0.009
aduh,0.017
agar,0.026
ai,0.052
aidzin,0.017
air,0.06
ajaib,0.009
ajak,0.009
ajar,0.009
akan,0.009
akhir,0.009
aktivitas,0.009
aku,0.009
akuarium,0.017
akun,0.017
alam,0.009
alarm,0.009
alasan,0.009
anak,0.043
anda,0.121
aneh,0.009
angka,0.009
angkat,0.009
aniversity,0.009
apa,0.009
arique,0.009
asi,0.009
asik,0.026
asin,0.017
asli,0.017
awan,0.009
awaynya,0.009
ayam,0.009
ayo,0.026
bablas,0.009
baca,0.009
bagaimana,0.009
bagus,0.009
bahas,0.017
bahu,0.009
bain,0.009
baju,0.017
balon,0.009
bangun,0.017
banjir,0.009
bantu,0.017
banyak,0.017
bapak,0.017
barang,0.026
bareng,0.017
baru,0.009
batas,0.009
bau,0.017
bawa,0.035
bayang,0.017
beda,0.017
begitu,0.043
bekas,0.026
bela,0.009
belah,0.009
belanja,0.009
beli,0.06
belum,0.026
benang,0.009
benar,0.129
benci,0.017
benerkan,0.009
bentar,0.017
bentuk,0.009
berani,0.009
beras,0.009
berat,0.017
berhasil,0.009
beri,0.009
berita,0.009
bersihin,0.009
besar,0.035
biasa,0.017
bilang,0.052
bingung,0.035
bisa,0.147
bolak,0.009
bolong,0.009
bom,0.026
bonus,0.017
buat,0.086
bubur,0.009
budaya,0.009
buibu,0.009
buka,0.017
bunda,0.017
buru,0.009
buyernya,0.017
cakung,0.009
canda,0.009
candil,0.009
candrabaga,0.009
cangkir,0.009
cantik,0.017
cari,0.017
cashback,0.009
cecer,0.009
cemil,0.095
cenayang,0.009
cepu,0.009
chen,0.009
chocolatos,0.009
cicak,0.009
cicit,0.009
cina,0.009
cinta,0.017
cita,0.017
cium,0.009
coba,0.009
corneto,0.017
corona,0.017
cs,0.009
cuci,0.009
cucu,0.009
cukup,0.009
cuma,0.035
cupang,0.017
curhat,0.009
dalam,0.017
dam,0.009
dan,0.009
dana,0.009
danus,0.009
dapat,0.043
dari,0.017
data,0.009
datang,0.009
deact,0.017
deadline,0.009
debitia,0.009
dekat,0.009
dengan,0.009
dengar,0.009
desa,0.009
desek,0.009
desekan,0.009
di,0.043
dia,0.009
dibolehin,0.009
dichat,0.009
didapet,0.017
dieng,0.009
dih,0.009
dihadapin,0.017
dihadepin,0.009
dikit,0.017
dimusuhin,0.009
dinding,0.009
dinyanyin,0.009
disambungin,0.009
diskusi,0.009
ditaro,0.009
doang,0.043
dokter,0.009
dokteranya,0.009
donasi,0.009
donee,0.009
dong,0.009
dosen,0.009
doyan,0.009
drama,0.009
dua,0.009
dugan,0.009
duka,0.009
dulu,0.035
eh,0.009
ehiya,0.009
emas,0.009
emosional,0.009
emot,0.009
enak,0.017
endorse,0.009
engap,0.009
erni,0.009
esgrim,0.009
esgul,0.009
eyi,0.009
fadhila,0.009
faedah,0.009
