term,weight
ada,0.036
adalah,0.018
adan,0.009
admin,0.009
adoh,0.009
adol,0.009
agar,0.036
aigo,0.009
air,0.009
ajak,0.009
ajar,0.018
akal,0.018
akhir,0.027
akhlak,0.027
akun,0.009
alam,0.009
alat,0.009
amajing,0.009
aman,0.018
amat,0.009
ambil,0.009
ambu,0.009
ambyar,0.009
ampuh,0.009
anak,0.054
anda,0.018
andai,0.009
anzae,0.018
apa,0.036
apik,0.009
apoteker,0.027
appreciate,0.009
artis,0.009
asin,0.009
asli,0.045
atm,0.009
awas,0.009
awkwk,0.009
ayam,0.009
ayo,0.018
azab,0.009
baca,0.009
badan,0.009
bagaimana,0.054
bagi,0.009
bahane,0.009
bahas,0.027
baik,0.027
bajing,0.009
baju,0.018
bakat,0.009
bakteri,0.009
ban,0.009
bangga,0.009
bangun,0.018
bansos,0.009
bantu,0.018
banyak,0.045
banyu,0.009
bapak,0.018
bar,0.009
barang,0.009
baru,0.009
bau,0.009
bayang,0.009
bayangin,0.009
beberapa,0.009
beda,0.054
bedain,0.009
begitu,0.073
belum,0.009
benang,0.009
benar,0.027
bentar,0.009
berapa,0.009
beras,0.009
berat,0.018
beri,0.009
berita,0.009
bersih,0.009
besar,0.027
besok,0.009
bewok,0.018
biasa,0.009
biasane,0.009
bidang,0.009
bilang,0.018
binatang,0.009
bintang,0.009
bisa,0.018
bisnis,0.018
blacklist,0.009
bledus,0.009
bobok,0.009
bodoh,0.018
boleh,0.009
boong,0.009
bosan,0.027
boxnya,0.009
buat,0.082
buka,0.063
bukan,0.009
bule,0.009
bumi,0.009
bung,0.009
bungkam,0.009
butuh,0.009
cabut,0.009
cakep,0.018
camping,0.009
cantik,0.018
capai,0.009
carane,0.018
cari,0.009
ceklek,0.009
cemil,0.036
cepat,0.009
choi,0.009
cing,0.009
cinta,0.009
cintan,0.009
cipta,0.009
coba,0.063
colab,0.009
corona,0.027
crepe,0.018
crispy,0.009
cuci,0.009
dadi,0.009
dagang,0.018
dan,0.009
dana,0.009
dapat,0.027
dapur,0.018
darah,0.009
dari,0.036
daripada,0.009
datang,0.009
deep,0.009
del,0.027
deng,0.009
dengan,0.018
dengar,0.027
derita,0.009
dewe,0.009
dexametason,0.009
di,0.009
dia,0.018
dicarin,0.018
diclaimkan,0.009
dihargain,0.009
dijembreng,0.009
dikit,0.018
dikos,0.009
dinaikin,0.009
dipelajarin,0.009
dipromosoin,0.009
diri,0.009
doang,0.027
dodol,0.009
dokter,0.063
dong,0.009
doraemon,0.009
dosen,0.018
drama,0.009
drastis,0.009
duduk,0.009
duka,0.009
dulu,0.009
dunia,0.009
edar,0.018
efek,0.018
ego,0.009
eh,0.009
ekspresi,0.009
eman,0.009
enak,0.018
episode,0.009
es,0.009
esencenya,0.018
esensi,0.009
etdah,0.009
etika,0.009
everytime,0.018
fakta,0.009
fakultas,0.009
farmasi,0.018
fatalitas,0.009
favorit,0.009
ff,0.009
film,0.009
fine,0.009
fokus,0.009
formulasi,0.018
gabus,0.009
gadis,0.009
gadoyan,0.009
gagal,0.018
gakuat,0.009
ganjal,0.009
ganjar,0.009
ganti,0.009
gara,0.027
gas,0.009
gasik,0.018
gatal,0.009
gawe,0.009
geli,0.009
gembira,0.027
gempa,0.018
gigi,0.009
gin,0.054
godog,0.009
gratis,0.009
gula,0.018
guyu,0.009
habis,0.018
hadir,0.009
hafal,0.009
hahahahahahaha,0.009
haid,0.009
hal,0.009
hambar,0.009
hanya,0.036
harap,0.027
harga,0.018
hari,0.036
hasil,0.009
hati,0.018
henti,0.009
heran,0.018
hewan,0.009
hidup,0.018
hilang,0.036
hormat,0.009
host,0.018
hubung,0.009
huehue,0.009
humor,0.009
iam,0.009
ibu,0.063
ikan,0.018
ilmiah,0.009
imajinasi,0.009
impor,0.009
imunologi,0.018
inang,0.009
indonesia,0.009
indosat,0.009
influencer,0.009
info,0.018
ingat,0.009
ini,0.154
instagram,0.018
insya,0.009
isi,0.018
iso,0.027
itu,0.109
iwak,0.009
iya,0.036
iyak,0.009
jadi,0.082
jadwal,0.018
jalan,0.027
jam,0.036
jaman,0.009
jambu,0.027
jamur,0.009
jarum,0.009
jasa,0.009
jawab,0.009
jeda,0.009
jegrekan,0.009
jelang,0.009
jenis,0.009
jerome,0.009
jin,0.009
jual,0.018
juang,0.009
juga,0.082
jumpa,0.009
jungpal,0.009
jurnal,0.009
jurus,0.018
juta,0.009
kabar,0.018
kacang,0.009
kalah,0.009
kalau,0.154
kali,0.018
kamar,0.027
kantin,0.009
karena,0.036
karokean,0.009
kasat,0.009
