term,weight
abah,0.009
ac,0.009
acak,0.009
ada,0.053
adalah,0.079
adam,0.009
adi,0.009
admin,0.009
agar,0.026
agung,0.018
ajar,0.009
akan,0.026
akehe,0.009
akhir,0.079
akhire,0.009
akhlaqnya,0.009
alam,0.018
alarm,0.018
alas,0.009
alasan,0.009
alright,0.009
aman,0.009
ambil,0.062
ambulans,0.009
amburadul,0.009
ambyar,0.009
amin,0.018
an,0.009
anda,0.115
andai,0.018
aneka,0.009
anime,0.018
anti,0.018
apa,0.07
apalagi,0.018
aplikasi,0.009
ar,0.009
arek,0.009
arep,0.009
arti,0.026
atas,0.009
atid,0.009
ayah,0.009
ayam,0.009
ayo,0.097
baca,0.026
badas,0.009
bagaimana,0.088
bagi,0.044
bagus,0.035
bahagia,0.009
bahasa,0.07
bahkan,0.009
baik,0.062
baim,0.009
balas,0.018
balesnya,0.009
bambank,0.009
bana,0.009
bangkit,0.009
bangun,0.009
bantu,0.018
banyak,0.053
bapak,0.009
baru,0.026
bawa,0.018
bayar,0.009
beberapa,0.018
begitu,0.106
behind,0.009
bek,0.009
belah,0.009
beli,0.018
belok,0.009
belum,0.009
ben,0.009
benar,0.018
bengi,0.009
beranda,0.009
berapa,0.018
berat,0.018
beri,0.009
berita,0.009
bermanfat,0.009
bersih,0.009
besar,0.009
betapa,0.009
biasa,0.018
biasane,0.009
bicara,0.009
bilang,0.009
binar,0.009
bisa,0.053
blooming,0.018
boba,0.018
bosan,0.035
boyz,0.009
brgkat,0.009
buah,0.009
buat,0.026
budal,0.026
budhal,0.009
bukane,0.009
buku,0.018
bunga,0.009
butuh,0.07
cabai,0.009
cahaya,0.009
capai,0.009
captione,0.009
cara,0.026
carane,0.009
cari,0.009
cekel,0.009
celaka,0.009
cemil,0.009
cerita,0.035
cim,0.009
cinta,0.044
coba,0.018
cobaen,0.009
contoh,0.009
corel,0.009
corona,0.053
cr,0.018
cua,0.009
cuma,0.018
daerah,0.009
daftar,0.009
dalam,0.009
damai,0.009
dan,0.026
dapat,0.026
dari,0.07
daripada,0.018
datang,0.009
deloke,0.009
dengan,0.026
dengar,0.026
depan,0.018
dept,0.009
desain,0.088
developer,0.009
dewa,0.009
di,0.044
dia,0.035
diam,0.009
dibawain,0.009
digowo,0.009
dikit,0.018
dikomeni,0.009
dipangil,0.009
diri,0.009
diskusi,0.009
doank,0.009
dolar,0.009
dong,0.044
dorawajwo,0.009
dosa,0.009
drama,0.018
dramane,0.009
ds,0.009
dsb,0.009
duduk,0.018
dukgu,0.009
dulu,0.035
dunia,0.009
durung,0.018
dusta,0.009
efek,0.026
ekor,0.009
elite,0.009
enak,0.009
endi,0.009
enek,0.018
engko,0.009
episode,0.009
eruh,0.009
facebook,0.009
fast,0.009
fisik,0.009
fokus,0.009
forum,0.009
foto,0.035
friends,0.009
gadget,0.009
gakpapa,0.009
galeri,0.009
gambar,0.009
ganti,0.026
gara,0.044
gas,0.035
gegas,0.009
gejolak,0.009
gelap,0.018
geleng,0.009
gelut,0.009
gercep,0.009
ghibahan,0.009
gila,0.009
gin,0.009
gizi,0.009
goals,0.009
golekno,0.009
gombal,0.018
google,0.009
gosip,0.009
gov,0.009
gratis,0.009
grup,0.009
gulmi,0.009
guru,0.009
guyon,0.009
habis,0.044
hai,0.009
hal,0.009
hanya,0.026
hardest,0.009
hardwork,0.009
hari,0.026
harta,0.026
haru,0.009
harus,0.018
hati,0.009
hebat,0.009
heboh,0.009
hed,0.009
heidy,0.009
heran,0.018
hidup,0.018
hilang,0.018
hingga,0.009
hitam,0.009
hits,0.009
hitung,0.009
hiya,0.009
homescren,0.009
hormat,0.009
hubung,0.009
hujan,0.009
hyun,0.009
ibu,0.044
ibukota,0.009
ijinkan,0.009
ikhlas,0.009
iku,0.018
ikut,0.044
ileng,0.009
ilengku,0.009
ilmu,0.018
in,0.035
indomaret,0.009
indonesia,0.018
info,0.018
ingin,0.009
ingris,0.018
ini,0.159
instagram,0.018
integritas,0.009
iseltwald,0.009
isi,0.009
isine,0.009
iso,0.026
isolah,0.009
istirahat,0.009
itaewon,0.026
itu,0.167
iya,0.079
iyes,0.018
jabat,0.009
jadi,0.062
jaga,0.009
jah,0.009
jail,0.009
jakarta,0.009
jalan,0.044
jalar,0.009
jam,0.035
jaman,0.009
janji,0.009
jantung,0.009
jarak,0.009
jatim,0.009
jatuh,0.009
jauh,0.009
jelas,0.009
jenenge,0.009
jepang,0.044
jerman,0.026
ji,0.009
jika,0.018
jiwa,0.009
jo,0.009
jojo,0.009
juelas,0.009
juga,0.018
jujur,0.009
julid,0.009
jumat,0.009
jungkir,0.009
juni,0.009
jurus,0.009
kabar,0.009
kabeh,0.018
kacamata,0.009
kadang,0.026
kah,0.009
kait,0.009
kalau,0.026
kalender,0.009
kali,0.009
kalimat,0.009
kamis,0.009
kan,0.009
kanan,0.009
kapten,0.018
karakter,0.009
karya,0.018
kasih,0.053
kaum,0.009
kayak,0.018
ke,0.018
kejut,0.009
kelakuanya,0.009
kelas,0.079
kelebihane,0.009
kemarin,0.009
kembali,0.053
ken,0.044
kenal,0.009
kenapa,0.009
kene,0.009
kepala,0.009
kepincut,0.009
kerja,0.026
kerjo,0.035
kerjoan,0.009
kertas,0.009
kesini,0.009
ketawa,0.018
