term,weight
aa,0.014
aci,0.014
ada,0.056
adalah,0.042
adsense,0.014
aduh,0.014
aeh,0.014
agar,0.042
ahmad,0.014
ajak,0.014
akal,0.014
akhir,0.014
akun,0.014
alas,0.014
alexandria,0.014
almut,0.014
aman,0.014
amin,0.014
ampun,0.042
anak,0.042
anda,0.056
angels,0.014
anisa,0.042
apa,0.07
apaleun,0.014
aplikasi,0.014
ari,0.014
asa,0.014
asik,0.014
asimilasi,0.014
asmara,0.014
atas,0.014
ateu,0.014
awkowkwowkowkwokwkwk,0.056
ayah,0.028
ayam,0.014
ayeuna,0.014
ayo,0.084
bagaimana,0.042
bagi,0.014
bagus,0.014
baik,0.042
bakso,0.028
balas,0.028
balasan,0.014
bandung,0.014
banyak,0.014
bara,0.014
barang,0.014
baru,0.042
baso,0.014
batuk,0.014
bawa,0.014
bawah,0.014
bayar,0.028
bc,0.014
beda,0.014
begitu,0.056
bel,0.014
beli,0.028
benar,0.112
benci,0.014
benjol,0.014
berita,0.014
beronga,0.014
bersih,0.014
besok,0.014
betapa,0.014
beybey,0.014
bgtsi,0.014
biasa,0.028
bibir,0.014
bieu,0.014
bil,0.014
bingung,0.042
biola,0.014
bisa,0.084
bokek,0.014
bom,0.014
bonceng,0.014
br,0.042
buat,0.056
buka,0.028
buket,0.028
buru,0.014
burung,0.014
ca,0.028
cantik,0.014
cegah,0.028
celaka,0.014
cemil,0.028
cerah,0.014
cermin,0.014
ceroboh,0.014
ceuk,0.014
chang,0.014
checkout,0.014
cheese,0.014
cicim,0.014
cik,0.014
cinta,0.014
cireng,0.014
cisitu,0.014
ciskek,0.014
ciut,0.014
clogged,0.014
coba,0.014
coco,0.014
cocok,0.014
corona,0.028
counting,0.014
crowds,0.014
cuma,0.028
curhatan,0.014
curi,0.014
da,0.028
dada,0.014
dadak,0.014
dalam,0.014
dan,0.014
dana,0.014
dapat,0.056
dapur,0.014
dari,0.084
datang,0.014
debar,0.014
definisi,0.014
definitely,0.014
dek,0.014
dekat,0.014
demons,0.014
dengan,0.014
deret,0.028
deru,0.014
det,0.028
deui,0.014
deuih,0.014
dewasa,0.014
di,0.042
dia,0.042
diam,0.014
dilema,0.014
diliburin,0.014
dinding,0.028
diri,0.014
ditayangin,0.014
doang,0.014
dompet,0.014
donasi,0.014
dong,0.014
doors,0.014
doyan,0.014
drama,0.014
drive,0.014
du,0.028
duduk,0.014
dunia,0.028
eci,0.028
eh,0.07
emosi,0.056
eni,0.014
enya,0.014
episode,0.056
eskrimnya,0.014
esteh,0.014
euleuyeur,0.014
favorit,0.014
film,0.014
fir,0.014
firman,0.014
foto,0.014
fw,0.014
gagal,0.014
galak,0.014
ganti,0.014
gara,0.014
garis,0.014
ge,0.042
gemas,0.014
gembul,0.014
gera,0.014
gila,0.014
gin,0.042
goceng,0.028
goda,0.014
gosong,0.014
gratis,0.014
grup,0.014
gumush,0.014
guncang,0.014
habis,0.028
hadiah,0.014
hai,0.014
hakim,0.014
hal,0.014
hambar,0.014
hamil,0.014
hanasui,0.014
hancur,0.014
harap,0.014
hardest,0.014
hari,0.014
harus,0.014
has,0.014
hashtag,0.014
haus,0.014
hehehehe,0.014
helm,0.028
hemat,0.014
hengkang,0.014
henteu,0.028
heula,0.014
hidup,0.028
hitam,0.014
hmns,0.07
hore,0.014
hubung,0.014
hugs,0.014
humoris,0.028
hype,0.014
ibu,0.112
ih,0.014
