term,weight
aciel,0.015
ada,0.015
adalah,0.059
adegan,0.015
admin,0.029
aduh,0.029
agar,0.044
aigo,0.015
air,0.015
akal,0.015
akh,0.015
akhir,0.088
alat,0.015
almamater,0.015
amal,0.015
aman,0.103
ambal,0.015
ambyar,0.029
amin,0.029
ampun,0.015
anak,0.074
anda,0.221
aneh,0.015
anyeong,0.015
apa,0.118
arek,0.015
arinda,0.029
arus,0.029
asa,0.015
astaga,0.015
asuransi,0.015
atek,0.015
atom,0.015
awak,0.015
ayam,0.029
ayo,0.133
baca,0.029
bacae,0.015
bagaimana,0.059
bagi,0.044
bahagia,0.074
bahan,0.015
baik,0.015
bakpia,0.015
bangga,0.029
bantu,0.015
banyak,0.015
bareng,0.015
baru,0.044
basa,0.015
basi,0.015
batuk,0.015
bawa,0.029
bayangin,0.015
bayi,0.015
beda,0.015
begitu,0.044
beli,0.015
beliau,0.044
belum,0.015
ben,0.029
benar,0.029
bengok,0.015
beri,0.015
berita,0.015
berkat,0.015
besar,0.044
besok,0.015
betapa,0.015
biadab,0.088
bisa,0.074
bosan,0.015
both,0.015
buat,0.029
bulan,0.029
bunda,0.029
burger,0.015
butuh,0.015
cahaya,0.015
capcipcup,0.015
cara,0.015
carane,0.015
cari,0.029
cc,0.015
cekidot,0.015
cemil,0.044
cepat,0.044
chingu,0.015
cici,0.029
cinta,0.015
coaster,0.015
combo,0.015
coment,0.029
complaining,0.015
corona,0.029
counting,0.015
dadi,0.029
dan,0.029
dapat,0.029
dari,0.074
daripada,0.015
datang,0.015
dedeq,0.015
dek,0.029
dermaga,0.015
di,0.088
dia,0.044
diapers,0.015
did,0.015
didik,0.015
dik,0.015
dingin,0.015
diri,0.015
divc,0.015
doa,0.015
dolan,0.015
dong,0.029
donlod,0.015
dua,0.015
dulur,0.015
egois,0.015
eh,0.044
ehem,0.015
empi,0.029
enggan,0.029
entah,0.029
enzy,0.015
erti,0.015
es,0.015
evaluasi,0.015
fansnya,0.015
favorit,0.015
fd,0.015
fokus,0.015
friends,0.015
gandolan,0.015
ganti,0.044
gara,0.015
garap,0.015
gel,0.015
gemas,0.015
gendong,0.015
ges,0.015
gibah,0.015
gilir,0.015
gin,0.044
gincu,0.015
goreng,0.015
gumbulono,0.015
gundah,0.015
gupuh,0.015
habis,0.015
halaman,0.015
handayani,0.015
hangat,0.015
hanya,0.015
harap,0.015
hari,0.044
haru,0.029
hati,0.059
hebat,0.015
hemat,0.015
hempas,0.015
hilang,0.015
hitung,0.015
hobbit,0.015
hobi,0.015
hoi,0.015
hoo,0.015
hubung,0.015
hubungin,0.015
humor,0.015
humoris,0.029
ibadah,0.015
ibu,0.059
iklan,0.015
iku,0.029
ilmu,0.015
imut,0.015
info,0.015
ing,0.029
ini,0.103
introspeksi,0.015
isi,0.015
itu,0.206
iya,0.147
iyah,0.029
iyes,0.015
iying,0.015
izow,0.015
jadi,0.147
jaga,0.015
jajan,0.015
jalan,0.029
jaluk,0.015
jane,0.015
jare,0.015
jawab,0.044
jewer,0.015
jilbab,0.015
jio,0.015
jiwa,0.015
juga,0.133
jumpa,0.015
kabar,0.029
kacab,0.015
kadang,0.015
kagem,0.015
kakpop,0.015
kalau,0.074
kali,0.015
kalian,0.015
kalimat,0.015
kandung,0.015
karena,0.029
karso,0.015
kasi,0.029
kasih,0.029
kata,0.015
kati,0.015
ke,0.015
kebahagian,0.015
kecepeten,0.015
kecil,0.015
keliling,0.015
keluarga,0.015
kembali,0.015
ken,0.088
kenang,0.029
kenapa,0.029
kepingin,0.015
kerja,0.074
kerjo,0.015
kesana,0.015
kesini,0.015
kesuwen,0.015
ketawa,0.015
ketemu,0.044
khilaf,0.029
kirim,0.015
kita,0.015
kolor,0.015
kono,0.015
kos,0.029
kuat,0.029
kuatir,0.044
kubur,0.015
kulo,0.015
lagu,0.015
lah,0.015
lak,0.015
laki,0.059
laksana,0.015
lambung,0.015
lamongan,0.029
lang,0.015
lanjut,0.015
lapang,0.015
lapo,0.015
lawan,0.015
lebaran,0.015
lebih,0.059
lelah,0.015
lelaki,0.029
lha,0.029
liatin,0.015
libur,0.015
lihat,0.044
lipat,0.015
loh,0.015
looking,0.015
luar,0.029
lucu,0.029
lucuw,0.015
lumayan,0.015
madu,0.015
madya,0.015
mafkan,0.015
mafkeun,0.015
mahal,0.015
mahe,0.015
main,0.015
makan,0.015
makanya,0.015
maling,0.015
mall,0.029
mana,0.015
mangkas,0.015
mangun,0.015
manis,0.015
manusia,0.029
masa,0.015
masya,0.015
mati,0.015
mau,0.015
mayak,0.015
mburi,0.015
mcu,0.015
medis,0.015
megilan,0.015
melu,0.029
memang,0.015
mempan,0.015
menikah,0.059
menstruasi,0.015
mentor,0.015
mereka,0.029
merk,0.015
metu,0.015
milik,0.029
mimpi,0.015
mingat,0.044
minggu,0.015
minum,0.015
mirip,0.015
mpi,0.044
muak,0.015
mudah,0.015
mudik,0.015
mukidi,0.015
musibah,0.015
najwa,0.015
nakal,0.015
nakes,0.015
nana,0.015
nang,0.015
nasib,0.015
nasional,0.015
ndang,0.029
ne,0.015
negativity,0.015
ngambul,0.015
ngapunten,0.015
ngarso,0.015
ngebayangin,0.015
ngetag,0.015
ngolek,0.015
ngono,0.015
ngunyah,0.015
ngurus,0.015
niat,0.015
nona,0.015
nyanyi,0.074
nyimak,0.015
nyiram,0.015
nyoh,0.015
obat,0.029
obrol,0.015
ochan,0.015
ojo,0.029
oleh,0.015
omahku,0.015
omo,0.029
ono,0.015
opa,0.015
otoke,0.015
pacar,0.015
paham,0.044
paklik,0.015
paman,0.044
pancen,0.015
panik,0.015
pantas,0.015
pantau,0.015
pasar,0.015
pasien,0.015
pekerjan,0.015
peluk,0.059
pembukae,0.015
penak,0.015
perempuan,0.015
pernah,0.029
pernyatan,0.015
pesantren,0.015
piara,0.015
pik,0.029
pikir,0.118
pindah,0.015
pipi,0.015
piro,0.015
pokok,0.015
polres,0.015
polsek,0.015
poo,0.015
pop,0.015
pret,0.015
pria,0.015
prikso,0.015
pulang,0.088
pun,0.015
punya,0.015
putar,0.015
qs,0.015
racun,0.015
rasa,0.059
rebah,0.015
rencana,0.015
repot,0.029
resisten,0.015
rin,0.029
rina,0.015
rinda,0.029
rindu,0.088
ris,0.015
rodo,0.015
rol,0.015
ros,0.015
ruang,0.029
ruanganya,0.015
rumah,0.088
rumpi,0.015
sa,0.015
saat,0.015
sabar,0.029
sahabat,0.015
saja,0.118
sakno,0.015
salonpas,0.015
salur,0.015
sampah,0.015
sampai,0.059
sana,0.015
sangat,0.015
satu,0.015
saudara,0.251
saya,0.133
sby,0.029
sebentar,0.015
sebuah,0.015
sedih,0.015
segar,0.015
sehat,0.059
sejuk,0.015
sekali,0.059
sekarang,0.015
selalu,0.029
selamat,0.074
semangat,0.015
sembako,0.015
sembuh,0.015
semoga,0.074
semua,0.015
sending,0.015
sendiri,0.015
senin,0.015
senjata,0.015
senyum,0.044
seperti,0.059
seriosa,0.015
seru,0.029
sesal,0.015
sesunguhnya,0.015
sewot,0.015
shihab,0.015
shocking,0.015
shopee,0.015
siang,0.015
siapa,0.029
sik,0.059
siklus,0.015
silah,0.015
siram,0.015
sisi,0.015
siw,0.044
skck,0.029
staf,0.015
stressed,0.015
suara,0.015
suasana,0.044
sudah,0.133
sugeng,0.015
suka,0.029
sukses,0.029
sung,0.015
sungguh,0.015
supaya,0.015
surat,0.015
surely,0.015
syukur,0.029
tabarokalah,0.015
tagih,0.015
tahu,0.015
takut,0.015
tambah,0.015
tampan,0.015
tanam,0.015
tanemanku,0.015
tangis,0.015
tangungjawab,0.015
tanya,0.029
tapi,0.029
tawa,0.251
tawadhu,0.015
tegal,0.015
teks,0.015
telah,0.029
teles,0.015
telp,0.015
teman,0.147
tembak,0.015
tempat,0.029
temu,0.029
tenaga,0.015
terang,0.015
terbang,0.015
terima,0.029
terimakasih,0.059
teringat,0.015
terpangil,0.029
terus,0.015
through,0.015
ti,0.015
tidak,0.383
tinggal,0.133
tinggi,0.029
tips,0.015
tolong,0.015
tonton,0.029
toxo,0.015
tremenza,0.015
tua,0.015
tuan,0.015
tugas,0.074
tuhan,0.059
tuladha,0.015
tunggu,0.059
turun,0.015
tut,0.015
twiternya,0.015
uang,0.029
ulang,0.015
untuk,0.074
untung,0.029
upah,0.015
usaha,0.015
vagabond,0.015
ve,0.015
versi,0.015
vida,0.015
video,0.044
virtual,0.015
visioner,0.015
vlognya,0.015
wakil,0.015
waktu,0.029
wan,0.059
wanita,0.103
warsa,0.015
waswas,0.029
wi,0.015
wo,0.015
wujud,0.015
wuri,0.015
ya,0.044
yah,0.015
yang,0.147
yaya,0.015
youtube,0.015
yunus,0.015
zalim,0.029
