term,weight
aa,0.012
acak,0.012
ada,0.049
adi,0.012
admin,0.012
aduh,0.012
agar,0.025
aib,0.012
ajak,0.012
ajar,0.012
ajimat,0.012
akan,0.012
akhlakles,0.012
akyu,0.012
alam,0.025
alas,0.012
album,0.012
amat,0.012
ambe,0.037
ampun,0.012
anak,0.025
anda,0.123
anemia,0.062
anjenk,0.025
anjret,0.012
anti,0.012
apa,0.16
arek,0.025
artikel,0.012
asli,0.062
astaga,0.025
ayam,0.012
ayo,0.123
babak,0.012
baca,0.025
bagaimana,0.037
bagi,0.012
bahaya,0.012
bahu,0.012
baik,0.025
bajing,0.025
bakso,0.037
baligh,0.012
banyak,0.025
bapak,0.012
barang,0.012
baru,0.037
batu,0.012
batuk,0.012
bawa,0.012
bayangno,0.025
beda,0.012
belah,0.012
beliau,0.012
benar,0.025
benci,0.012
bengi,0.012
beranda,0.012
berita,0.012
besi,0.086
bibit,0.012
bicara,0.012
bien,0.025
bilang,0.012
bisa,0.025
bku,0.012
bodoh,0.012
boleh,0.025
bom,0.012
bor,0.012
bos,0.012
buat,0.025
budak,0.012
buka,0.049
bulan,0.025
bunga,0.037
bur,0.012
cak,0.012
camat,0.012
cangkang,0.012
carane,0.012
cari,0.012
cause,0.012
cekout,0.012
cemburu,0.012
cemil,0.025
centung,0.012
cina,0.012
cinta,0.037
ciprat,0.012
cium,0.012
coba,0.049
cocok,0.012
cookie,0.012
coret,0.025
corona,0.012
cuma,0.012
curhat,0.012
curhatan,0.012
darah,0.025
dasi,0.012
debat,0.012
defisiendi,0.012
defisiensi,0.012
deketku,0.012
demam,0.049
dewe,0.037
di,0.025
dia,0.049
diharapno,0.012
dijak,0.012
dikit,0.012
dikongkon,0.025
diq,0.012
diskon,0.012
diucapin,0.012
doa,0.012
doang,0.062
dokter,0.012
drama,0.025
drtd,0.012
dua,0.025
duduk,0.012
dunia,0.012
duta,0.012
eachother,0.012
ehem,0.012
ekwkwk,0.012
emas,0.012
endi,0.012
eneg,0.012
favorit,0.012
februari,0.012
fitnes,0.012
gae,0.012
gaf,0.012
gagal,0.012
gais,0.012
gamao,0.012
game,0.012
ganok,0.012
ganti,0.025
gaopo,0.025
gas,0.012
gaz,0.012
gdl,0.012
geleng,0.012
gemesin,0.012
gerbang,0.012
gin,0.037
giur,0.012
goyeng,0.012
gugup,0.012
guna,0.012
guru,0.037
habede,0.012
habis,0.037
hai,0.037
haid,0.025
hak,0.012
hanya,0.037
hara,0.012
harap,0.037
hari,0.012
hasil,0.012
hati,0.025
hemoglobin,0.037
hingga,0.012
hpku,0.012
hs,0.012
hubung,0.012
hujan,0.012
humoris,0.012
ibadah,0.037
ibu,0.012
iku,0.074
ilo,0.012
imun,0.099
imunya,0.012
inces,0.012
indah,0.012
ingin,0.012
ini,0.135
instagram,0.012
inti,0.012
iri,0.012
irpan,0.012
islam,0.012
iso,0.074
itu,0.012
iya,0.025
iyolah,0.012
iyu,0.012
jadi,0.049
jail,0.025
jalok,0.012
jam,0.012
jaman,0.025
janco,0.025
jancok,0.012
jatim,0.012
jelmanmu,0.012
jeneng,0.012
jenis,0.012
jiwa,0.012
jomblo,0.012
jorok,0.012
jual,0.012
juga,0.025
kabeh,0.037
kadang,0.012
kalah,0.012
kalau,0.148
kali,0.012
kami,0.012
kardus,0.012
karena,0.037
kasih,0.037
kasus,0.012
kate,0.012
kayak,0.025
kecuali,0.012
kedai,0.012
ken,0.012
kenal,0.049
kenapa,0.025
kencan,0.025
kenya,0.012
kepala,0.025
kering,0.012
kerja,0.025
kesini,0.012
ket,0.012
ketinggalan,0.025
ketok,0.012
kibar,0.012
kil,0.012
kilogram,0.012
kirim,0.012
kita,0.025
klambi,0.012
komponen,0.012
kon,0.049
konser,0.025
kopi,0.012
korea,0.012
kosong,0.012
koyok,0.025
kriteria,0.012
kuat,0.111
kulit,0.012
kumpul,0.012
kurang,0.037
lagi,0.012
lagu,0.012
lahir,0.025
lak,0.037
laki,0.16
laku,0.012
lakuin,0.012
langsung,0.062
lapose,0.012
lebih,0.012
lejen,0.012
lek,0.135
lemah,0.012
leng,0.025
lhakok,0.037
lihat,0.025
lipat,0.012
lok,0.012
lolos,0.012
looking,0.012
los,0.012
lucu,0.012
lumayan,0.012
lupa,0.012
maaf,0.012
macan,0.012
magang,0.012
mak,0.025
malaikat,0.012
malam,0.012
malang,0.062
malas,0.012
malika,0.012
mana,0.037
mantan,0.025
mantap,0.012
marahin,0.025
mariki,0.012
masih,0.037
masing,0.012
mata,0.012
matahari,0.037
mateklah,0.012
mati,0.037
megelno,0.025
mei,0.012
mek,0.012
memang,0.037
mendengarkan,0.012
mendung,0.012
merah,0.037
milik,0.012
minggu,0.012
minum,0.012
misuh,0.012
ml,0.012
mobel,0.012
mobil,0.062
moco,0.012
mohon,0.012
mon,0.012
muadzin,0.012
muka,0.025
mulai,0.012
mulut,0.012
mun,0.012
nadin,0.025
nafsu,0.025
