term,weight
ada,0.076
adalah,0.025
adapun,0.013
agar,0.025
ah,0.013
air,0.013
ajar,0.013
akhir,0.025
al,0.013
alamin,0.013
alas,0.013
alhamdulah,0.013
alias,0.013
ambilin,0.013
amin,0.025
an,0.025
anak,0.076
anda,0.102
andante,0.013
angkat,0.013
anjg,0.013
anjr,0.013
anti,0.013
aowkwowkowkwowko,0.013
ap,0.013
apa,0.064
apatidasakit,0.013
aqu,0.013
arap,0.013
asam,0.025
asin,0.013
asli,0.038
atau,0.013
atlet,0.013
ayah,0.013
ayam,0.013
ayo,0.051
baca,0.025
bagaimana,0.064
bah,0.013
baik,0.038
baju,0.013
balas,0.013
balik,0.013
bang,0.025
bangetrt,0.013
bangun,0.013
banya,0.013
banyap,0.013
baru,0.013
bawa,0.025
bayi,0.013
bca,0.013
beda,0.013
begini,0.038
behind,0.013
bekicot,0.013
beli,0.025
belum,0.038
benar,0.064
bentar,0.013
beranda,0.025
berang,0.013
berapa,0.025
berkah,0.013
bersihin,0.013
besar,0.025
betah,0.013
biasa,0.013
bibilung,0.013
bibit,0.013
bicara,0.025
bikinin,0.013
bisa,0.013
blackpink,0.051
blackpinka,0.013
bni,0.013
boker,0.013
bom,0.025
bonus,0.013
bq,0.013
br,0.025
buah,0.013
buat,0.076
bubur,0.013
buka,0.051
bukain,0.013
bulu,0.013
bya,0.025
cara,0.013
cari,0.038
celana,0.013
celup,0.013
cemana,0.013
cemil,0.102
cengkeh,0.013
cerdas,0.013
cetak,0.013
ceu,0.013
chu,0.013
cinta,0.025
cir,0.013
coba,0.051
coklat,0.025
cuma,0.013
curhatan,0.013
da,0.064
dalam,0.025
dan,0.025
dapat,0.025
dari,0.102
daripada,0.013
dasar,0.013
datang,0.076
dede,0.013
definisi,0.013
deh,0.013
dekat,0.051
dengan,0.013
desie,0.013
detail,0.013
di,0.013
dia,0.025
dideket,0.013
didip,0.013
digentayangin,0.013
dikit,0.013
dimana,0.013
dinget,0.013
dipangil,0.013
diputusin,0.013
disiapin,0.013
doa,0.013
doang,0.038
dong,0.013
dosa,0.013
drtd,0.013
dulu,0.013
duluan,0.038
dunia,0.013
duren,0.013
efek,0.013
eh,0.025
email,0.013
enak,0.051
et,0.013
euy,0.013
faedah,0.013
feast,0.013
foto,0.013
gaga,0.038
gahskslwksnsnsjks,0.013
gajah,0.013
ganguan,0.038
ganti,0.013
garam,0.013
gaya,0.025
geo,0.013
gerah,0.013
gercep,0.025
gigi,0.038
gila,0.013
gin,0.038
global,0.013
goa,0.025
gobol,0.013
goler,0.013
google,0.013
goreng,0.013
goyah,0.051
gozi,0.025
grat,0.025
gsre,0.013
gugup,0.013
gushcloud,0.013
habis,0.013
hadiah,0.013
hahahahahaha,0.013
hahahahahahaha,0.013
hai,0.013
halusinasi,0.013
hamba,0.013
hamil,0.025
hamster,0.013
handz,0.013
hanya,0.025
hapus,0.013
hari,0.038
hasil,0.013
hati,0.038
hghagsha,0.013
hibur,0.013
hidup,0.076
hitung,0.025
honda,0.013
hoo,0.013
hujan,0.013
ibu,0.038
ifah,0.013
igun,0.013
ikan,0.013
in,0.013
ina,0.013
indihm,0.013
indonesian,0.013
ingat,0.013
ingin,0.013
ini,0.038
instagram,0.013
inti,0.013
ipe,0.025
ipeh,0.013
itu,0.064
iya,0.114
iyu,0.013
jadi,0.089
jakarta,0.013
jalan,0.064
jamah,0.013
jamin,0.013
jamsegini,0.013
jantung,0.025
jarang,0.013
jari,0.013
jaring,0.013
jarjit,0.013
jawab,0.013
jedug,0.013
jengkol,0.013
jenie,0.013
jisu,0.013
jiwa,0.025
jk,0.013
jodoh,0.025
jual,0.013
judul,0.013
juga,0.051
jus,0.013
kaca,0.013
kacamata,0.013
kaki,0.013
kalau,0.127
kamar,0.013
kamper,0.013
kan,0.025
karena,0.064
kartu,0.013
kasi,0.025
kayak,0.013
ke,0.013
kebahagian,0.013
kebas,0.013
kebel,0.013
kecap,0.013
kecuali,0.013
kejedag,0.013
keju,0.013
kelelawar,0.102
keluarga,0.038
kemari,0.013
kemarin,0.025
ken,0.013
kenal,0.013
kenapa,0.089
kenyang,0.013
kerendem,0.013
keruma,0.013
kesal,0.025
kesana,0.013
ketemen,0.013
ketemu,0.025
ketinggalan,0.013
kita,0.013
klaim,0.013
koala,0.013
kodepos,0.013
kompor,0.013
kontrak,0.013
koran,0.013
kosong,0.025
krim,0.013
kuah,0.013
kuali,0.025
kuas,0.013
kucing,0.038
kukus,0.013
kumur,0.013
kuning,0.013
kurir,0.025
kweni,0.013
la,0.013
lagi,0.114
lagu,0.038
laki,0.076
