term,weight
acara,0.011
ada,0.022
adalah,0.056
admin,0.044
ads,0.011
aduh,0.022
agar,0.011
agus,0.011
ah,0.011
ahli,0.011
ahok,0.033
ajak,0.011
ajar,0.022
akan,0.022
akhir,0.022
aktif,0.011
akun,0.011
alam,0.011
alas,0.011
alias,0.011
allah,0.011
amal,0.022
amien,0.011
amin,0.011
ampun,0.011
anak,0.011
anda,0.2
angkut,0.011
angur,0.011
antebellum,0.011
apa,0.189
aplikasi,0.011
arahin,0.011
asik,0.011
atas,0.011
atau,0.011
atm,0.011
atur,0.011
australia,0.011
axeqmcvq,0.011
ayo,0.022
babu,0.022
baca,0.033
bagaimana,0.044
bagi,0.011
bagus,0.011
bahagia,0.033
baik,0.044
bakar,0.011
balik,0.011
banding,0.011
banjir,0.022
banking,0.011
bantu,0.033
banyak,0.033
bapak,0.033
barangkali,0.011
baru,0.011
batalin,0.011
baterai,0.011
bawa,0.022
bawah,0.011
bawel,0.011
bayar,0.011
bayarin,0.011
bayi,0.011
bca,0.011
bcoz,0.011
begaya,0.011
begitu,0.044
beib,0.011
belah,0.022
belalai,0.011
belanja,0.011
beli,0.011
beliau,0.033
belok,0.011
belum,0.033
ben,0.033
benar,0.022
bentar,0.011
bentuk,0.011
benya,0.011
bera,0.011
berani,0.011
berapa,0.011
beri,0.022
berita,0.011
berterimakasih,0.011
besok,0.011
bhineka,0.011
bicara,0.011
bijaksana,0.011
bilang,0.033
bisa,0.067
bla,0.044
blah,0.033
bodoh,0.033
bohong,0.022
bola,0.011
boleh,0.011
bom,0.011
borong,0.011
bosan,0.022
breathe,0.022
brondong,0.011
buat,0.022
bude,0.011
buka,0.022
bunker,0.011
buru,0.011
buruk,0.011
butuh,0.044
bxsoxrv,0.011
calo,0.011
capres,0.011
cara,0.011
cari,0.011
cas,0.022
cawapres,0.011
cebong,0.011
celaka,0.011
cemil,0.011
cemput,0.022
cfmtuyesb,0.011
chanel,0.011
cincin,0.044
cinta,0.044
cipok,0.011
ck,0.022
co,0.189
coba,0.022
coc,0.011
coca,0.011
cocok,0.033
cofe,0.011
coins,0.011
cola,0.011
colek,0.011
comes,0.011
curi,0.011
dadak,0.011
daging,0.011
dahsyat,0.011
dan,0.033
dapat,0.022
dari,0.089
daripada,0.011
datang,0.022
dc,0.011
deep,0.011
deh,0.022
delcont,0.011
demo,0.022
dengan,0.033
dewa,0.022
di,0.067
dia,0.022
diam,0.011
diapain,0.011
dibayarin,0.011
did,0.011
disabilitas,0.022
disini,0.022
dokter,0.011
dolls,0.011
donald,0.011
dong,0.056
dorong,0.011
