term,weight
abu,0.01
acok,0.029
ada,0.038
adalah,0.057
adan,0.01
adiak,0.019
adiaknyo,0.01
aduh,0.038
agar,0.029
ahquqbdoxvdyfbcpcmxbzyteifmzvsowpqmxhsuqv,0.01
aia,0.019
ajar,0.01
akal,0.01
akan,0.057
akhir,0.029
alami,0.01
alas,0.01
alir,0.01
allah,0.01
ampun,0.01
an,0.01
anak,0.01
anatomi,0.019
anda,0.316
andai,0.01
angekan,0.01
angin,0.01
anymore,0.01
apa,0.067
apo,0.01
arok,0.01
aron,0.01
asa,0.019
atas,0.01
atau,0.038
awak,0.077
awal,0.01
awan,0.01
awesome,0.019
ayo,0.019
ba,0.01
baa,0.029
babaleh,0.01
babe,0.029
baca,0.077
badan,0.029
badarai,0.01
bagaimana,0.038
bagus,0.01
bahkan,0.01
bahu,0.019
bahwa,0.01
baiak,0.01
baik,0.01
bajing,0.01
baju,0.01
bajuang,0.01
baku,0.01
bangiah,0.01
bangun,0.019
banyak,0.019
bapasan,0.01
bapulangkan,0.01
bapusarokan,0.01
baranang,0.01
bararak,0.01
baro,0.01
basuaro,0.01
batahan,0.019
batam,0.01
batangka,0.029
batanyo,0.019
batu,0.01
baulang,0.01
baunyo,0.01
bawa,0.01
bawang,0.01
bayi,0.01
becak,0.01
become,0.01
belakang,0.01
beli,0.01
belum,0.01
benang,0.01
benar,0.029
benci,0.01
benda,0.019
berang,0.01
berat,0.01
beri,0.029
betor,0.01
bia,0.01
biadab,0.01
bias,0.01
bintang,0.01
biru,0.01
bisa,0.077
bloger,0.01
bokshaming,0.01
bola,0.01
bolong,0.01
bosan,0.01
buah,0.019
buat,0.077
budaya,0.01
buek,0.01
bukan,0.01
buku,0.01
bulan,0.01
bungkus,0.01
butuh,0.01
caliaknyo,0.01
canda,0.01
cara,0.01
carey,0.01
cari,0.019
cause,0.019
cayo,0.01
ceklis,0.01
cemburu,0.01
cemil,0.01
cerita,0.096
cerpen,0.01
chef,0.01
ciek,0.019
cincin,0.01
cinta,0.124
cium,0.048
closing,0.01
coba,0.019
conan,0.01
congrats,0.01
cuma,0.01
da,0.038
dalam,0.01
damin,0.077
dan,0.115
dancing,0.01
dapat,0.019
dar,0.01
dari,0.153
daripada,0.01
daya,0.01
dblkg,0.01
decide,0.01
dek,0.067
deknyo,0.01
dela,0.01
denai,0.077
dengan,0.01
depan,0.01
depths,0.01
detektip,0.01
di,0.038
dia,0.019
diagiah,0.01
dibuliahan,0.01
didiemin,0.01
dihambuih,0.01
dilangik,0.01
dima,0.01
dingin,0.019
dipabudak,0.01
dipangil,0.01
dipatangihan,0.01
diri,0.01
disappears,0.01
disarengeh,0.01
disuruah,0.029
diwarning,0.01
djalehan,0.01
doank,0.01
doesn,0.01
dongo,0.01
dorong,0.01
dosa,0.01
dramatis,0.01
dri,0.01
drowning,0.01
dulu,0.019
duluan,0.01
dunia,0.019
each,0.019
efek,0.01
ego,0.01
eh,0.019
ekspektasi,0.01
ekspresi,0.01
elus,0.01
emosi,0.029
energi,0.019
enough,0.019
episode,0.01
erti,0.01
evitamala,0.01
farhan,0.01
film,0.01
fisik,0.01
fitnah,0.01
foxlife,0.01
gangamlah,0.01
gantung,0.01
gaya,0.01
gelut,0.01
gerimis,0.01
gestures,0.01
ginjal,0.01
gordon,0.01
gorenganya,0.01
gosh,0.01
greys,0.01
gulai,0.01
gunung,0.01
habis,0.01
habitat,0.01
had,0.01
hadap,0.01
hak,0.01
halaman,0.096
hangat,0.01
hantam,0.01
hanya,0.038
happened,0.01
harap,0.096
hari,0.019
harus,0.038
hati,0.096
hebat,0.019
henti,0.019
hewan,0.029
hidup,0.01
hilang,0.01
hindar,0.01
hingga,0.01
hitam,0.019
hours,0.019
hujan,0.038
