Words,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
abad,0,0,0,0,0,0,0,0,0,0
abadi,1,0,0,1,0,0,1,1,0,1
abai,0,1,0,0,0,1,0,1,0,0
abba,1,0,0,0,0,0,0,0,0,0
abbas,0,0,0,0,0,0,0,0,0,1
ablasi,0,0,0,0,0,0,0,0,0,0
abnormal,0,1,0,0,1,0,0,0,0,0
abortus,0,1,0,0,1,1,0,1,0,0
abrasi,0,1,0,0,0,0,0,0,0,0
absah,0,0,0,0,0,1,0,0,0,0
abses,0,1,1,0,1,0,0,1,0,0
absinth,0,0,0,0,0,0,0,0,0,0
absolusi,1,0,0,0,0,0,1,0,0,1
abstensi,0,0,0,0,0,0,0,0,0,0
abstrak,0,0,0,0,0,0,0,0,0,0
abstraksi,0,0,0,0,0,0,0,0,0,0
abu,0,1,0,0,0,0,0,1,0,0
acak,0,0,0,0,0,0,0,0,0,0
acar,0,1,0,0,0,0,0,0,0,0
acara,1,0,1,0,0,1,0,0,0,1
acara adil,0,0,0,0,0,0,0,0,0,0
adab,1,1,0,0,0,0,0,0,0,1
adas,0,0,0,0,0,0,0,0,0,0
adat,0,0,0,0,0,0,0,0,0,0
adhesi,0,0,0,0,0,0,0,0,0,0
adil,1,0,0,0,0,0,0,0,0,1
adiposa,0,1,0,0,0,0,0,0,0,0
aditif,0,0,0,0,0,0,0,0,0,0
administrasi,0,0,0,0,0,0,0,0,0,0
administratif,0,0,0,0,0,0,0,0,0,1
admiralty,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
adonan,0,1,1,0,0,1,0,0,0,0
adopsi,0,0,0,0,0,0,0,0,0,0
adu,0,1,1,0,1,1,0,0,0,0
aduk,0,0,0,0,0,0,0,0,0,0
aerasi,0,0,0,0,0,0,0,0,0,0
aerodinamika,0,0,0,0,0,0,0,0,0,0
aeronautika,0,0,0,0,0,0,0,0,0,0
afiks,0,0,0,0,0,0,0,0,0,0
afiliasi,1,0,0,0,0,0,0,0,0,0
afinitas,0,0,0,0,0,0,0,0,0,0
afirmasi,1,0,0,0,0,0,0,0,0,0
afirmatif,1,0,0,0,0,0,0,0,0,1
aftertaste,0,1,0,0,0,0,0,0,0,0
agak,0,1,0,0,0,0,0,0,0,0
agak hitam,0,0,0,0,0,0,0,0,0,0
agak mabuk,0,1,1,0,1,0,0,0,0,0
agama,0,0,0,0,0,0,0,0,0,1
agas,0,0,0,0,0,0,0,0,0,0
agen,0,0,0,0,0,0,0,0,0,0
agensi,0,0,0,0,0,0,0,0,0,0
agitasi,0,1,1,0,0,0,0,0,0,0
agnostis,0,0,0,0,0,0,0,0,0,0
agregasi,0,0,0,0,0,0,0,0,0,0
agregat,0,0,0,0,0,0,0,0,0,0
agresi,0,1,1,0,0,1,0,0,0,0
agresif,0,1,1,0,0,1,0,0,0,0
agresor,0,1,1,0,0,1,0,0,0,0
agung,1,0,0,0,0,0,0,0,0,1
agustus,1,0,0,0,0,0,0,0,0,0
ahli,1,0,0,0,0,0,0,0,0,1
ahli alat musik,0,0,0,0,0,0,0,0,0,0
ahli astronomi,1,0,0,1,0,0,0,0,0,0
ahli bahasa,1,0,0,0,0,0,0,0,0,1
ahli bedah,0,0,0,0,0,0,0,0,0,0
ahli botani,0,0,0,0,0,0,0,0,0,0
ahli fisika,0,0,0,0,0,0,0,0,0,1
ahli hukum,0,0,0,0,0,0,0,0,0,1
ahli kacamata,0,0,0,0,0,0,0,0,0,0
ahli kimia,1,0,0,0,0,0,0,0,0,1
ahli masak,0,0,0,0,0,0,0,0,0,0
ahli matematika,0,0,0,0,0,0,0,0,0,0
ahli nujum,1,0,0,1,0,0,0,0,0,0
ahli onkologi,0,0,0,0,0,0,0,0,0,0
ahli pidato,0,0,0,0,0,0,0,0,0,0
ahli sihir,0,0,0,0,0,1,0,0,0,0
ahli statistik,0,0,0,0,0,0,0,0,0,0
ahli waris,0,0,0,0,0,0,0,0,0,0
ahli waris perempuan,0,0,0,0,0,0,0,0,0,0
aib,0,1,1,0,1,1,0,1,0,0
air,0,1,0,0,0,0,0,0,0,0
air asin,0,0,0,0,0,0,0,0,0,0
air kotor,0,1,0,0,1,0,0,0,0,0
air laut,0,1,0,0,0,0,0,1,0,0
air liur,0,0,0,0,1,0,0,0,0,0
air mancur,0,0,0,0,0,0,0,0,0,0
air mani,0,0,0,0,0,0,0,0,0,0
air raksa,0,1,0,0,0,0,0,0,1,0
ajaib,1,0,0,0,0,0,1,0,1,0
ajar,1,0,1,0,0,0,1,0,1,1
aju,0,0,0,0,0,0,0,0,0,0
aju perkara,0,1,1,1,1,1,0,1,0,0
akademi,1,0,0,0,0,0,0,0,0,0
akademik,1,0,0,0,0,0,0,0,0,1
akal,1,0,0,0,0,0,0,0,0,0
akan datang,1,0,0,0,0,0,0,0,0,0
akar,1,0,0,0,0,0,0,0,0,0
akibat,0,1,1,0,1,1,0,1,0,0
akibat wajar,0,0,0,0,0,0,0,0,0,0
akomodasi,1,0,0,0,0,0,0,0,0,0
akord,0,0,0,0,0,0,0,0,0,0
akordeon,0,0,0,0,0,0,0,0,0,0
akrab,1,0,0,1,0,0,1,0,0,1
akreditasi,1,0,0,0,0,0,0,0,0,1
akrobat,1,0,0,0,0,1,1,0,0,1
aksen,0,0,0,0,0,0,0,0,0,0
akses,0,0,0,0,0,0,0,0,0,1
aksi,0,0,0,1,0,1,1,0,1,0
aksioma,0,0,0,0,0,0,0,0,0,1
